節,match_id,datetime,stadium,home_team,away_team,home_score,away_score,home_fatigue_score,away_fatigue_score,home_acl_fatigue,away_acl_fatigue,home_acl_last_date,away_acl_last_date,home_acl_days_since,away_acl_days_since,home_acl_travel_type,away_acl_travel_type,home_total_fatigue_score,away_total_fatigue_score,datetime_weather,stadium_weather,is_rain,is_heavy_rain,is_strong_wind,temperature,wind_speed,last_updated_at,__weather_asof,__weather_source,weather_missing,stats_1試合平均シュート数_home,stats_1試合平均枠内シュート数_home,stats_シュート決定率_home,stats_1試合平均得点数_home,stats_1試合平均パス数_home,stats_パス成功率_home,stats_1試合平均ドリブル数_home,stats_ドリブル成功率_home,stats_1試合平均スルーパス数_home,stats_スルーパス成功率_home,stats_1試合平均クロス数_home,stats_1試合平均空中戦勝利数_home,stats_空中戦勝率_home,stats_平均ボール支配率_home,stats_1試合平均チャンスクリエイト数_home,stats_1試合平均1vs1勝利数_home,stats_1試合平均こぼれ球奪取数_home,stats_ゴール期待値_home,stats_1試合平均走行距離_home,stats_1試合平均スプリント回数_home,stats_1試合平均Atスプリント回数_home,stats_1試合平均Mtスプリント回数_home,stats_1試合平均Dtスプリント回数_home,stats_1試合平均ポゼッション時の走行距離_home,stats_1試合平均ポゼッション時のスプリント回数_home,stats_1試合平均被シュート数_home,stats_1試合平均被枠内シュート数_home,stats_1試合平均失点数_home,stats_1試合平均クリア数_home,stats_1試合平均タックル数_home,stats_タックル成功率_home,stats_1試合平均ブロック数_home,stats_1試合平均インターセプト数_home,stats_被ゴール期待値_home,stats_1試合平均被ゴール期待値_home,stats_被ゴール期待値 ※PKを除く_home,stats_クリーンシート総数_home,stats_stats_missing_ratio_home,stats_1試合平均シュート数_away,stats_1試合平均枠内シュート数_away,stats_シュート決定率_away,stats_1試合平均得点数_away,stats_1試合平均パス数_away,stats_パス成功率_away,stats_1試合平均ドリブル数_away,stats_ドリブル成功率_away,stats_1試合平均スルーパス数_away,stats_スルーパス成功率_away,stats_1試合平均クロス数_away,stats_1試合平均空中戦勝利数_away,stats_空中戦勝率_away,stats_平均ボール支配率_away,stats_1試合平均チャンスクリエイト数_away,stats_1試合平均1vs1勝利数_away,stats_1試合平均こぼれ球奪取数_away,stats_ゴール期待値_away,stats_1試合平均走行距離_away,stats_1試合平均スプリント回数_away,stats_1試合平均Atスプリント回数_away,stats_1試合平均Mtスプリント回数_away,stats_1試合平均Dtスプリント回数_away,stats_1試合平均ポゼッション時の走行距離_away,stats_1試合平均ポゼッション時のスプリント回数_away,stats_1試合平均被シュート数_away,stats_1試合平均被枠内シュート数_away,stats_1試合平均失点数_away,stats_1試合平均クリア数_away,stats_1試合平均タックル数_away,stats_タックル成功率_away,stats_1試合平均ブロック数_away,stats_1試合平均インターセプト数_away,stats_被ゴール期待値_away,stats_1試合平均被ゴール期待値_away,stats_被ゴール期待値 ※PKを除く_away,stats_クリーンシート総数_away,stats_stats_missing_ratio_away,management_manager_name_home,management_recent_injuries_suspensions_count_home,management_weather_influence_score_home,management_motivation_score_home,management_manager_name_away,management_recent_injuries_suspensions_count_away,management_weather_influence_score_away,management_motivation_score_away,rankmot_rank_latest_home,rankmot_points_latest_home,rankmot_rank_change_3w_home,rankmot_points_change_3w_home,rankmot_motivation_score_3w_home,rankmot_rank_change_5w_home,rankmot_points_change_5w_home,rankmot_motivation_score_5w_home,rankmot_season_home,rankmot_fetched_date_home,rankmot_rank_latest_away,rankmot_points_latest_away,rankmot_rank_change_3w_away,rankmot_points_change_3w_away,rankmot_motivation_score_3w_away,rankmot_rank_change_5w_away,rankmot_points_change_5w_away,rankmot_motivation_score_5w_away,rankmot_season_away,rankmot_fetched_date_away,absence_impact_total_home,absence_impact_attack_home,absence_impact_defense_home,absence_players_count_home,absence_impact_total_away,absence_impact_attack_away,absence_impact_defense_away,absence_players_count_away,absence_missing_home,absence_missing_away,absence_effective_total_home,absence_effective_attack_home,absence_effective_defense_home,absence_effective_total_away,absence_effective_attack_away,absence_effective_defense_away,absence_cap_applied_home,absence_cap_applied_away,league,stats_asof,stats_source_csv,home_elo_at_prediction,away_elo_at_prediction,home_advantage_diff,home_advantage_profile_diff,hfa_applied_elo,hfa_added_to_diff,hfa_clip_min,hfa_clip_max,elo_diff_scale_factor,elo_diff_before_hfa,elo_diff_after_hfa,diff_raw_no_hfa,elo_diff_scaled,elo_diff_for_prob,elo_diff_used_for_prob,expected_home_two_way,is_home_advantage_positive,prob_home_win_raw,prob_draw_raw,prob_away_win_raw,draw_tweak_mode,base_prob_home,base_prob_draw,base_prob_away,prob_home_win_before_signfix,prob_away_win_before_signfix,elo_sign_fix_applied,elo_sign_fix_reason,prob_home_raw,prob_away_raw,final_prob_home,final_prob_draw,final_prob_away,prob_delta_home,prob_delta_draw,prob_delta_away,residue_detected,prob_home_win,prob_draw,prob_away_win,prob_home,prob_away,final_result,predicted_result,decision_reason,force_draw_applied,argmax_result,argmax_max_prob,argmax_raw_result,argmax_raw_max_prob,d_scaled,decision_draw_expectation_multiplier,decision_draw_assign_enabled,predicted_highest_prob_result,actual_result,is_correct,stats_home_missing,stats_away_missing,management_missing,data_quality_warn,narrow_draw_override_applied,narrow_draw_override_reason,draw_candidate_gap,draw_candidate_prob_draw,draw_candidate_flag,draw_candidate_rule_result,draw_candidate_reason
第１節第１日,j1_2026_02061903_京都_神戸,2026-02-06 19:03:00,サンガＳ,京都,神戸,1.0,1.0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,2026-02-06 19:03:00,サンガＳ,False,False,True,5.6,8.6,,20260215,weather_features_j1_2026_asof_20260215.csv,False,14.3,4.5,8.8,1.3,383.5,68.0,8.5,66.2,17.5,43.6,15.6,18.8,44.9,52.5,11.8,17.6,39.8,10.5,114.0,161.0,63.0,53.0,46.0,30.0,73.0,13.0,3.5,1.0,26.5,17.6,68.1,24.8,0.6,12.9,1.6,12.9,1.0,0.0,13.6,3.9,11.9,1.6,449.3,74.1,8.1,49.2,11.4,57.1,14.1,24.3,49.7,53.2,10.0,13.9,40.3,12.9,116.0,144.0,48.0,46.0,50.0,33.0,59.0,10.6,3.8,0.9,24.9,16.5,59.8,21.5,1.9,8.7,1.0,7.9,2.0,0.0,,0,0,0,,0,0,0,2,14,0,0,0.0,1,5,1.5,2026,20260401,1,19,0,3,0.3,4,11,5.1,2026,20260401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-31,team_master_stats_j1_2026_asof_20260331.csv,1569,1546,0.1739,0.1739,26.0,26.0,,,1.1,22.7328,48.7328,22.7328,35.7374,35.7374,35.7374,0.5342,True,0.33138173091018064,0.36010099586549443,0.30851727322432493,off,0.3263475382785226,0.35463051390784495,0.3190219478136324,0.33138173091018064,0.30851727322432493,False,,0.33138173091018064,0.30851727322432493,0.3263475382785226,0.35463051390784495,0.3190219478136324,0.0,0.0,0.0,False,0.3263475382785226,0.35463051390784495,0.3190219478136324,0.3263475382785226,0.3190219478136324,D,D,NARROW_DRAW_OVERRIDE,False,D,0.35463051390784495,D,0.36010099586549443,35.737384186102695,1.0,False,D,D,True,False,False,False,False,True,prob_draw>=0.335 & gap<=0.010,-0.02828297562932236,0.35463051390784495,True,D,prob_draw>=0.33 & gap<=0.02
第１節第１日,j1_2026_02061903_横浜FM_町田,2026-02-06 19:03:00,日産ス,横浜FM,町田,2.0,3.0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,12.350000000000001,6.35,,,,True,12.8,3.0,11.8,1.5,377.5,72.5,10.9,57.5,13.5,45.4,15.0,14.0,47.7,46.1,9.5,19.8,26.0,11.8,118.0,143.0,50.0,39.0,54.0,30.0,56.0,9.4,3.5,1.5,20.5,20.9,64.7,16.5,1.0,8.8,1.1,8.8,2.0,0.0,11.8,3.8,13.8,1.6,413.0,76.2,11.3,56.7,8.6,46.4,12.8,13.6,49.1,46.0,9.0,18.8,31.6,10.4,118.0,111.0,42.0,33.0,36.0,31.0,49.0,12.8,4.3,1.5,19.3,16.6,74.4,18.0,1.1,11.1,1.3,10.2,1.0,0.0,,0,0,0,,0,0,0,7,9,0,0,0.0,3,6,3.6,2026,20260401,3,17,-1,0,-1.0,1,8,1.8,2026,20260401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-31,team_master_stats_j1_2026_asof_20260331.csv,1487,1530,-0.3478,-0.3478,26.0,26.0,,,1.1,-42.9796,-16.9796,-42.9796,-12.4517,-12.4517,-12.4517,0.4881,False,0.2912274753918162,0.4108230608044311,0.29794946380375276,off,0.2869526066277252,0.404792672813606,0.3082547205586688,0.2912274753918162,0.29794946380375276,False,,0.2912274753918162,0.29794946380375276,0.2869526066277252,0.404792672813606,0.3082547205586688,0.0,0.0,0.0,False,0.2869526066277252,0.404792672813606,0.3082547205586688,0.2869526066277252,0.3082547205586688,D,D,NARROW_DRAW_OVERRIDE,False,D,0.404792672813606,D,0.4108230608044311,12.451699880514541,1.0,False,D,A,False,False,False,False,True,True,prob_draw>=0.335 & gap<=0.010,-0.09653795225493716,0.404792672813606,True,D,prob_draw>=0.33 & gap<=0.02
第１節第１日,j1_2026_02061906_長崎_広島,2026-02-06 19:06:00,ピースタ,長崎,広島,1.0,3.0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,12.350000000000001,6.35,,,,True,11.0,3.8,11.4,1.3,423.8,74.6,11.4,53.8,11.1,43.8,9.1,15.8,48.3,48.0,9.0,17.4,34.8,9.0,115.0,138.0,48.0,45.0,46.0,29.0,64.0,15.1,4.0,1.4,31.4,16.8,67.2,23.6,4.0,12.2,1.5,12.2,3.0,0.0,15.8,3.6,9.5,1.5,421.1,71.4,10.3,45.1,16.3,40.8,14.3,22.6,50.8,50.6,13.4,14.8,40.9,12.4,112.0,137.0,54.0,43.0,40.0,31.0,63.0,10.1,3.4,1.5,18.8,16.5,61.4,22.5,1.5,9.7,1.2,8.9,1.0,0.0,,0,0,0,,0,0,0,6,12,0,0,0.0,3,6,3.6,2026,20260401,7,11,0,0,0.0,-3,3,-2.7,2026,20260401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-31,team_master_stats_j1_2026_asof_20260331.csv,1500,1570,-0.1667,-0.1667,26.0,26.0,,,1.1,-69.9048,-43.9048,-69.9048,-32.1968,-32.1968,-32.1968,0.4691,False,0.3261311981100519,0.37224179576387845,0.3016270061260696,off,0.32128577479198195,0.36671129427365945,0.3120029309343586,0.3261311981100519,0.3016270061260696,False,,0.3261311981100519,0.3016270061260696,0.32128577479198195,0.36671129427365945,0.3120029309343586,0.0,0.0,0.0,False,0.32128577479198195,0.36671129427365945,0.3120029309343586,0.32128577479198195,0.3120029309343586,D,D,NARROW_DRAW_OVERRIDE,False,D,0.36671129427365945,D,0.37224179576387845,32.19682359670954,1.0,False,D,A,False,False,False,False,True,True,prob_draw>=0.335 & gap<=0.010,-0.0454255194816775,0.36671129427365945,True,D,prob_draw>=0.33 & gap<=0.02
第１節第２日,j1_2026_02071304_千葉_浦和,2026-02-07 13:04:00,フクアリ,千葉,浦和,0.0,2.0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,12.350000000000001,6.35,,,,True,11.8,3.4,6.4,0.8,428.4,76.4,12.3,48.0,10.5,41.7,14.1,13.5,48.0,47.4,9.1,16.9,33.9,9.4,120.0,119.0,38.0,38.0,43.0,35.0,48.0,19.1,5.4,1.5,30.5,17.9,61.5,19.1,2.1,17.3,2.1,15.6,1.0,0.0,13.5,4.4,10.2,1.4,421.4,75.0,11.3,61.1,15.6,52.0,13.5,14.3,48.3,49.3,10.0,21.1,36.0,12.3,118.0,154.0,55.0,49.0,50.0,33.0,68.0,14.3,3.8,1.0,23.1,21.6,65.9,22.4,1.8,11.1,1.3,9.4,3.0,0.0,,0,0,0,,0,0,0,10,5,0,0,0.0,-3,0,-3.0,2026,20260401,5,11,0,0,0.0,-3,1,-2.9,2026,20260401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-31,team_master_stats_j1_2026_asof_20260331.csv,1500,1528,-0.0435,-0.0435,26.0,26.0,,,1.1,-27.933,-1.933,-27.933,-1.4176,-1.4176,-1.4176,0.4986,False,0.2724525280087494,0.43263312918591124,0.2949143428053394,off,0.2684934002742765,0.426346346555813,0.3051602531699106,0.2724525280087494,0.2949143428053394,False,,0.2724525280087494,0.2949143428053394,0.2684934002742765,0.426346346555813,0.3051602531699106,0.0,0.0,0.0,False,0.2684934002742765,0.426346346555813,0.3051602531699106,0.2684934002742765,0.3051602531699106,D,D,NARROW_DRAW_OVERRIDE,False,D,0.426346346555813,D,0.43263312918591124,1.4175604047155048,1.0,False,D,A,False,False,False,False,True,True,prob_draw>=0.335 & gap<=0.010,-0.12118609338590242,0.426346346555813,True,D,prob_draw>=0.33 & gap<=0.02
第１節第２日,j1_2026_02071335_FC東京_鹿島,2026-02-07 13:35:00,味スタ,FC東京,鹿島,1.0,1.0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,2026-02-07 13:35:00,味スタ,True,False,False,0.9,3.1,,20260215,weather_features_j1_2026_asof_20260215.csv,False,16.3,4.9,7.7,1.3,479.8,77.6,12.5,51.0,18.4,51.0,16.0,15.5,57.1,52.5,13.5,18.8,38.6,13.3,119.0,153.0,71.0,48.0,35.0,37.0,86.0,9.6,3.1,0.9,19.9,18.5,66.9,19.0,2.0,6.5,0.8,6.5,2.0,0.0,11.5,4.0,16.3,1.9,506.3,81.2,8.1,36.9,16.1,54.3,11.9,12.1,53.6,52.9,11.0,14.0,31.4,11.3,113.0,133.0,54.0,42.0,37.0,34.0,71.0,11.3,3.0,0.5,21.1,18.3,60.3,22.1,2.0,8.5,1.0,7.7,5.0,0.0,,0,0,0,,0,0,0,2,19,1,3,1.3,1,9,1.9,2026,20260401,1,22,0,0,0.0,0,9,0.9,2026,20260401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-31,team_master_stats_j1_2026_asof_20260331.csv,1507,1600,-0.3834,-0.3834,26.0,26.0,,,1.1,-93.5111,-67.5111,-93.5111,-49.5082,-49.5082,-49.5082,0.4526,False,0.35784788932565925,0.33921901711585456,0.30293309355848613,off,0.3525085638381912,0.33415764663429703,0.31333378952751184,0.35784788932565925,0.30293309355848613,False,,0.35784788932565925,0.30293309355848613,0.3525085638381912,0.33415764663429703,0.31333378952751184,0.0,0.0,0.0,False,0.3525085638381912,0.33415764663429703,0.31333378952751184,0.3525085638381912,0.31333378952751184,H,H,ARGMAX,False,H,0.3525085638381912,H,0.35784788932565925,49.50816880386081,1.0,False,H,D,False,False,False,False,False,False,,0.018350917203894146,0.33415764663429703,True,D,prob_draw>=0.33 & gap<=0.02
第１節第２日,j1_2026_02071603_Ｃ大阪_Ｇ大阪,2026-02-07 16:03:00,ヤンマー,Ｃ大阪,Ｇ大阪,0.0,0.0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,2026-02-07 16:03:00,ヤンマー,False,False,False,5.7,6.0,,20260215,weather_features_j1_2026_asof_20260215.csv,False,11.0,3.8,8.0,0.9,464.8,75.5,9.6,53.2,18.6,44.3,15.5,16.8,53.8,49.6,11.8,16.3,37.1,9.8,123.0,140.0,55.0,45.0,39.0,36.0,72.0,14.5,2.6,0.9,28.6,19.9,56.0,25.3,0.8,10.0,1.2,10.0,3.0,0.0,12.6,5.3,10.9,1.4,472.1,75.6,11.0,51.1,16.4,45.8,11.3,16.0,46.0,56.0,12.0,17.4,42.1,8.9,113.0,120.0,39.0,43.0,39.0,32.0,57.0,14.4,4.8,1.4,25.5,17.3,68.1,23.5,1.6,12.1,1.5,10.5,2.0,0.0,,0,0,0,,0,0,0,9,11,0,0,0.0,-1,5,-0.5,2026,20260401,3,14,0,0,0.0,-2,3,-1.7,2026,20260401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-31,team_master_stats_j1_2026_asof_20260331.csv,1499,1524,0.2917,0.2917,26.0,26.0,,,1.1,-24.4123,1.5877,-24.4123,1.1643,1.1643,1.1643,0.5011,True,0.27200664949087117,0.4329428039186557,0.29505054659047325,off,0.26805220205432573,0.4266486579324033,0.3052991400132711,0.27200664949087117,0.29505054659047325,False,,0.27200664949087117,0.29505054659047325,0.26805220205432573,0.4266486579324033,0.3052991400132711,0.0,0.0,0.0,False,0.26805220205432573,0.4266486579324033,0.3052991400132711,0.26805220205432573,0.3052991400132711,D,D,NARROW_DRAW_OVERRIDE,False,D,0.4266486579324033,D,0.4329428039186557,1.1643163979116253,1.0,False,D,D,True,False,False,False,False,True,prob_draw>=0.335 & gap<=0.010,-0.12134951791913223,0.4266486579324033,True,D,prob_draw>=0.33 & gap<=0.02
第１節第３日,j1_2026_02081308_福岡_岡山,2026-02-08 13:08:00,ベススタ,福岡,岡山,1.0,1.0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,2026-02-08 13:08:00,ベススタ,False,False,True,-0.4,21.1,,20260215,weather_features_j1_2026_asof_20260215.csv,False,12.1,3.3,6.2,0.8,364.6,71.3,11.0,39.8,10.9,44.8,11.0,18.0,49.7,44.9,8.5,14.8,36.3,8.8,117.0,116.0,37.0,42.0,37.0,30.0,50.0,13.0,4.3,2.0,23.5,18.3,56.8,22.1,2.3,11.2,1.4,10.4,0.0,0.0,12.9,3.8,7.8,1.0,340.9,68.3,11.4,53.8,10.0,48.8,16.8,20.4,55.1,44.7,10.5,16.9,32.5,10.6,113.0,140.0,56.0,48.0,36.0,29.0,65.0,10.4,3.9,1.0,24.3,16.6,64.7,22.3,1.8,7.7,0.9,7.7,1.0,0.0,,0,0,0,,0,0,0,10,5,0,0,0.0,0,3,0.3,2026,20260401,8,11,0,0,0.0,-2,4,-1.6,2026,20260401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-31,team_master_stats_j1_2026_asof_20260331.csv,1483,1456,0.1612,0.1612,26.0,26.0,,,1.1,26.3096,52.3096,26.3096,38.3604,38.3604,38.3604,0.5367,True,0.3360303770918756,0.3547305662372167,0.30923905667090773,off,0.33091380347064336,0.3493292537917116,0.31975694273764493,0.3360303770918756,0.30923905667090773,False,,0.3360303770918756,0.30923905667090773,0.33091380347064336,0.3493292537917116,0.31975694273764493,0.0,0.0,0.0,False,0.33091380347064336,0.3493292537917116,0.31975694273764493,0.33091380347064336,0.31975694273764493,D,D,NARROW_DRAW_OVERRIDE,False,D,0.3493292537917116,D,0.3547305662372167,38.360408871882086,1.0,False,D,D,True,False,False,False,False,True,prob_draw>=0.335 & gap<=0.010,-0.018415450321068227,0.3493292537917116,True,D,prob_draw>=0.33 & gap<=0.02
第１節第３日,j1_2026_02081403_名古屋_清水,2026-02-08 14:03:00,豊田ス,名古屋,清水,1.0,0.0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,12.350000000000001,6.35,,,,True,15.1,4.8,9.1,1.4,444.9,76.2,10.3,61.0,16.4,42.7,16.8,19.8,56.8,52.5,13.3,19.6,37.1,12.3,114.0,143.0,53.0,47.0,43.0,34.0,71.0,16.0,5.3,1.3,23.1,20.6,64.8,20.1,1.9,11.3,1.4,11.3,2.0,0.0,11.3,3.0,10.0,1.1,381.9,66.1,8.1,40.0,13.1,44.8,15.9,22.5,46.9,48.3,9.0,14.9,44.3,11.0,114.0,128.0,49.0,35.0,44.0,28.0,60.0,12.5,4.1,0.9,28.9,17.4,66.9,23.0,2.3,10.2,1.2,10.2,2.0,0.0,,0,0,0,,0,0,0,4,13,1,0,1.0,-2,4,-1.6,2026,20260401,5,13,-1,0,-1.0,2,7,2.7,2026,20260401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-31,team_master_stats_j1_2026_asof_20260331.csv,1467,1457,0.5652,0.5652,26.0,26.0,,,1.1,9.0802,35.0802,9.0802,25.7255,25.7255,25.7255,0.5247,True,0.3137958128043868,0.3808408918809329,0.3053632953146803,off,0.30907677763814545,0.37511359569597974,0.3158096266658748,0.3137958128043868,0.3053632953146803,False,,0.3137958128043868,0.3053632953146803,0.30907677763814545,0.37511359569597974,0.3158096266658748,0.0,0.0,0.0,False,0.30907677763814545,0.37511359569597974,0.3158096266658748,0.30907677763814545,0.3158096266658748,D,D,NARROW_DRAW_OVERRIDE,False,D,0.37511359569597974,D,0.3808408918809329,25.72545128262729,1.0,False,D,H,False,False,False,False,True,True,prob_draw>=0.335 & gap<=0.010,-0.05930396903010493,0.37511359569597974,True,D,prob_draw>=0.33 & gap<=0.02
第１節第３日,j1_2026_02081503_川崎Ｆ_柏,2026-02-08 15:03:00,Ｕ等々力,川崎Ｆ,柏,5.0,3.0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,12.350000000000001,6.35,,,,True,12.0,3.8,11.5,1.4,519.9,81.8,10.6,52.9,18.6,49.7,14.3,10.8,44.1,50.2,13.5,16.1,34.1,10.8,115.0,120.0,50.0,39.0,31.0,33.0,62.0,16.6,4.8,1.8,21.9,16.1,65.1,22.4,1.5,15.9,1.9,15.9,2.0,0.0,15.1,4.4,9.1,1.4,595.6,83.0,14.8,54.2,19.4,55.5,16.9,10.3,51.6,57.2,17.4,21.6,35.0,14.3,122.0,136.0,57.0,45.0,34.0,42.0,67.0,10.6,3.6,1.6,17.5,19.3,70.8,15.9,1.4,9.6,1.2,8.8,2.0,0.0,,0,0,0,,0,0,0,6,11,0,0,0.0,0,4,0.4,2026,20260401,8,8,0,0,0.0,1,5,1.5,2026,20260401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-31,team_master_stats_j1_2026_asof_20260331.csv,1512,1605,-0.1051,-0.1051,26.0,26.0,,,1.1,-92.2185,-66.2185,-92.2185,-48.5602,-48.5602,-48.5602,0.4535,False,0.3560893259525598,0.3410020930825878,0.3029085809648524,off,0.3507766628929355,0.33591452350063467,0.31330881360642976,0.3560893259525598,0.3029085809648524,False,,0.3560893259525598,0.3029085809648524,0.3507766628929355,0.33591452350063467,0.31330881360642976,0.0,0.0,0.0,False,0.3507766628929355,0.33591452350063467,0.31330881360642976,0.3507766628929355,0.31330881360642976,H,H,ARGMAX,False,H,0.3507766628929355,H,0.3560893259525598,48.56021976268861,1.0,False,H,H,True,False,False,False,True,False,,0.014862139392300855,0.33591452350063467,True,D,prob_draw>=0.33 & gap<=0.02
第１節第３日,j1_2026_02081603_東京Ｖ_水戸,2026-02-08 16:03:00,味スタ,東京Ｖ,水戸,3.0,1.0,0.0,10.0,0.0,0.0,,,,,,,0.0,10.0,,,False,False,False,12.350000000000001,6.35,,,,True,7.0,2.3,17.9,1.3,420.5,76.2,8.6,27.5,7.6,45.9,10.0,16.4,51.8,46.6,7.0,14.6,24.8,5.2,121.0,149.0,54.0,47.0,48.0,32.0,60.0,10.3,2.9,1.4,20.8,18.4,66.7,21.4,1.8,9.2,1.1,8.4,2.0,0.0,12.1,3.6,8.2,1.0,445.9,76.2,9.9,45.6,10.1,44.4,10.4,15.5,49.4,51.1,9.3,13.3,31.9,9.2,119.0,134.0,49.0,44.0,40.0,33.0,58.0,9.9,3.1,1.8,21.8,14.1,61.9,19.6,2.4,10.2,1.2,8.5,1.0,0.0,,0,0,0,,0,0,0,4,13,0,0,0.0,1,5,1.5,2026,20260401,9,8,0,0,0.0,-1,4,-0.6,2026,20260401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.05,0.03,0.02,0.05,0.03,0.02,False,False,j1,2026-03-31,team_master_stats_j1_2026_asof_20260331.csv,1455,1500,1.0583,1.0583,26.0,26.0,,,1.1,-44.647,-18.647,-44.647,-13.6745,-13.6745,-13.6745,0.4869,True,0.2933424856395725,0.4084141360864798,0.2982433782739478,off,0.28903238587980384,0.40241328126316817,0.308554332857028,0.2933424856395725,0.2982433782739478,False,,0.2933424856395725,0.2982433782739478,0.28903238587980384,0.40241328126316817,0.308554332857028,0.0,0.0,0.0,False,0.28903238587980384,0.40241328126316817,0.308554332857028,0.28903238587980384,0.308554332857028,D,D,NARROW_DRAW_OVERRIDE,False,D,0.40241328126316817,D,0.4084141360864798,13.674461687609211,1.0,False,D,H,False,False,False,False,True,True,prob_draw>=0.335 & gap<=0.010,-0.09385894840614017,0.40241328126316817,True,D,prob_draw>=0.33 & gap<=0.02
