match_id,datetime,home_team,away_team,home_rest_fatigue,away_rest_fatigue,home_recent_load_carry,away_recent_load_carry,home_travel_fatigue,away_travel_fatigue,home_away_condition_penalty,away_away_condition_penalty,away_travel_distance_km,travel_lookup_status,home_fatigue_score,away_fatigue_score
j1_2026_08071926_横浜FM_鹿島,2026-08-07 19:26:00,横浜FM,鹿島,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,team_not_found,0.0,4.0
j1_2026_08071933_G大阪_浦和,2026-08-07 19:33:00,Ｇ大阪,浦和,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,team_not_found,0.0,4.0
j1_2026_08081903_C大阪_岡山,2026-08-08 19:03:00,Ｃ大阪,岡山,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,team_not_found,0.0,4.0
j1_2026_08081903_名古屋_清水,2026-08-08 19:03:00,名古屋,清水,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,team_not_found,0.0,4.0
j1_2026_08081904_柏_水戸,2026-08-08 19:04:00,柏,水戸,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,team_not_found,0.0,4.0
j1_2026_08081904_福岡_神戸,2026-08-08 19:04:00,福岡,神戸,0.0,0.0,0.0,2.45,0.0,0.0,0.0,4.0,,team_not_found,0.0,6.45
j1_2026_08081905_FC東京_町田,2026-08-08 19:05:00,FC東京,町田,0.0,0.0,0.0,3.85,0.0,0.0,0.0,4.0,,team_not_found,0.0,7.85
j1_2026_08081919_広島_千葉,2026-08-08 19:19:00,広島,千葉,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,team_not_found,0.0,4.0
j1_2026_08091804_東京V_川崎F,2026-08-09 18:04:00,東京Ｖ,川崎Ｆ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,team_not_found,0.0,4.0
j1_2026_08091908_長崎_京都,2026-08-09 19:08:00,長崎,京都,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,team_not_found,0.0,4.0
j1_2026_08141903_東京V_柏,2026-08-14 19:03:00,東京Ｖ,柏,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,team_not_found,0.0,4.0
j1_2026_08151803_水戸_G大阪,2026-08-15 18:03:00,水戸,Ｇ大阪,0.0,0.0,1.4,0.0,0.0,0.0,0.0,4.0,,team_not_found,1.4,4.0
j1_2026_08151803_鹿島_名古屋,2026-08-15 18:03:00,鹿島,名古屋,0.0,0.0,1.4,0.0,0.0,0.0,0.0,4.0,,team_not_found,1.4,4.0
j1_2026_08151834_清水_横浜FM,2026-08-15 18:34:00,清水,横浜FM,0.0,0.0,1.4,0.0,0.0,0.0,0.0,4.0,,team_not_found,1.4,4.0
j1_2026_08151900_岡山_長崎,2026-08-15 19:00:00,岡山,長崎,0.0,0.0,1.4,0.0,0.0,0.0,0.0,4.0,,team_not_found,1.4,4.0
j1_2026_08151903_浦和_広島,2026-08-15 19:03:00,浦和,広島,0.0,0.0,1.4,0.0,0.0,0.0,0.0,4.0,,team_not_found,1.4,4.0
j1_2026_08151903_神戸_FC東京,2026-08-15 19:03:00,神戸,FC東京,0.0,0.0,3.6575,0.0,0.0,0.0,0.0,4.0,,team_not_found,3.66,4.0
j1_2026_08151903_福岡_C大阪,2026-08-15 19:03:00,福岡,Ｃ大阪,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,team_not_found,0.0,4.0
j1_2026_08151903_川崎F_京都,2026-08-15 19:03:00,川崎Ｆ,京都,0.0,0.0,1.4,1.4,0.0,0.0,0.0,4.0,,team_not_found,1.4,5.4
j1_2026_08151904_千葉_町田,2026-08-15 19:04:00,千葉,町田,0.0,0.0,1.4,4.8475,0.0,0.0,0.0,4.0,,team_not_found,1.4,8.85
j1_2026_08211903_柏_長崎,2026-08-21 19:03:00,柏,長崎,0.0,0.0,1.4,1.4,0.0,0.0,0.0,4.0,,team_not_found,1.4,5.4
j1_2026_08211934_FC東京_千葉,2026-08-21 19:34:00,FC東京,千葉,0.0,0.0,1.4,1.29,0.0,0.0,0.0,4.0,,team_not_found,1.4,5.29
j1_2026_08221803_鹿島_福岡,2026-08-22 18:03:00,鹿島,福岡,0.0,0.0,1.29,0.0,0.0,0.0,0.0,4.0,,team_not_found,1.29,4.0
j1_2026_08221833_岡山_東京V,2026-08-22 18:33:00,岡山,東京Ｖ,0.0,0.0,1.29,0.0,0.0,0.0,0.0,4.0,,team_not_found,1.29,4.0
j1_2026_08221903_C大阪_清水,2026-08-22 19:03:00,Ｃ大阪,清水,0.0,0.0,1.4,1.29,0.0,0.0,0.0,4.0,,team_not_found,1.4,5.29
j1_2026_08221903_京都_水戸,2026-08-22 19:03:00,京都,水戸,0.0,0.0,2.69,1.29,0.0,0.0,0.0,4.0,,team_not_found,2.69,5.29
j1_2026_08221903_名古屋_G大阪,2026-08-22 19:03:00,名古屋,Ｇ大阪,0.0,0.0,1.4,1.4,0.0,0.0,0.0,4.0,,team_not_found,1.4,5.4
j1_2026_08221920_広島_川崎F,2026-08-22 19:20:00,広島,川崎Ｆ,0.0,0.0,1.4,1.29,0.0,0.0,0.0,4.0,,team_not_found,1.4,5.29
j1_2026_08221933_横浜FM_神戸,2026-08-22 19:33:00,横浜FM,神戸,0.0,0.0,1.4,3.2701,0.0,0.0,0.0,4.0,,team_not_found,1.4,7.27
