match_no,league,home_team,away_team,best_second,actual_symbol,actual_result,ticket01,ticket01_is_hit,ticket02,ticket02_is_hit,ticket03,ticket03_is_hit,ticket04,ticket04_is_hit,ticket05,ticket05_is_hit,ticket06,ticket06_is_hit,ticket07,ticket07_is_hit,ticket08,ticket08_is_hit,ticket09,ticket09_is_hit,ticket10,ticket10_is_hit
1,J1,水戸,浦和,best=0 second=2 third=1 (base=0) margin=0.086,2,A,0,False,0,False,0,False,0,False,0,False,0,False,2,True,0,False,0,False,2,True
2,J1,横浜FM,鹿島,best=2 second=0 third=1 (base=2) margin=0.324,0,D,2,False,2,False,2,False,0,True,2,False,2,False,2,False,2,False,2,False,2,False
3,J1,神戸,岡山,best=0 second=2 third=1 (base=0) margin=0.067,2,A,0,False,0,False,0,False,1,False,0,False,0,False,0,False,0,False,0,False,1,False
4,J1,Ｇ大阪,広島,best=0 second=2 third=1 (base=0) margin=0.134,2,A,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False
5,J1,名古屋,京都,best=1 second=0 third=2 (base=1) margin=0.095,1,H,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True
6,J1,Ｃ大阪,長崎,best=0 second=1 third=2 (base=0) margin=0.062,1,H,0,False,0,False,0,False,0,False,0,False,0,False,1,True,0,False,0,False,0,False
7,J1,清水,福岡,best=0 second=1 third=2 (base=0) margin=0.205,0,D,0,True,2,False,1,False,0,True,0,True,0,True,0,True,0,True,0,True,0,True
8,J1,FC東京,東京Ｖ,best=1 second=0 third=2 (base=1) margin=0.088,1,H,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True
9,J1,千葉,町田,best=2 second=0 third=1 (base=2) margin=0.109,2,A,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True
10,J1,柏,川崎Ｆ,best=0 second=2 third=1 (base=0) margin=0.198,1,H,0,False,0,False,0,False,0,False,0,False,0,False,1,True,0,False,0,False,0,False
11,J2,札幌,大宮,best=0 second=1 third=2 (base=0) margin=0.103,1,H,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False
12,J2,大分,鳥栖,best=2 second=0 third=1 (base=2) margin=0.034,2,A,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True,0,False
13,J2,いわき,甲府,best=1 second=0 third=2 (base=1) margin=0.021,2,A,1,False,1,False,0,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False
