profile,matches,hit_rate,pred_H,pred_D,pred_A,actual_D,maxp_gt_060,maxp_050_060,maxp_lt_050,avg_maxp,avg_draw,logloss,brier
j1_baseline,80,0.4375,46,2,32,26,0,6,74,0.4035963122457476,0.3287262718458616,1.0810473602501236,0.6537166509136456
j2_baseline,41,0.3902439024390244,29,3,9,9,0,2,39,0.4006024969213646,0.3336730431223807,1.1587399981584545,0.7004346710440053
j1_draw_v1,80,0.45,32,48,0,26,0,1,79,0.3879913334574031,0.3497069507508045,1.0748087061862315,0.650384772054366
j2_draw_v1,41,0.21951219512195122,0,41,0,9,41,0,0,1.0,1.0,26.957093771637606,1.5609756097560943
