round_key,n_matches,avg_maxP,avg_margin12,close_rate,pred_rate_H,pred_rate_D,pred_rate_A,avg_p_draw,corr_eloabs_pdraw,acc,actual_rate_H,actual_rate_D,actual_rate_A,brier,logloss,expected_correct_proxy,delta_hits_proxy
__ALL__,380,0.49779999999999996,0.21959736842105265,0.08157894736842106,0.5578947368421052,0.0,0.4421052631578947,0.23700000000000002,-0.4970183222996768,0.4763157894736842,0.4421052631578947,0.25526315789473686,0.3026315789473684,0.6233739842105264,1.039393516417145,0.49779999999999996,-8.163999999999987
第１節第１日,1,0.426,0.10199999999999998,0.0,1.0,0.0,0.0,0.251,,0.0,0.0,0.0,1.0,0.7014529999999999,1.1270117631898076,0.426,-0.426
第１節第２日,7,0.41171428571428575,0.07628571428571428,0.14285714285714285,0.5714285714285714,0.0,0.42857142857142855,0.25285714285714284,-0.9974072380321765,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.6722528571428572,1.1055738283182714,0.41171428571428575,-0.8820000000000001
第１節第３日,2,0.3925,0.041000000000000036,0.5,0.5,0.0,0.5,0.256,-1.0,0.5,0.0,0.0,1.0,0.613244,1.009361403322565,0.3925,0.21499999999999997
第２節第１日,9,0.42066666666666663,0.09266666666666667,0.2222222222222222,0.7777777777777778,0.0,0.2222222222222222,0.25133333333333335,-0.977462542379351,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.6538815555555556,1.0843150509715624,0.42066666666666663,-0.7859999999999996
第２節第２日,1,0.448,0.14300000000000002,0.0,1.0,0.0,0.0,0.247,,1.0,1.0,0.0,0.0,0.458738,0.8029620465671519,0.448,0.552
第３節第１日,10,0.43050000000000005,0.11059999999999999,0.0,0.8,0.0,0.2,0.24969999999999998,-0.9165569174870466,0.6,0.5,0.3,0.2,0.6080337,1.021157122350223,0.43050000000000005,1.6949999999999994
第４節第１日,4,0.4355,0.11975,0.0,0.75,0.0,0.25,0.249,-0.11031653548666537,0.25,0.25,0.25,0.5,0.71112675,1.1575525312223158,0.4355,-0.742
第４節第２日,6,0.41383333333333333,0.08000000000000002,0.5,0.3333333333333333,0.0,0.6666666666666666,0.25233333333333335,-0.9129377422238071,0.5,0.16666666666666666,0.3333333333333333,0.5,0.6300173333333333,1.0526452725531183,0.41383333333333333,0.5169999999999999
第５節第１日,7,0.41814285714285715,0.08800000000000001,0.14285714285714285,0.5714285714285714,0.0,0.42857142857142855,0.25185714285714284,-0.11883447483102091,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.717607,1.173050786662804,0.41814285714285715,-0.927
第５節第２日,1,0.48,0.20099999999999996,0.0,1.0,0.0,0.0,0.241,,0.0,0.0,0.0,1.0,0.808322,1.2765434971607714,0.48,-0.48
第５節第３日,1,0.495,0.22899999999999998,0.0,1.0,0.0,0.0,0.238,,0.0,0.0,1.0,0.0,0.896425,1.4354846053106625,0.495,-0.495
第５節第４日,1,0.475,0.192,0.0,0.0,0.0,1.0,0.242,,0.0,1.0,0.0,0.0,0.798278,1.2623083813388996,0.475,-0.475
第６節第１日,4,0.441,0.12975,0.0,0.5,0.0,0.5,0.24775,-0.9399129089699385,0.5,1.0,0.0,0.0,0.5558915,0.9333519351140689,0.441,0.236
第６節第２日,6,0.43533333333333335,0.11933333333333333,0.3333333333333333,0.8333333333333334,0.0,0.16666666666666666,0.24883333333333332,-0.8706885382774829,0.16666666666666666,0.16666666666666666,0.5,0.3333333333333333,0.7866401666666668,1.2673924807036494,0.43533333333333335,-1.612
第７節第１日,1,0.404,0.062,0.0,1.0,0.0,0.0,0.254,,0.0,0.0,1.0,0.0,0.8366960000000001,1.3704210119636004,0.404,-0.404
第７節第２日,9,0.459,0.15733333333333333,0.2222222222222222,0.3333333333333333,0.0,0.6666666666666666,0.24444444444444446,-0.4275348975658029,0.3333333333333333,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.6857676666666667,1.1182880049101136,0.459,-1.1310000000000002
第８節第１日,10,0.41129999999999994,0.07530000000000002,0.2,0.2,0.0,0.8,0.2529,0.38373231373985073,0.5,0.5,0.2,0.3,0.6308073999999999,1.0443525873497013,0.41129999999999994,0.8870000000000005
第９節第１日,1,0.429,0.10799999999999998,0.0,1.0,0.0,0.0,0.25,,0.0,0.0,1.0,0.0,0.8495820000000001,1.3862943611198906,0.429,-0.429
第９節第２日,9,0.5001111111111111,0.22655555555555557,0.1111111111111111,0.7777777777777778,0.0,0.2222222222222222,0.2372222222222222,-0.5799714396798541,0.5555555555555556,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.5999092222222223,1.007009928193984,0.5001111111111111,0.49900000000000055
第１０節第１日,1,0.565,0.33899999999999997,0.0,0.0,0.0,1.0,0.226,,0.0,0.0,1.0,0.0,0.9619819999999999,1.487220279709851,0.565,-0.565
第１０節第２日,7,0.4882857142857143,0.21514285714285716,0.0,0.5714285714285714,0.0,0.42857142857142855,0.23942857142857138,-0.1643322063389927,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.6294230000000002,1.047759261155891,0.4882857142857143,0.5819999999999999
第１０節第３日,2,0.434,0.11699999999999999,0.0,0.5,0.0,0.5,0.249,-0.9999999999999999,0.0,0.0,0.5,0.5,0.81847,1.3176113456238443,0.434,-0.868
第１１節第１日,1,0.639,0.42900000000000005,0.0,0.0,0.0,1.0,0.21,,1.0,0.0,0.0,1.0,0.19722199999999998,0.44785082460460224,0.639,0.361
第１１節第２日,9,0.48299999999999993,0.19622222222222221,0.0,0.3333333333333333,0.0,0.6666666666666666,0.23988888888888887,-0.47782212023449183,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.6908446666666666,1.1390874992850804,0.48299999999999993,-1.3469999999999995
第１２節第１日,2,0.432,0.11349999999999999,0.0,0.0,0.0,1.0,0.2495,1.0,0.5,0.5,0.0,0.5,0.570761,0.9527911783164001,0.432,0.136
第１２節第２日,7,0.4764285714285714,0.1732857142857143,0.42857142857142855,0.7142857142857143,0.0,0.2857142857142857,0.24014285714285716,-0.9042032303889104,0.42857142857142855,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.5432498571428571,0.9227637921045456,0.4764285714285714,-0.33499999999999996
第１２節第３日,1,0.706,0.5129999999999999,0.0,1.0,0.0,0.0,0.193,,0.0,0.0,1.0,0.0,1.160089,1.6450650900772514,0.706,-0.706
第１３節第１日,8,0.531625,0.27125,0.0,0.25,0.0,0.75,0.230875,-0.5014639816485528,0.5,0.125,0.125,0.75,0.6527648749999999,1.0929570690733557,0.531625,-0.2530000000000001
第１３節第２日,2,0.5025000000000001,0.23550000000000004,0.0,0.5,0.0,0.5,0.2365,0.9999999999999999,0.5,0.0,0.5,0.5,0.5749715,0.989092718803551,0.5025000000000001,-0.0050000000000001155
第１４節第１日,8,0.49787499999999996,0.21875,0.25,0.875,0.0,0.125,0.23725,0.08563238548490493,0.75,0.625,0.0,0.375,0.6071377499999999,1.0237947504422658,0.49787499999999996,2.0170000000000003
