team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
いわき,13.4,3.4,9.0,1.2,396.4,70.2,10.2,54.9,13.0,47.7,19.0,23.2,56.6,51.9,9.6,16.4,36.8,5.2,12.4,4.4,2.4,21.6,17.0,63.5,18.2,1.8,8.2,1.6,6.6,,0.033
今治,13.6,2.8,5.9,0.8,470.0,80.0,10.8,38.9,11.6,56.9,11.8,13.8,48.9,51.6,11.2,12.8,33.0,7.1,14.4,4.6,2.6,26.0,13.4,64.2,16.6,3.4,6.9,1.3,6.9,,0.033
仙台,15.4,5.4,11.7,1.8,393.8,71.7,8.6,44.2,14.2,40.8,15.0,22.4,61.5,46.5,11.0,14.4,36.6,8.0,8.6,2.2,1.0,22.4,18.6,57.0,20.8,1.6,4.3,0.8,4.3,2.0,0.0
八戸,9.8,2.4,6.1,0.6,374.8,68.2,7.6,50.0,7.6,28.9,9.6,18.8,47.7,47.3,7.0,16.2,39.8,3.6,14.0,4.4,1.4,32.2,18.4,67.4,23.4,1.0,9.0,1.8,9.0,3.0,0.0
大分,11.4,3.4,8.8,1.0,504.6,78.2,7.2,41.7,11.6,46.6,14.8,17.8,46.4,51.2,9.2,17.2,33.2,6.0,12.2,3.6,0.8,22.4,19.2,74.0,16.8,1.6,5.1,1.0,5.1,1.0,0.0
大宮,16.2,5.4,12.3,2.0,439.0,75.0,13.6,52.9,15.0,45.3,17.8,14.6,43.2,52.3,13.8,21.2,39.4,7.7,12.4,3.2,1.0,31.2,19.6,71.4,22.2,0.8,5.7,1.1,5.7,2.0,0.0
宮崎,13.0,3.4,4.6,0.6,478.2,76.1,13.4,56.7,13.2,43.9,20.8,16.2,48.5,54.6,10.2,17.6,37.6,5.5,13.8,5.2,1.6,24.4,15.2,65.8,21.0,1.0,5.6,1.1,5.6,1.0,0.0
富山,21.0,7.2,10.5,2.2,603.6,81.4,14.2,50.7,21.8,55.0,20.4,13.2,54.5,56.0,18.6,22.0,42.8,8.8,11.6,3.0,1.0,17.2,20.2,73.3,19.4,0.8,5.5,1.1,5.5,3.0,0.0
山形,16.0,6.0,10.0,1.6,503.6,81.6,10.2,68.6,12.2,57.4,18.8,13.2,48.9,52.9,14.2,16.6,32.6,7.6,14.8,4.0,0.6,19.2,14.6,65.8,14.8,1.8,5.9,1.1,5.9,3.0,0.0
徳島,8.2,2.0,7.3,0.6,424.8,79.0,8.0,47.5,10.0,46.0,7.8,12.0,42.3,50.8,6.0,16.2,28.4,3.5,15.4,5.0,0.8,25.2,17.8,69.7,20.8,2.2,8.0,1.6,7.3,3.0,0.0
新潟,11.4,4.2,10.5,1.2,382.0,70.4,9.8,46.9,9.6,50.0,12.6,15.0,43.4,44.8,8.0,17.6,34.0,5.9,13.6,4.2,1.8,29.8,20.2,64.4,23.6,2.0,7.1,1.4,7.1,1.0,0.0
札幌,13.6,4.2,8.8,1.2,541.0,78.7,15.2,39.5,13.4,46.3,17.0,15.4,48.7,55.5,12.4,17.2,33.4,5.9,11.0,4.8,2.4,16.0,15.6,71.8,13.2,1.6,6.2,1.2,5.4,1.0,0.0
栃木C,16.0,6.2,16.3,2.6,370.6,72.7,9.0,55.6,11.2,44.6,10.8,18.4,50.5,47.1,12.0,16.2,40.0,9.8,17.6,4.0,1.4,33.2,21.2,52.8,24.6,1.0,8.1,1.6,7.3,1.0,0.0
横浜FC,16.4,5.2,13.4,2.2,499.0,80.9,9.4,63.8,13.6,51.5,17.4,10.2,49.5,55.1,13.0,14.0,34.2,9.0,13.2,4.2,1.0,19.0,14.6,54.8,17.6,2.0,6.3,1.2,5.5,2.0,0.0
湘南,10.8,3.0,9.3,1.0,390.0,73.3,9.4,55.3,14.0,55.7,12.8,16.6,46.4,45.3,9.6,14.6,37.4,4.5,15.0,5.4,1.0,26.4,15.6,60.3,18.8,0.8,6.9,1.3,5.3,3.0,0.0
甲府,10.8,3.8,9.3,1.0,403.8,73.8,7.4,48.6,8.8,50.0,14.0,17.0,44.3,44.0,9.0,15.2,33.6,4.3,14.8,5.0,1.6,30.0,16.0,72.5,19.2,2.4,7.2,1.4,6.4,,0.033
磐田,15.4,4.4,9.1,1.4,451.4,75.8,10.4,42.3,15.6,51.3,13.4,16.8,50.9,51.5,12.0,18.2,38.8,9.2,11.0,3.2,1.4,22.0,22.6,61.1,21.4,1.0,4.6,0.9,3.8,,0.033
秋田,11.4,3.6,7.0,0.8,261.8,50.3,7.0,57.1,11.0,34.5,13.4,31.0,54.4,39.8,6.8,14.4,36.2,4.9,18.0,4.8,1.2,31.0,20.0,52.0,19.6,1.0,8.5,1.7,8.5,2.0,0.0
藤枝,9.4,2.8,17.0,1.6,371.6,71.9,8.6,48.8,9.4,38.3,10.2,16.8,50.3,47.6,8.0,13.6,34.4,5.5,13.6,4.8,0.8,29.2,17.4,54.0,20.8,1.0,5.9,1.1,5.1,2.0,0.0
鳥栖,16.0,5.4,8.8,1.4,465.6,80.9,11.6,37.9,12.0,45.0,13.0,15.4,62.6,51.3,11.6,12.8,34.0,8.4,11.8,4.2,1.0,30.0,11.0,76.4,18.8,0.8,5.5,1.1,5.5,3.0,0.0
