team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均走行距離,1試合平均スプリント回数,1試合平均Atスプリント回数,1試合平均Mtスプリント回数,1試合平均Dtスプリント回数,1試合平均ポゼッション時の走行距離,1試合平均ポゼッション時のスプリント回数,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
FC東京,15.4,5.1,11.3,1.8,479.1,78.8,11.1,54.2,16.3,51.3,15.3,13.3,52.2,52.5,12.8,17.0,35.9,26.2,118.0,150.0,67.0,47.0,35.0,37.0,84.0,10.3,3.0,0.9,21.3,17.0,64.7,17.4,1.9,14.4,0.9,14.4,5.0,0.0
FC町田ゼルビア,11.4,3.8,11.5,1.3,414.6,77.2,11.8,56.6,9.2,48.3,11.9,13.8,49.7,46.0,8.6,18.2,30.4,18.7,117.0,112.0,42.0,34.0,35.0,31.0,49.0,10.6,3.6,1.1,17.1,16.9,67.9,17.9,1.3,17.1,1.0,15.4,6.0,0.0
V・ファーレン長崎,10.9,3.6,10.3,1.1,413.9,74.4,10.2,49.7,10.4,43.1,9.6,15.9,50.0,48.3,8.8,15.1,33.1,20.7,113.0,132.0,46.0,42.0,45.0,29.0,57.0,14.6,4.6,1.6,27.5,15.8,63.5,20.4,2.8,25.0,1.5,22.5,3.0,0.0
アビスパ福岡,10.7,3.0,9.3,1.0,339.5,71.3,10.1,44.2,9.3,43.7,10.1,16.6,47.6,42.6,8.1,15.5,33.5,16.2,116.0,111.0,34.0,39.0,37.0,28.0,45.0,12.1,3.6,1.5,26.5,18.1,60.9,19.4,1.9,20.6,1.2,19.8,2.0,0.0
ガンバ大阪,13.1,5.3,10.8,1.4,467.9,76.3,12.3,51.9,15.6,48.5,13.1,15.4,48.6,55.8,11.3,17.5,41.4,24.3,113.0,123.0,44.0,41.0,39.0,33.0,58.0,12.0,4.2,1.2,23.4,16.3,67.9,21.6,1.8,23.8,1.4,21.4,4.0,0.0
サンフレッチェ広島,16.2,4.2,8.1,1.3,471.2,74.5,9.4,51.7,17.4,45.5,17.8,19.8,51.5,53.8,13.3,15.5,41.1,28.8,111.0,131.0,55.0,41.0,35.0,32.0,65.0,10.1,3.1,1.2,17.4,16.3,65.4,21.3,1.3,17.3,1.0,16.5,3.0,0.0
ジェフユナイテッド千葉,11.4,3.6,8.8,1.0,417.8,76.3,12.8,49.5,9.3,38.5,12.6,14.8,52.1,47.7,8.6,16.3,29.8,19.5,119.0,120.0,38.0,41.0,41.0,34.0,51.0,16.9,4.8,1.6,28.5,16.7,59.6,17.9,1.8,28.3,1.7,26.6,2.0,0.0
セレッソ大阪,11.3,3.8,9.4,1.1,461.0,76.9,10.6,58.6,19.8,42.9,13.5,15.2,54.7,50.5,10.8,16.9,34.5,20.9,121.0,140.0,53.0,44.0,43.0,35.0,70.0,13.7,3.5,1.0,29.0,18.3,58.9,24.2,1.0,26.2,1.6,22.9,6.0,0.0
ファジアーノ岡山,11.3,3.3,11.1,1.3,318.1,66.4,10.4,50.9,10.4,50.3,16.4,20.3,53.0,42.5,8.8,14.8,32.8,20.3,113.0,138.0,54.0,45.0,40.0,27.0,65.0,11.4,4.3,1.4,26.9,16.3,58.5,23.3,1.4,18.7,1.1,17.9,4.0,0.0
ヴィッセル神戸,13.1,4.1,11.5,1.5,464.8,74.3,7.4,48.3,11.4,50.3,15.2,24.7,50.7,53.7,9.4,13.5,38.4,26.2,115.0,134.0,47.0,41.0,46.0,33.0,57.0,10.6,3.8,1.2,24.4,16.2,61.4,20.7,1.8,17.3,1.0,16.4,5.0,0.0
