team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
いわき,15.3,4.1,9.1,1.4,337.2,65.3,10.1,45.4,12.5,47.1,16.1,26.1,56.6,47.7,11.6,18.8,40.3,24.7,10.5,2.7,1.1,27.1,19.4,73.2,20.7,1.3,16.2,1.0,16.2,5.0,0.0
今治,12.3,3.7,5.4,0.7,406.8,71.1,11.1,47.3,13.5,41.9,14.1,16.9,48.3,48.8,8.6,17.9,40.3,16.6,10.8,3.2,0.9,21.9,19.5,64.8,23.0,1.8,15.4,1.0,14.6,5.0,0.0
仙台,15.1,4.5,12.8,1.9,405.9,73.4,11.6,52.9,12.4,45.7,14.1,18.4,49.9,51.7,11.2,18.3,38.5,22.2,9.5,3.2,0.7,20.7,17.4,70.1,18.7,1.4,13.7,0.9,13.7,7.0,0.0
八戸,11.7,3.3,7.4,0.9,316.4,60.2,9.5,51.4,8.5,43.0,16.3,22.5,47.1,43.9,7.1,16.7,41.4,16.8,9.1,3.1,1.1,25.5,19.5,60.4,24.3,1.1,13.2,0.8,12.4,4.0,0.0
大分,12.3,3.3,9.2,1.1,486.5,75.9,9.2,49.3,11.4,49.7,14.7,22.4,56.9,53.3,9.1,16.6,36.9,21.0,11.2,2.8,1.0,23.4,19.3,62.4,19.7,1.3,14.4,0.9,13.6,8.0,0.0
大宮,17.1,5.6,12.5,2.1,478.1,73.8,12.6,49.2,14.2,49.8,19.7,18.3,49.4,56.7,13.5,19.0,45.7,27.6,13.0,3.8,1.5,21.9,20.7,61.7,23.3,0.9,19.5,1.3,19.5,2.0,0.0
宮崎,12.8,4.6,15.6,2.0,431.8,75.1,10.6,57.2,12.9,45.4,16.7,19.8,56.4,49.7,10.4,17.7,34.0,18.2,9.2,1.9,0.5,23.5,17.9,65.3,19.1,1.7,12.0,0.8,12.0,9.0,0.0
富山,17.9,5.6,11.9,2.1,522.7,79.3,14.1,51.9,18.2,52.7,16.4,13.7,51.6,54.7,14.5,19.1,38.4,25.8,11.7,3.8,1.1,21.7,17.1,68.5,21.5,1.7,16.5,1.1,16.5,4.0,0.0
山形,9.4,2.9,10.6,1.0,403.1,74.7,8.3,50.4,9.6,51.4,10.4,18.2,48.1,49.2,8.2,15.6,32.6,13.4,15.3,4.4,1.2,28.7,17.7,64.5,22.4,1.1,24.6,1.6,23.9,3.0,0.0
徳島,11.1,4.9,19.3,2.1,450.4,78.4,11.0,55.8,13.9,42.6,12.9,12.7,48.7,51.8,9.4,18.6,32.6,17.4,13.1,4.1,1.1,22.5,19.0,65.6,18.9,1.5,18.3,1.2,17.5,8.0,0.0
新潟,9.2,3.1,11.6,1.1,428.6,74.8,10.9,41.5,12.9,44.8,12.3,15.4,46.4,49.4,7.1,16.5,35.3,12.7,12.7,4.6,0.9,26.2,18.2,65.9,22.2,2.0,16.4,1.0,16.4,9.0,0.0
札幌,12.4,3.5,10.2,1.3,529.9,77.8,9.4,50.4,12.9,45.1,13.3,16.3,51.1,54.0,10.5,16.8,35.5,23.6,12.5,4.0,1.2,20.9,19.9,60.5,18.7,1.7,19.9,1.3,19.9,4.0,0.0
栃木C,10.4,3.3,10.9,1.1,439.7,73.0,15.1,50.0,11.4,45.6,14.3,18.9,52.4,53.5,8.7,17.6,38.4,13.7,16.1,5.3,2.1,30.2,16.9,59.7,20.2,0.8,25.5,1.7,23.1,2.0,0.0
