team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
いわき,13.5,4.5,11.1,1.5,352.0,67.5,7.5,73.3,14.5,55.2,19.5,22.5,53.6,50.9,11.0,17.5,31.0,1.7,11.0,3.0,2.0,27.0,19.0,63.2,18.0,1.5,3.5,1.7,1.9,,0.033
今治,16.0,3.0,9.4,1.5,457.5,75.4,12.5,48.0,15.5,58.1,15.5,18.5,50.7,58.2,13.5,17.0,42.0,3.4,14.0,4.5,2.5,27.0,13.5,81.5,13.5,1.0,2.3,1.1,2.3,,0.033
仙台,14.0,3.0,,,503.0,73.5,11.0,40.9,15.5,41.9,21.5,25.0,68.5,52.9,9.0,14.5,44.5,2.9,7.5,2.5,1.0,13.0,21.0,47.6,20.0,1.0,1.9,0.9,1.9,1.0,0.067
八戸,12.5,2.5,8.0,1.0,288.0,64.9,7.5,60.0,7.0,42.9,10.5,17.5,51.5,41.8,9.0,22.0,42.0,1.5,16.0,6.0,2.5,40.5,26.5,66.0,29.0,1.5,5.1,2.5,5.1,1.0,0.0
大分,7.5,1.5,,,507.5,76.8,4.0,37.5,12.0,37.5,10.5,20.0,46.0,55.0,7.0,10.5,31.5,0.7,15.5,5.0,0.5,29.0,16.0,56.3,18.5,2.0,2.4,1.2,2.4,1.0,0.067
大宮,17.0,4.0,11.8,2.0,361.5,71.5,12.0,58.3,15.0,36.7,12.5,17.5,48.6,43.4,14.0,23.0,38.5,2.8,14.0,2.5,1.0,35.5,24.0,66.7,25.5,,2.4,1.2,2.4,1.0,0.033
宮崎,13.0,3.5,3.8,0.5,458.0,76.5,13.5,59.3,12.0,41.7,19.0,16.5,47.1,53.9,10.0,17.0,36.0,2.2,14.5,3.0,1.0,22.0,14.5,62.1,18.5,1.0,2.5,1.2,2.5,,0.033
富山,23.5,6.5,8.5,2.0,666.5,82.2,15.5,38.7,23.5,57.4,21.5,21.0,58.3,65.8,22.0,19.5,49.5,4.2,8.0,1.5,1.0,13.5,19.0,71.1,21.5,1.0,0.8,0.4,0.8,1.0,0.0
山形,16.0,5.0,6.3,1.0,450.0,79.1,12.0,70.8,12.5,72.0,21.0,14.5,42.0,50.0,16.5,19.5,36.0,3.3,14.5,4.0,0.5,24.5,15.5,71.0,20.0,2.5,2.6,1.3,2.6,1.0,0.0
徳島,7.0,1.5,,,470.0,78.9,8.5,52.9,9.0,33.3,9.5,9.0,41.9,50.6,5.5,18.0,32.0,1.4,16.0,7.0,1.0,17.0,20.5,65.9,21.0,3.0,3.4,1.7,3.4,1.0,0.067
