team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均走行距離,1試合平均スプリント回数,1試合平均Atスプリント回数,1試合平均Mtスプリント回数,1試合平均Dtスプリント回数,1試合平均ポゼッション時の走行距離,1試合平均ポゼッション時のスプリント回数,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
FC東京,14.6,4.5,8.9,1.3,491.4,78.8,11.6,50.0,17.1,49.1,15.0,14.2,54.8,53.4,12.0,17.9,36.0,15.2,119.0,150.0,67.0,48.0,35.0,38.0,84.0,9.8,3.1,0.7,19.3,18.4,65.8,17.8,2.0,7.8,0.7,7.8,4.0,0.0
FC町田ゼルビア,11.5,3.6,11.3,1.3,409.6,76.8,11.0,60.9,9.6,47.9,12.3,13.3,50.4,45.4,8.7,18.3,30.9,11.7,118.0,113.0,42.0,34.0,36.0,30.0,48.0,11.8,4.0,1.5,18.8,16.7,69.5,17.5,1.3,13.0,1.3,11.4,2.0,0.0
V・ファーレン長崎,10.7,3.4,10.4,1.1,439.9,75.5,12.2,53.6,11.1,43.0,9.2,16.0,49.5,48.6,8.6,17.2,34.4,9.8,115.0,137.0,47.0,44.0,45.0,30.0,62.0,14.7,4.0,1.6,29.7,16.1,66.2,22.7,3.5,13.5,1.5,12.7,3.0,0.0
アビスパ福岡,12.1,3.1,6.4,0.8,349.2,70.9,10.8,40.2,10.8,47.4,10.6,16.7,48.2,43.2,8.9,14.8,35.3,10.0,117.0,114.0,36.0,41.0,37.0,29.0,49.0,13.3,4.2,1.8,24.4,18.2,57.3,21.8,2.0,12.7,1.4,11.9,1.0,0.0
ガンバ大阪,13.2,5.4,10.9,1.4,464.0,75.1,11.1,52.0,16.1,46.2,11.2,16.0,46.8,55.5,11.9,17.2,43.5,11.6,112.0,118.0,39.0,43.0,36.0,32.0,56.0,13.2,4.2,1.2,24.7,16.9,67.8,23.2,2.0,12.4,1.3,10.8,3.0,0.0
サンフレッチェ広島,15.8,3.7,8.5,1.3,453.4,73.7,9.8,45.5,16.1,42.1,15.2,21.8,52.0,52.9,13.6,14.4,39.9,13.8,112.0,135.0,54.0,42.0,39.0,32.0,65.0,10.3,3.2,1.4,18.1,16.1,62.1,22.0,1.3,10.9,1.2,10.1,1.0,0.0
ジェフユナイテッド千葉,11.7,3.7,8.6,1.0,423.6,76.2,12.1,48.6,10.2,40.2,13.4,14.4,49.6,47.5,8.9,16.2,33.3,11.4,120.0,118.0,37.0,38.0,43.0,34.0,48.0,19.1,5.5,1.6,31.9,17.9,57.8,19.2,1.9,19.3,2.1,17.7,1.0,0.0
セレッソ大阪,11.6,3.5,6.7,0.8,465.0,75.7,10.2,53.3,19.1,43.6,15.1,15.9,53.0,50.4,12.1,16.9,37.0,11.4,122.0,142.0,56.0,44.0,42.0,36.0,72.0,14.4,2.9,1.1,29.8,19.8,57.9,24.9,0.8,11.9,1.3,11.9,3.0,0.0
ファジアーノ岡山,12.8,3.7,7.8,1.0,338.2,68.1,11.6,53.8,10.0,46.7,16.8,20.9,53.7,45.1,10.0,16.6,33.4,11.8,113.0,142.0,58.0,47.0,37.0,29.0,67.0,10.8,4.2,1.3,24.4,16.7,62.0,22.6,1.6,9.7,1.0,8.9,1.0,0.0
ヴィッセル神戸,13.1,4.1,14.5,1.9,443.0,73.2,7.3,47.9,11.6,52.6,13.1,25.9,50.5,52.6,9.3,13.7,38.6,16.4,116.0,142.0,48.0,45.0,49.0,32.0,57.0,10.2,3.5,0.8,27.0,16.8,60.7,20.7,1.9,10.2,1.0,9.4,3.0,0.0
