team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
いわき,15.4,4.0,8.5,1.3,345.4,65.7,10.3,44.2,12.4,46.7,16.1,25.9,56.1,48.3,11.6,18.6,40.3,27.0,10.3,2.8,1.1,26.3,19.3,72.8,20.4,1.3,16.7,1.0,16.7,5.0,0.0
今治,12.1,3.7,6.2,0.8,398.6,70.5,11.1,48.6,12.8,42.0,14.0,17.3,48.5,48.3,8.6,17.8,40.3,18.3,10.8,3.1,0.9,23.6,19.3,64.1,22.9,1.7,16.4,1.0,15.6,5.0,0.0
仙台,14.9,4.6,12.6,1.9,407.3,73.1,11.5,51.1,12.1,46.4,13.9,18.3,50.6,52.0,11.3,18.1,38.8,23.1,9.4,3.2,0.8,21.1,17.4,70.1,18.8,1.5,14.6,0.9,14.6,7.0,0.0
八戸,11.5,3.3,7.6,0.9,313.6,59.9,9.8,51.3,8.4,44.8,16.1,21.7,46.6,43.9,7.1,17.3,41.4,17.7,9.3,3.3,1.1,26.0,20.0,61.3,24.3,1.1,14.2,0.8,13.4,4.0,0.0
大分,12.0,3.1,8.9,1.1,494.2,76.5,9.0,49.3,11.1,48.3,14.8,21.8,56.4,53.4,8.8,16.1,36.3,21.6,11.2,2.7,1.0,23.2,18.8,61.8,19.5,1.3,15.4,0.9,14.6,8.0,0.0
大宮,17.1,5.7,12.8,2.2,477.3,74.0,12.5,48.5,14.0,50.0,19.4,18.4,49.2,56.8,13.3,18.6,45.4,30.1,13.0,3.9,1.6,21.6,20.4,61.5,23.3,0.9,20.9,1.3,20.9,2.0,0.0
宮崎,12.4,4.4,15.6,1.9,424.2,74.8,10.5,56.0,12.8,45.6,16.5,20.3,55.5,49.3,10.1,17.4,33.9,19.1,9.6,1.9,0.5,23.9,17.6,65.2,19.5,1.7,13.1,0.8,13.1,10.0,0.0
富山,18.1,5.8,11.8,2.1,525.2,79.3,14.3,51.8,18.2,53.3,16.1,13.5,51.9,54.3,14.7,19.1,39.2,28.0,11.7,3.7,1.1,22.2,17.2,68.4,22.1,1.8,17.2,1.0,17.2,5.0,0.0
山形,9.7,3.0,11.0,1.1,399.0,74.0,8.4,50.7,10.0,50.6,10.6,18.6,48.5,49.4,8.3,15.5,33.0,14.5,15.7,4.4,1.3,29.3,17.5,64.3,22.4,1.0,27.2,1.7,25.6,3.0,0.0
徳島,11.3,4.8,18.3,2.1,453.8,78.6,11.2,56.4,13.5,42.6,13.4,12.4,48.6,51.7,9.4,18.4,32.4,19.3,12.8,4.0,1.2,22.2,18.5,65.2,18.9,1.6,19.1,1.1,18.3,8.0,0.0
札幌,12.4,3.6,11.6,1.4,517.8,77.2,9.2,49.0,12.7,44.8,13.2,16.7,51.3,53.4,10.6,16.6,35.7,25.0,12.9,4.2,1.3,21.3,20.0,60.3,19.4,1.6,22.4,1.4,22.4,4.0,0.0
栃木C,10.9,3.3,9.7,1.1,441.3,73.2,14.9,50.2,12.0,44.3,15.3,18.8,51.8,53.5,8.9,17.3,37.8,15.5,15.3,4.9,2.0,29.0,16.4,59.7,19.2,0.8,25.8,1.6,23.4,3.0,0.0
横浜FC,17.6,4.8,10.7,1.9,462.8,75.1,13.6,53.7,10.4,51.2,18.0,17.2,51.0,58.3,13.3,19.5,37.9,31.2,10.2,4.5,1.7,19.9,18.1,67.5,17.4,0.8,14.6,0.9,13.8,2.0,0.0
湘南,11.3,3.8,13.3,1.5,440.9,71.9,12.4,49.2,13.5,45.4,14.1,19.0,48.4,52.9,9.9,18.9,38.0,17.8,12.9,2.9,0.9,23.9,20.1,63.6,22.5,1.1,18.9,1.1,18.1,5.0,0.0
甲府,9.5,2.8,12.5,1.2,385.6,69.5,9.6,45.5,10.8,46.5,14.1,19.3,47.0,47.7,8.1,19.9,34.4,13.8,12.6,3.8,0.7,28.6,24.5,63.5,23.4,1.9,22.5,1.4,20.1,6.0,0.0
磐田,11.1,2.8,8.5,0.9,416.4,71.2,8.0,50.8,11.4,50.3,16.1,22.4,50.6,49.9,8.7,17.4,36.1,21.5,11.7,3.8,1.3,22.4,20.4,65.4,20.9,1.9,20.1,1.2,19.3,4.0,0.0
秋田,11.3,3.3,10.6,1.2,285.9,53.3,8.8,45.7,9.2,38.8,13.2,32.4,54.9,44.5,7.4,15.7,41.9,20.2,10.7,3.1,0.8,29.0,16.9,69.3,21.9,1.1,18.4,1.1,16.1,7.0,0.0
藤枝,12.4,3.4,9.1,1.1,415.4,73.3,13.4,48.8,10.7,38.0,14.6,16.8,51.0,51.9,10.1,19.0,35.4,22.3,12.5,3.3,1.1,24.4,20.5,60.7,19.9,1.2,23.2,1.4,20.8,4.0,0.0
鳥栖,12.7,3.8,10.3,1.3,538.2,81.1,13.2,50.7,10.3,47.9,13.4,14.8,46.3,56.8,10.1,16.8,33.5,18.3,8.6,2.4,0.7,23.0,14.4,70.1,18.6,1.3,12.8,0.8,12.8,8.0,0.0
