team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均走行距離,1試合平均スプリント回数,1試合平均Atスプリント回数,1試合平均Mtスプリント回数,1試合平均Dtスプリント回数,1試合平均ポゼッション時の走行距離,1試合平均ポゼッション時のスプリント回数,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
FC東京,15.7,4.3,10.6,1.7,459.0,78.6,11.7,60.0,15.7,40.4,16.0,14.3,45.7,50.7,12.3,18.3,35.0,5.4,113.0,142.0,72.0,44.0,25.0,31.0,80.0,11.7,4.0,2.3,29.3,18.7,60.7,15.3,3.0,4.3,1.4,4.3,1.0,0.0
FC町田ゼルビア,15.0,6.7,26.7,4.0,444.0,79.3,9.7,58.6,12.0,58.3,15.3,14.3,62.3,48.0,10.3,19.7,31.7,4.7,114.0,112.0,37.0,38.0,37.0,29.0,54.0,13.7,2.7,0.7,20.3,18.3,76.4,17.0,1.7,3.6,1.2,3.6,1.0,0.0
V・ファーレン長崎,7.7,2.7,17.4,1.3,415.0,76.8,4.7,42.9,7.0,38.1,9.3,12.7,52.8,43.3,6.7,9.0,31.7,2.2,115.0,106.0,30.0,33.0,42.0,25.0,32.0,14.7,4.7,2.0,29.0,11.7,60.0,22.7,2.0,4.1,1.3,4.1,,0.027
アビスパ福岡,13.7,4.7,12.2,1.7,360.0,70.7,10.7,53.1,8.3,48.0,13.0,23.0,53.9,43.6,8.7,14.0,37.7,3.7,117.0,115.0,41.0,44.0,29.0,28.0,49.0,8.7,3.7,1.3,23.7,14.0,59.5,18.0,1.7,2.4,0.8,2.4,1.0,0.0
ガンバ大阪,13.7,5.3,14.6,2.0,512.0,83.0,11.7,42.9,13.0,46.2,12.3,9.7,38.7,58.9,11.7,13.0,38.3,4.4,111.0,104.0,39.0,29.0,35.0,34.0,52.0,18.0,6.7,2.3,25.0,13.3,60.0,15.3,1.3,7.0,2.3,7.0,,0.027
サンフレッチェ広島,20.7,7.0,12.9,2.7,486.3,80.8,10.7,59.4,16.3,55.1,21.3,14.7,48.9,50.4,17.7,17.3,33.7,7.7,108.0,108.0,43.0,32.0,32.0,27.0,51.0,9.0,3.0,0.7,18.7,15.7,70.2,10.7,3.7,2.2,0.7,2.2,1.0,0.0
ジェフユナイテッド千葉,8.0,1.7,,,407.7,76.8,10.7,53.1,8.3,52.0,10.0,11.7,45.5,46.4,5.7,15.0,27.7,1.6,109.0,119.0,30.0,40.0,48.0,27.0,46.0,20.0,6.0,3.0,26.0,13.7,68.3,17.3,1.3,6.8,2.2,6.8,,0.081
セレッソ大阪,8.3,3.7,12.0,1.0,496.3,76.4,8.3,56.0,12.3,32.4,14.0,17.7,45.7,56.2,7.3,13.7,30.7,1.8,114.0,103.0,42.0,29.0,32.0,34.0,56.0,14.0,4.3,1.3,30.3,16.0,56.3,21.3,2.0,5.9,1.9,5.9,1.0,0.0
ファジアーノ岡山,18.3,3.3,3.6,0.7,436.3,73.0,12.7,50.0,15.0,37.8,26.7,20.0,51.7,49.4,13.0,16.7,39.3,5.0,114.0,128.0,57.0,45.0,26.0,28.0,66.0,4.7,1.3,0.7,18.3,15.7,66.0,14.7,1.7,1.0,0.3,1.0,2.0,0.0
ヴィッセル神戸,9.3,2.7,10.7,1.0,449.0,74.9,8.0,37.5,9.3,32.1,14.3,25.0,56.0,55.1,6.0,16.3,37.7,3.7,114.0,137.0,40.0,37.0,59.0,30.0,48.0,11.3,2.3,1.0,23.0,19.7,67.8,18.7,1.7,3.2,1.0,3.2,1.0,0.0
京都サンガF.C.,11.7,4.3,11.4,1.3,493.7,76.6,6.0,77.8,12.7,47.4,16.0,13.0,54.9,51.8,12.0,15.0,33.0,2.9,117.0,128.0,46.0,39.0,42.0,33.0,61.0,17.0,5.7,2.3,27.3,15.3,67.4,20.7,2.3,5.1,1.7,5.1,,0.027
名古屋グランパス,16.7,6.3,8.0,1.3,529.7,81.1,10.0,50.0,11.0,51.5,18.0,11.7,47.9,56.3,14.7,16.0,43.7,4.3,113.0,124.0,55.0,39.0,30.0,32.0,65.0,14.0,5.0,1.3,27.0,18.0,61.1,17.7,0.7,4.7,1.5,4.7,,0.027
川崎フロンターレ,17.3,5.7,7.7,1.3,544.0,80.0,14.3,58.1,16.3,59.2,18.7,11.0,47.1,56.1,15.3,15.7,43.0,4.6,112.0,123.0,65.0,33.0,24.0,32.0,72.0,14.3,5.7,1.3,19.3,13.3,55.0,20.3,2.3,4.5,1.5,4.5,,0.027
東京ヴェルディ,10.0,2.7,6.7,0.7,363.0,76.6,6.7,30.0,5.7,47.1,3.7,13.0,43.3,39.1,8.7,15.0,28.0,3.0,116.0,120.0,37.0,43.0,39.0,25.0,49.0,15.3,4.3,1.3,30.3,17.3,75.0,22.0,1.3,3.8,1.2,3.8,1.0,0.0
