team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
いわき,12.8,4.0,11.8,1.5,406.0,70.8,10.0,60.0,14.3,49.1,18.8,23.0,54.4,53.0,9.5,16.3,34.5,4.0,12.5,5.0,2.8,23.8,16.3,63.1,17.8,1.3,7.0,1.7,5.4,,0.033
今治,13.8,2.8,5.5,0.8,463.8,79.9,11.0,40.9,12.5,52.0,11.5,13.5,50.5,52.4,11.8,13.0,32.8,5.5,14.5,4.8,3.0,25.0,12.3,69.4,15.3,2.8,5.1,1.2,5.1,,0.033
仙台,14.5,5.3,10.3,1.5,414.5,70.6,9.3,40.5,15.3,44.3,16.3,23.0,62.6,46.4,10.0,14.0,40.3,6.0,8.0,2.3,1.0,19.8,18.5,55.4,20.8,2.0,3.3,0.8,3.3,2.0,0.0
八戸,10.3,2.8,7.3,0.8,384.3,68.4,7.8,54.8,7.5,33.3,8.8,21.3,48.6,49.3,7.5,17.5,39.3,3.0,14.5,5.3,1.8,34.5,20.0,66.3,25.0,1.0,7.8,1.9,7.8,2.0,0.0
大分,10.8,3.3,9.3,1.0,481.8,77.8,6.0,45.8,12.0,41.7,13.5,17.5,44.3,51.1,8.5,14.0,33.3,4.3,12.0,3.8,0.8,24.8,17.0,66.2,17.0,2.0,3.6,0.9,3.6,1.0,0.0
大宮,15.5,5.5,16.1,2.5,406.5,73.9,12.3,53.1,15.0,43.3,14.3,14.5,45.0,49.3,14.5,22.5,36.5,6.2,13.3,3.3,1.3,31.0,21.5,74.4,23.3,1.0,5.2,1.3,5.2,1.0,0.0
宮崎,14.3,3.8,5.3,0.8,499.5,77.3,15.0,56.7,13.3,43.4,21.8,17.0,48.6,56.8,11.5,17.8,38.8,4.9,13.8,4.8,1.5,24.8,14.5,63.8,20.8,1.0,4.5,1.1,4.5,1.0,0.0
富山,23.3,7.5,10.8,2.5,622.5,82.5,15.5,53.2,22.8,56.0,23.0,14.0,54.9,58.2,21.3,21.5,45.3,8.0,10.3,3.0,1.3,15.3,19.3,68.8,16.8,0.8,3.1,0.7,3.1,2.0,0.0
山形,16.0,6.0,10.9,1.8,438.3,80.0,10.3,70.7,12.3,63.3,18.5,12.3,45.4,48.7,14.8,17.5,31.5,6.1,14.3,3.3,0.3,22.0,15.5,66.1,15.0,2.3,4.6,1.1,4.6,3.0,0.0
徳島,7.3,2.0,6.9,0.5,446.5,80.0,8.5,50.0,10.3,41.5,8.5,12.0,45.3,50.5,5.5,16.0,30.3,2.3,15.3,6.0,1.0,21.0,17.0,69.1,18.8,2.5,6.8,1.7,6.0,2.0,0.0
新潟,11.3,4.5,13.3,1.5,383.8,69.4,9.8,43.6,9.0,47.2,12.0,18.0,44.2,46.7,7.3,18.0,34.5,5.1,13.0,3.0,1.0,32.3,21.3,64.7,23.8,2.0,4.6,1.1,4.6,1.0,0.0
札幌,11.8,4.3,10.6,1.3,519.3,78.0,15.5,40.3,13.5,44.4,13.3,15.0,51.3,54.4,10.5,17.8,31.0,4.6,11.3,4.5,2.0,17.5,16.0,71.9,13.3,1.5,5.3,1.3,4.5,1.0,0.0
栃木C,17.5,6.3,12.9,2.3,379.0,73.4,10.0,55.0,9.3,48.6,12.0,17.0,48.2,49.1,13.5,16.5,42.5,8.9,16.8,4.0,1.5,31.3,19.3,57.1,24.0,1.3,6.8,1.7,6.0,1.0,0.0
横浜FC,16.5,4.3,9.1,1.5,470.5,80.3,9.8,61.5,12.0,50.0,16.3,11.0,47.3,53.3,12.0,14.3,36.3,6.5,13.5,4.5,1.3,22.3,14.3,57.9,17.5,2.0,5.5,1.3,4.7,1.0,0.0
湘南,10.8,3.3,9.3,1.0,381.3,72.7,9.3,54.1,15.5,58.1,12.5,17.0,47.2,43.7,10.0,14.3,35.3,3.5,14.0,5.3,0.5,29.0,16.0,57.8,19.5,1.0,4.9,1.2,4.1,3.0,0.0
甲府,9.3,3.0,8.1,0.8,426.8,73.6,7.5,50.0,9.0,44.4,16.0,18.8,45.5,47.6,8.0,14.8,35.3,3.0,14.5,4.8,1.8,27.5,16.3,67.7,19.8,2.5,5.7,1.4,4.9,,0.033
磐田,15.0,4.8,11.7,1.8,425.5,74.9,11.0,40.9,13.8,52.7,13.8,18.8,51.4,51.0,12.5,17.0,39.0,6.8,10.8,2.5,1.5,23.0,21.0,59.5,20.0,0.5,3.8,0.9,3.0,,0.033
