team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均走行距離,1試合平均スプリント回数,1試合平均Atスプリント回数,1試合平均Mtスプリント回数,1試合平均Dtスプリント回数,1試合平均ポゼッション時の走行距離,1試合平均ポゼッション時のスプリント回数,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
FC東京,15.8,5.0,11.6,1.8,503.5,80.6,11.3,57.4,18.8,45.1,16.0,12.8,45.6,54.0,14.2,18.8,36.7,10.7,113.0,140.0,71.0,45.0,23.0,34.0,83.0,9.5,3.0,1.3,28.7,19.2,64.3,16.0,2.2,6.9,1.1,6.9,3.0,0.0
FC町田ゼルビア,13.8,5.2,21.7,3.0,452.0,79.5,11.0,51.5,10.0,55.0,17.3,16.3,62.8,49.4,10.2,17.3,32.7,10.5,114.0,106.0,36.0,35.0,34.0,29.0,52.0,12.0,2.5,0.8,20.8,16.0,72.9,17.0,1.2,6.4,1.0,6.4,1.0,0.0
V・ファーレン長崎,9.5,3.3,12.3,1.2,444.0,78.6,8.2,49.0,7.7,47.8,9.2,12.5,53.6,45.6,7.8,12.2,31.8,4.9,115.0,112.0,36.0,35.0,40.0,27.0,42.0,14.2,5.2,2.3,30.2,13.2,62.0,22.3,2.0,8.2,1.3,8.2,,0.027
アビスパ福岡,15.0,5.8,10.0,1.5,373.2,72.3,13.0,52.6,8.2,46.9,15.0,25.0,57.0,45.2,11.7,15.8,35.3,8.1,117.0,106.0,38.0,37.0,30.0,28.0,45.0,11.0,4.2,1.7,20.2,14.0,64.3,16.5,1.3,6.1,1.0,6.1,1.0,0.0
ガンバ大阪,14.2,4.3,9.4,1.3,511.8,81.8,12.8,50.6,12.7,46.1,13.7,9.7,45.0,56.0,10.8,18.2,39.7,7.9,111.0,91.0,30.0,28.0,31.0,32.0,41.0,16.7,6.5,1.8,25.2,17.2,68.0,16.0,1.5,11.0,1.8,11.0,1.0,0.0
サンフレッチェ広島,18.5,6.3,11.7,2.2,555.7,82.2,10.2,62.3,15.7,52.1,22.7,11.3,46.6,54.0,16.7,15.3,37.0,12.5,109.0,98.0,41.0,29.0,27.0,31.0,50.0,8.5,3.2,0.8,16.2,13.3,67.5,13.7,2.8,4.8,0.8,4.8,3.0,0.0
ジェフユナイテッド千葉,10.0,3.2,8.3,0.8,427.0,76.7,12.0,51.4,10.7,45.3,10.7,13.2,47.0,47.8,7.8,17.5,32.0,4.6,113.0,114.0,31.0,38.0,45.0,28.0,44.0,18.0,4.8,2.5,26.7,16.7,68.0,20.3,1.2,10.8,1.8,10.8,1.0,0.0
セレッソ大阪,11.5,3.5,7.2,0.8,514.7,78.1,10.2,57.4,13.2,40.5,16.5,16.3,50.0,55.8,11.0,15.3,33.8,6.3,114.0,110.0,44.0,32.0,32.0,33.0,59.0,11.5,4.2,0.8,28.0,15.7,60.6,20.3,2.0,10.1,1.6,9.2,3.0,0.0
ファジアーノ岡山,15.8,3.5,8.4,1.3,383.7,72.7,10.7,53.1,14.0,44.0,20.3,18.2,50.5,44.9,13.2,16.2,34.7,8.2,114.0,125.0,51.0,41.0,32.0,26.0,62.0,8.3,2.5,1.2,25.7,16.0,65.6,18.0,2.3,6.2,1.0,5.4,2.0,0.0
ヴィッセル神戸,11.2,4.3,13.4,1.5,435.7,74.8,9.3,46.4,11.5,37.7,16.7,22.2,52.6,51.1,8.0,16.8,37.8,9.4,114.0,130.0,45.0,34.0,51.0,29.0,49.0,10.7,2.0,0.7,22.8,18.2,68.8,17.3,1.7,6.2,1.0,6.2,3.0,0.0
