team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
いわき,16.1,4.1,9.6,1.5,343.7,65.6,10.4,43.9,14.4,50.3,17.4,26.5,57.0,49.5,12.4,18.8,42.1,19.4,8.4,1.9,0.8,27.4,19.3,74.1,21.4,1.2,9.5,0.8,9.5,5.0,0.0
今治,10.3,3.6,4.4,0.5,426.9,72.7,12.0,47.7,13.8,42.8,13.6,15.3,46.4,50.6,7.4,19.1,40.3,9.9,11.4,3.4,0.9,22.3,20.4,65.6,23.6,1.6,12.1,1.1,11.4,3.0,0.0
仙台,15.2,4.6,13.2,2.0,395.0,72.4,12.2,54.5,11.6,47.7,14.1,18.9,51.5,51.3,11.6,18.4,39.7,15.8,9.3,2.8,0.5,22.1,17.2,68.3,19.4,1.5,8.9,0.8,8.9,6.0,0.0
八戸,12.4,3.9,8.0,1.0,310.4,58.9,8.9,50.0,9.3,45.1,15.5,22.2,46.0,42.9,7.4,17.1,43.1,13.5,8.4,2.6,1.0,25.8,20.2,62.6,24.7,1.1,9.0,0.8,9.0,3.0,0.0
大分,12.8,3.8,10.6,1.4,482.7,76.5,8.9,46.9,11.6,48.4,14.5,22.1,57.2,52.1,9.3,15.2,36.6,17.3,11.5,3.3,1.1,24.2,18.3,60.2,19.6,1.6,11.7,1.0,10.9,6.0,0.0
大宮,17.4,5.1,13.1,2.3,505.2,75.1,13.1,48.6,15.4,47.9,20.6,18.5,48.5,57.7,13.8,20.2,46.6,20.4,13.0,4.0,1.5,22.1,22.3,62.0,22.4,1.0,14.3,1.3,14.3,2.0,0.0
宮崎,13.0,4.6,16.8,2.2,440.5,75.4,10.8,51.3,12.9,43.7,17.0,19.5,57.5,49.9,10.2,17.7,34.3,14.1,8.2,2.0,0.6,24.1,18.4,66.0,19.1,1.8,8.7,0.7,8.7,6.0,0.0
富山,18.2,5.5,13.0,2.4,529.1,79.7,14.1,50.3,18.2,55.5,17.4,13.1,49.7,54.7,14.7,19.0,37.9,19.6,10.9,4.0,1.4,20.6,18.2,65.5,21.1,1.7,11.8,1.0,11.8,2.0,0.0
山形,9.4,3.0,11.7,1.1,403.0,74.3,7.6,51.2,9.9,50.5,10.5,19.0,48.3,48.5,7.6,15.8,32.5,9.9,15.3,4.2,1.0,29.1,17.9,66.5,22.7,1.1,18.3,1.6,17.5,3.0,0.0
徳島,11.4,5.3,23.0,2.6,442.2,78.6,10.8,52.1,14.3,43.3,11.7,12.7,49.8,50.9,10.1,18.4,32.2,13.8,12.5,3.3,0.5,22.0,19.7,64.5,19.8,1.5,12.2,1.1,12.2,8.0,0.0
新潟,8.4,2.7,12.9,1.1,437.4,74.8,10.5,42.2,13.3,47.3,12.2,16.4,47.3,49.7,6.8,17.0,34.4,9.7,13.4,5.2,1.0,27.4,18.8,66.7,22.4,2.1,13.2,1.2,13.2,7.0,0.0
札幌,12.5,3.3,7.2,0.9,542.4,77.5,9.7,45.8,13.5,43.0,13.7,16.0,50.9,54.6,11.1,17.0,35.7,16.5,12.3,3.8,1.5,19.7,20.1,62.4,19.5,1.7,14.9,1.3,14.9,2.0,0.0
栃木C,9.5,2.9,10.5,1.0,444.1,72.5,15.4,52.1,11.5,46.5,14.2,18.4,51.5,54.0,8.3,18.4,37.7,10.0,16.2,5.7,2.5,29.3,16.5,62.6,20.3,0.6,18.8,1.7,16.5,2.0,0.0
横浜FC,15.2,4.3,11.4,1.7,451.4,73.8,13.4,52.4,10.2,50.9,17.6,16.3,48.6,58.0,11.2,20.0,36.8,17.4,10.4,4.5,1.6,19.0,18.9,68.8,17.8,0.7,11.0,1.0,10.2,1.0,0.0
湘南,12.0,4.5,15.2,1.8,445.3,73.0,12.5,47.1,14.3,42.0,12.8,19.5,49.8,53.1,10.0,19.2,37.5,12.7,12.1,2.6,0.8,24.4,20.5,64.6,22.4,1.5,13.4,1.2,12.6,4.0,0.0
甲府,9.8,2.9,12.0,1.2,406.0,70.8,10.5,45.7,11.7,48.1,15.3,18.3,47.0,49.0,8.3,20.1,37.8,9.4,12.4,3.7,0.7,26.6,23.4,65.4,23.3,2.1,15.0,1.3,13.4,3.0,0.0
磐田,11.6,2.6,6.3,0.7,428.1,71.2,8.5,50.0,11.4,48.0,17.0,22.8,52.7,50.1,8.9,17.1,36.4,14.3,12.1,4.0,1.2,21.7,19.4,65.9,20.7,1.6,14.6,1.3,13.8,3.0,0.0
秋田,11.6,3.1,10.9,1.3,280.2,53.1,9.3,43.1,7.2,41.8,12.2,31.3,55.4,43.1,6.9,15.9,40.2,14.2,10.4,3.3,0.9,30.1,17.4,68.6,22.7,1.1,12.5,1.1,10.1,5.0,0.0
藤枝,11.4,3.5,11.9,1.4,388.2,71.7,13.4,48.0,10.9,42.5,15.1,16.9,51.7,50.4,10.4,19.1,34.5,14.6,13.4,3.2,1.2,28.0,20.3,62.3,20.6,1.2,16.0,1.4,15.2,2.0,0.0
鳥栖,13.5,4.0,8.1,1.1,531.8,80.1,14.0,48.7,10.3,47.8,14.4,14.7,45.8,56.6,10.4,17.4,36.0,13.4,8.7,2.8,0.8,22.6,15.9,66.9,19.3,1.3,9.5,0.8,9.5,5.0,0.0
