team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均走行距離,1試合平均スプリント回数,1試合平均Atスプリント回数,1試合平均Mtスプリント回数,1試合平均Dtスプリント回数,1試合平均ポゼッション時の走行距離,1試合平均ポゼッション時のスプリント回数,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
FC東京,9.0,3.0,11.1,1.0,426.0,77.2,12.0,58.3,10.0,40.0,14.0,10.0,50.0,46.8,7.0,20.0,22.0,0.9,113.0,139.0,64.0,45.0,30.0,29.0,73.0,16.0,8.0,5.0,20.0,26.0,50.0,16.0,5.0,1.9,1.9,1.9,,0.027
FC町田ゼルビア,16.0,8.0,31.3,5.0,552.0,83.3,11.0,63.6,17.0,52.9,18.0,10.0,50.0,53.2,11.0,20.0,36.0,1.9,119.0,131.0,38.0,44.0,49.0,32.0,59.0,9.0,3.0,1.0,20.0,16.0,81.3,17.0,1.0,0.9,0.9,0.9,,0.027
V・ファーレン長崎,14.0,4.0,14.3,2.0,333.0,73.0,8.0,50.0,7.0,42.9,13.0,9.0,40.9,44.6,13.0,6.0,35.0,1.5,111.0,141.0,44.0,46.0,51.0,24.0,46.0,10.0,3.0,1.0,28.0,5.0,40.0,17.0,,0.8,0.8,0.8,,0.054
アビスパ福岡,11.0,2.0,,,365.0,67.7,11.0,27.3,15.0,66.7,16.0,26.0,45.6,46.8,9.0,6.0,39.0,0.7,116.0,121.0,55.0,43.0,23.0,30.0,80.0,8.0,5.0,1.0,29.0,12.0,25.0,25.0,1.0,1.0,1.0,1.0,,0.081
ガンバ大阪,11.0,9.0,36.4,4.0,479.0,81.6,17.0,52.9,16.0,50.0,13.0,16.0,44.4,60.5,14.0,17.0,35.0,1.0,112.0,105.0,36.0,25.0,44.0,33.0,47.0,19.0,6.0,3.0,26.0,12.0,66.7,22.0,1.0,2.5,2.5,2.5,,0.027
サンフレッチェ広島,20.0,7.0,15.0,3.0,520.0,83.7,6.0,83.3,12.0,50.0,16.0,12.0,48.0,49.9,17.0,18.0,34.0,2.6,108.0,111.0,44.0,35.0,32.0,27.0,50.0,7.0,2.0,,17.0,14.0,92.9,10.0,4.0,0.4,0.4,0.4,1.0,0.027
ジェフユナイテッド千葉,7.0,2.0,,,452.0,81.2,9.0,66.7,8.0,62.5,12.0,13.0,52.0,50.1,7.0,13.0,25.0,0.4,109.0,110.0,32.0,42.0,36.0,30.0,58.0,20.0,7.0,3.0,28.0,10.0,70.0,16.0,3.0,2.6,2.6,2.6,,0.081
セレッソ大阪,6.0,4.0,33.3,2.0,425.0,74.1,7.0,57.1,13.0,7.7,12.0,14.0,41.2,50.4,6.0,10.0,33.0,0.5,116.0,114.0,52.0,36.0,26.0,32.0,71.0,20.0,4.0,1.0,35.0,15.0,40.0,30.0,4.0,2.4,2.4,2.4,,0.027
ファジアーノ岡山,20.0,4.0,5.0,1.0,428.0,73.4,14.0,57.1,15.0,33.3,24.0,20.0,58.8,49.6,14.0,21.0,38.0,2.4,115.0,136.0,55.0,41.0,40.0,27.0,50.0,6.0,4.0,2.0,15.0,20.0,65.0,18.0,,0.5,0.5,0.5,,0.054
ヴィッセル神戸,8.0,5.0,12.5,1.0,428.0,71.0,5.0,40.0,10.0,30.0,16.0,31.0,54.4,53.2,5.0,18.0,31.0,1.0,114.0,126.0,33.0,39.0,54.0,28.0,40.0,11.0,2.0,,24.0,22.0,72.7,15.0,1.0,0.7,0.7,0.7,1.0,0.027
