team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均走行距離,1試合平均スプリント回数,1試合平均Atスプリント回数,1試合平均Mtスプリント回数,1試合平均Dtスプリント回数,1試合平均ポゼッション時の走行距離,1試合平均ポゼッション時のスプリント回数,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
FC東京,15.4,4.8,11.7,1.8,478.2,80.1,10.4,57.7,18.0,42.2,14.2,13.8,47.3,51.5,13.6,18.0,34.6,8.6,112.0,136.0,69.0,43.0,23.0,32.0,79.0,9.8,3.2,1.6,29.2,19.0,63.2,16.0,2.0,5.7,1.1,5.7,2.0,0.0
FC町田ゼルビア,14.6,5.6,20.5,3.0,475.6,80.2,11.4,50.9,10.0,58.0,18.4,15.6,60.0,50.6,10.8,18.2,32.4,8.2,114.0,103.0,35.0,33.0,34.0,29.0,49.0,12.2,2.8,0.8,17.6,16.8,73.8,16.4,1.2,5.5,1.1,5.5,1.0,0.0
V・ファーレン長崎,9.4,3.8,12.8,1.2,440.4,78.4,7.0,42.9,7.4,51.4,9.2,11.2,51.9,45.1,8.0,11.2,32.2,4.3,116.0,109.0,32.0,35.0,41.0,26.0,36.0,14.4,5.0,2.2,28.4,13.4,61.2,22.0,2.2,6.7,1.3,6.7,,0.027
アビスパ福岡,15.0,6.0,10.7,1.6,369.4,71.7,13.2,57.6,8.4,42.9,14.8,25.2,56.8,44.6,11.0,16.8,36.0,6.5,116.0,106.0,39.0,39.0,27.0,27.0,46.0,11.0,4.2,1.8,21.0,14.6,63.0,17.4,1.4,5.1,1.0,5.1,1.0,0.0
ガンバ大阪,13.6,5.0,11.8,1.6,491.8,82.4,12.2,47.5,13.4,44.8,11.8,9.0,42.1,55.4,10.6,16.2,39.2,6.6,111.0,95.0,34.0,28.0,33.0,32.0,45.0,17.4,6.8,1.8,26.0,16.2,64.2,15.6,1.4,10.0,2.0,10.0,1.0,0.0
サンフレッチェ広島,18.4,6.4,12.0,2.2,499.4,81.3,9.6,62.5,16.2,55.6,19.6,10.8,45.4,50.9,16.4,15.6,34.2,10.6,108.0,98.0,41.0,29.0,28.0,29.0,49.0,8.4,2.8,0.4,16.8,14.2,67.6,13.0,3.0,3.6,0.7,3.6,3.0,0.0
ジェフユナイテッド千葉,9.4,2.8,6.4,0.6,440.8,77.3,11.6,55.2,10.8,44.4,11.2,14.0,47.9,49.1,7.0,16.4,31.0,3.6,112.0,122.0,31.0,39.0,51.0,29.0,45.0,18.2,5.6,3.0,24.6,15.0,66.7,20.2,1.0,9.5,1.9,9.5,,0.027
セレッソ大阪,10.4,3.8,9.6,1.0,490.0,77.2,9.2,58.7,12.0,41.7,15.8,17.0,48.6,54.3,10.0,14.6,31.8,5.1,113.0,103.0,41.0,29.0,33.0,32.0,54.0,12.8,4.6,1.0,29.0,15.2,60.5,20.8,2.2,9.2,1.8,8.4,2.0,0.0
ファジアーノ岡山,17.2,3.2,5.8,1.0,413.2,73.3,10.8,48.1,14.4,41.7,21.8,19.2,50.8,48.0,14.0,15.4,34.4,7.0,113.0,127.0,55.0,42.0,30.0,27.0,64.0,6.2,1.8,1.0,21.0,15.4,66.2,16.0,2.2,4.3,0.8,3.5,2.0,0.0
ヴィッセル神戸,10.8,4.0,11.1,1.2,414.4,73.6,8.6,46.5,10.4,32.7,15.4,24.0,54.3,50.8,6.6,15.8,37.8,7.9,114.0,129.0,43.0,33.0,53.0,28.0,48.0,10.8,2.2,0.6,24.0,18.2,64.8,17.8,2.0,5.6,1.1,5.6,3.0,0.0
京都サンガF.C.,11.6,4.2,12.1,1.4,422.4,73.9,6.2,74.2,11.8,45.8,13.8,14.2,48.3,48.6,9.2,17.0,33.0,5.0,115.0,121.0,46.0,35.0,39.0,29.0,57.0,17.6,5.6,1.8,27.6,18.4,67.4,20.4,2.6,9.1,1.8,8.3,,0.027
名古屋グランパス,13.0,4.8,9.2,1.2,521.2,80.4,8.8,54.5,10.2,51.0,16.4,12.2,51.3,55.6,11.4,16.0,36.8,7.9,110.0,113.0,48.0,34.0,31.0,31.0,54.0,14.6,4.8,1.6,23.0,17.0,65.9,19.2,1.0,7.4,1.4,7.4,,0.027
川崎フロンターレ,15.2,5.0,11.8,1.8,509.8,80.3,12.8,56.3,14.4,61.1,15.2,11.0,45.1,51.6,13.2,15.4,36.0,7.1,112.0,114.0,57.0,31.0,25.0,31.0,64.0,14.4,6.0,1.6,22.8,14.4,56.9,17.4,2.2,7.3,1.4,7.3,,0.027
東京ヴェルディ,8.0,2.0,5.0,0.4,391.6,77.1,8.0,35.0,7.0,54.3,6.2,14.8,43.5,42.1,7.8,15.4,27.6,3.8,116.0,126.0,37.0,45.0,43.0,27.0,51.0,17.0,5.2,1.6,28.8,16.6,75.9,21.8,1.2,9.0,1.8,9.0,1.0,0.0
柏レイソル,13.0,6.0,15.4,2.0,663.8,86.1,15.6,34.6,19.8,52.5,15.8,9.6,48.0,58.7,16.0,15.8,30.2,6.9,118.0,100.0,47.0,27.0,26.0,40.0,59.0,10.2,3.2,1.2,17.0,15.6,66.7,15.4,1.2,5.7,1.1,4.1,1.0,0.0
横浜F・マリノス,10.6,3.2,15.1,1.6,380.6,72.5,7.2,47.2,10.6,37.7,12.8,16.4,44.3,50.1,8.6,15.4,31.2,6.2,112.0,116.0,38.0,34.0,43.0,28.0,50.0,13.4,4.4,1.6,29.2,19.2,62.5,18.8,1.6,8.4,1.6,7.6,2.0,0.0
水戸ホーリーホック,13.0,4.4,15.4,2.0,379.6,77.5,7.0,54.3,7.2,47.2,9.0,13.6,51.5,40.6,9.2,13.4,33.4,8.3,118.0,99.0,34.0,27.0,36.0,27.0,42.0,14.4,4.6,1.4,33.0,14.2,67.6,24.0,1.6,7.9,1.5,7.9,,0.027
浦和レッズ,16.0,5.0,13.8,2.2,422.4,77.1,11.8,54.2,11.4,54.4,11.8,18.6,47.9,52.4,12.8,16.6,34.4,8.7,114.0,123.0,46.0,44.0,32.0,29.0,57.0,14.0,7.2,3.0,25.0,15.2,67.1,17.6,1.4,7.7,1.5,7.7,,0.027
清水エスパルス,9.8,3.0,4.1,0.4,320.4,68.9,12.4,56.5,10.8,48.1,16.0,20.0,52.4,40.4,8.0,16.0,34.2,6.7,109.0,118.0,44.0,31.0,42.0,23.0,45.0,14.6,4.8,0.8,29.6,14.0,64.3,22.8,0.8,6.5,1.3,6.5,1.0,0.0
鹿島アントラーズ,17.4,5.4,14.9,2.6,648.8,83.2,10.6,50.9,17.4,49.4,17.8,17.0,57.0,58.3,16.2,15.6,35.6,10.4,113.0,123.0,56.0,37.0,29.0,36.0,68.0,10.4,3.6,2.0,19.8,15.0,68.0,12.4,1.2,5.2,1.0,4.4,1.0,0.0
