team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
いわき,15.7,3.8,10.2,1.6,340.2,65.7,10.5,43.8,14.8,49.3,16.7,26.3,56.9,49.6,12.1,19.3,41.7,17.3,8.8,2.0,0.9,27.3,19.8,74.2,21.5,1.3,9.3,0.9,9.3,4.0,0.0
今治,9.8,3.3,5.1,0.5,425.6,72.3,11.8,47.5,13.8,42.0,13.3,15.1,45.5,50.6,6.8,19.0,40.1,9.3,11.8,3.4,0.9,22.7,20.7,64.7,23.2,1.7,11.7,1.1,10.9,3.0,0.0
仙台,14.3,4.1,11.9,1.7,396.3,72.2,12.4,56.5,11.4,49.1,13.7,19.4,52.0,52.0,11.2,18.8,39.3,12.7,9.9,3.1,0.6,23.0,17.2,68.6,19.7,1.5,8.7,0.8,8.7,5.0,0.0
八戸,13.5,4.3,8.1,1.1,310.2,58.6,9.0,47.8,9.6,46.9,15.6,22.1,46.0,42.9,8.0,17.2,43.2,13.5,8.0,2.5,1.0,25.3,20.5,62.9,25.0,1.0,7.3,0.7,7.3,3.0,0.0
大分,12.9,3.6,9.3,1.2,493.9,76.7,9.1,47.3,12.0,47.5,14.8,22.8,57.9,52.1,9.4,15.5,37.8,16.2,11.3,3.5,1.2,24.0,18.3,61.2,19.3,1.5,10.3,1.0,9.5,5.0,0.0
大宮,17.0,5.2,14.1,2.4,514.4,75.3,12.8,45.3,15.6,46.8,20.5,17.8,48.9,58.2,13.7,19.9,46.8,18.7,12.9,3.9,1.4,20.0,22.9,61.6,22.7,1.0,12.3,1.2,12.3,2.0,0.0
宮崎,12.5,4.7,18.4,2.3,422.0,74.8,11.1,50.5,12.5,43.2,16.4,18.8,56.1,48.4,10.0,17.5,34.3,12.1,8.7,2.1,0.7,25.7,18.2,65.4,20.0,1.8,8.4,0.8,8.4,5.0,0.0
富山,18.2,5.4,12.1,2.2,522.9,79.2,14.2,51.4,18.8,56.4,18.2,12.5,48.6,54.5,14.8,19.1,38.4,17.9,10.8,4.1,1.5,20.9,18.5,63.8,21.4,1.8,10.9,1.0,10.9,1.0,0.0
山形,9.0,2.9,12.2,1.1,397.1,73.9,7.4,51.4,9.2,48.9,10.1,18.2,47.5,47.8,7.3,16.1,31.9,8.1,16.6,4.6,1.1,29.0,18.5,66.5,23.5,1.1,18.2,1.8,17.4,2.0,0.0
徳島,11.8,5.4,22.9,2.7,432.6,78.0,10.5,53.3,14.2,42.3,11.3,13.1,51.4,50.3,10.4,18.8,32.0,13.0,12.8,3.3,0.5,22.0,20.4,64.7,20.2,1.5,11.2,1.1,11.2,8.0,0.0
新潟,8.5,2.7,12.9,1.1,436.1,74.8,9.8,40.8,13.1,47.3,11.1,16.8,47.6,49.7,6.5,16.5,33.6,9.3,13.3,5.0,1.1,27.6,18.8,66.5,21.9,2.2,12.6,1.2,12.6,6.0,0.0
札幌,12.7,3.2,6.3,0.8,558.5,78.3,9.5,48.4,13.7,42.3,14.6,14.9,50.3,54.8,11.6,17.3,35.8,14.9,12.5,3.8,1.5,19.9,20.4,62.3,19.8,1.8,14.1,1.4,14.1,2.0,0.0
栃木C,10.2,3.2,10.8,1.1,441.7,71.9,16.0,52.5,11.7,48.7,14.7,18.6,51.2,53.9,8.6,19.0,38.4,9.8,15.4,5.3,2.2,28.7,17.0,62.4,20.5,0.7,15.8,1.5,14.2,2.0,0.0
横浜FC,15.3,4.2,10.5,1.6,459.9,74.0,13.9,54.0,10.7,50.5,18.7,15.8,49.7,57.6,11.4,20.7,37.1,14.7,10.9,4.8,1.7,17.7,18.6,71.0,18.1,0.8,10.5,1.0,9.7,1.0,0.0
湘南,11.6,4.5,16.4,1.9,447.8,72.8,12.5,48.8,13.6,39.0,12.8,20.3,49.5,54.2,9.2,19.6,37.5,10.9,11.7,2.3,0.7,25.2,21.1,64.0,22.1,1.5,11.6,1.1,10.8,4.0,0.0
