team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均走行距離,1試合平均スプリント回数,1試合平均Atスプリント回数,1試合平均Mtスプリント回数,1試合平均Dtスプリント回数,1試合平均ポゼッション時の走行距離,1試合平均ポゼッション時のスプリント回数,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
FC東京,15.4,5.1,11.3,1.7,476.2,78.9,10.9,52.1,16.8,51.2,14.9,13.3,53.6,51.9,12.8,17.1,35.3,24.7,119.0,151.0,68.0,48.0,35.0,37.0,85.0,10.3,3.1,0.9,21.0,17.4,65.9,17.8,2.1,13.1,0.8,13.1,5.0,0.0
FC町田ゼルビア,11.6,3.9,11.7,1.4,401.6,76.5,11.0,58.4,9.5,47.4,12.3,13.6,51.6,45.0,8.4,17.9,30.9,16.8,117.0,112.0,42.0,34.0,36.0,30.0,48.0,10.7,3.6,1.3,17.9,16.8,68.1,17.7,1.2,15.7,1.1,14.0,4.0,0.0
V・ファーレン長崎,11.1,3.5,9.6,1.1,423.1,74.8,10.6,49.7,10.5,43.3,9.8,16.3,50.5,49.0,9.0,15.3,33.3,18.1,113.0,131.0,45.0,42.0,43.0,29.0,57.0,14.1,4.4,1.5,27.5,15.5,65.1,20.6,2.5,21.4,1.4,20.6,3.0,0.0
アビスパ福岡,10.9,3.1,9.2,1.0,340.9,71.6,10.3,44.8,9.6,44.4,10.3,16.3,47.4,42.6,8.2,15.6,34.1,15.9,116.0,111.0,34.0,40.0,37.0,28.0,45.0,12.3,3.8,1.6,26.7,18.1,60.3,19.5,1.9,20.1,1.2,19.3,2.0,0.0
ガンバ大阪,13.2,5.3,11.4,1.5,467.4,76.1,12.3,50.3,15.4,48.2,13.0,15.7,48.7,55.9,11.4,17.6,41.8,23.3,113.0,124.0,44.0,41.0,39.0,33.0,58.0,12.0,4.2,1.3,23.8,16.6,68.4,21.9,1.8,22.8,1.4,20.4,4.0,0.0
サンフレッチェ広島,16.5,4.2,8.1,1.3,474.8,74.3,9.7,49.7,18.1,45.8,17.5,20.3,51.4,54.3,13.4,15.3,42.2,27.8,112.0,130.0,55.0,41.0,35.0,32.0,65.0,10.0,3.0,1.3,17.3,16.1,64.9,21.8,1.2,16.4,1.0,15.5,2.0,0.0
ジェフユナイテッド千葉,11.3,3.5,9.5,1.1,413.5,76.2,12.7,48.7,9.3,39.3,12.9,14.8,52.0,47.3,8.6,16.4,30.0,18.4,119.0,119.0,37.0,40.0,42.0,34.0,51.0,17.4,4.9,1.5,29.3,17.1,59.8,18.2,1.9,27.2,1.8,25.5,2.0,0.0
セレッソ大阪,10.6,3.5,8.8,0.9,455.7,76.6,10.0,56.7,20.0,42.7,13.5,15.3,54.4,49.8,10.3,16.4,34.2,17.4,121.0,141.0,53.0,44.0,44.0,35.0,70.0,14.1,3.5,0.9,28.9,18.5,58.1,24.4,0.9,23.5,1.5,21.1,6.0,0.0
ファジアーノ岡山,11.5,3.3,9.9,1.1,324.0,66.9,10.7,51.9,10.4,49.4,16.3,20.5,53.5,43.1,8.9,15.0,32.9,19.6,113.0,138.0,54.0,45.0,39.0,28.0,65.0,10.9,4.1,1.5,26.5,16.0,59.2,23.3,1.5,17.1,1.1,16.3,3.0,0.0
ヴィッセル神戸,12.7,3.9,12.9,1.6,459.6,74.0,7.2,50.5,11.6,50.3,15.1,24.5,50.5,53.1,9.0,13.9,38.9,23.2,115.0,135.0,47.0,42.0,47.0,33.0,56.0,10.8,4.0,1.1,25.0,16.1,64.0,20.8,1.9,16.0,1.1,15.2,4.0,0.0
京都サンガF.C.,13.6,4.5,9.4,1.3,375.1,67.9,8.6,53.7,16.0,42.9,14.6,19.1,46.4,52.4,11.4,16.5,37.8,17.5,114.0,158.0,59.0,53.0,46.0,30.0,69.0,12.7,3.3,1.3,25.0,18.3,64.8,23.3,1.2,21.3,1.5,20.5,1.0,0.0
名古屋グランパス,13.5,4.5,12.3,1.7,438.0,76.0,10.1,58.3,14.6,43.8,16.5,15.9,51.7,51.7,11.6,19.1,36.2,21.7,113.0,138.0,54.0,45.0,39.0,32.0,69.0,14.5,4.7,1.2,24.1,19.3,68.9,19.5,1.4,21.2,1.4,20.4,4.0,0.0
川崎フロンターレ,10.9,3.2,11.6,1.3,493.9,81.1,10.0,51.3,16.1,50.2,13.7,9.9,43.1,49.6,10.8,15.9,33.7,16.2,113.0,118.0,50.0,36.0,33.0,32.0,60.0,15.1,4.7,1.6,21.5,16.2,66.3,19.7,1.5,25.6,1.7,24.8,3.0,0.0
東京ヴェルディ,9.6,3.0,12.7,1.2,384.4,74.3,9.0,31.0,8.3,44.8,10.6,15.3,48.7,44.5,7.9,15.1,28.5,12.8,120.0,147.0,52.0,47.0,47.0,30.0,55.0,9.8,2.8,1.2,22.8,19.0,65.0,22.0,1.5,15.0,1.0,13.4,4.0,0.0
柏レイソル,13.3,3.5,7.5,1.0,573.3,82.4,13.8,52.7,19.6,53.7,16.6,11.0,53.6,56.3,14.1,19.9,32.7,21.2,120.0,134.0,56.0,45.0,33.0,40.0,68.0,11.2,3.9,1.5,18.3,17.8,71.2,15.1,1.2,18.4,1.2,16.8,3.0,0.0
横浜F・マリノス,11.0,2.9,12.7,1.4,386.3,73.6,10.5,50.0,13.0,45.6,13.4,13.7,48.1,47.7,9.1,17.1,26.9,17.4,117.0,134.0,45.0,37.0,52.0,30.0,52.0,10.7,3.8,1.8,21.9,18.3,65.0,17.3,0.9,18.0,1.2,16.4,2.0,0.0
水戸ホーリーホック,11.4,3.4,9.9,1.1,441.7,76.9,11.3,47.9,9.4,46.1,11.5,14.0,45.3,51.0,9.0,15.0,31.5,15.6,118.0,131.0,48.0,42.0,41.0,32.0,57.0,11.5,4.1,1.8,20.7,15.2,63.2,19.8,1.9,21.5,1.4,18.3,2.0,0.0
浦和レッズ,13.9,4.3,10.1,1.4,441.8,77.7,11.2,54.2,13.8,54.1,13.3,13.7,50.1,51.1,10.5,18.3,32.0,21.6,116.0,146.0,53.0,47.0,46.0,33.0,66.0,12.2,2.9,1.1,21.2,19.3,63.4,19.9,1.4,17.5,1.1,15.0,6.0,0.0
清水エスパルス,10.8,3.1,10.5,1.1,400.9,70.1,7.1,47.7,12.8,44.8,14.3,20.9,47.1,48.9,8.2,13.7,38.5,18.2,113.0,127.0,48.0,36.0,43.0,29.0,59.0,12.7,4.0,1.1,24.9,15.5,66.1,20.7,1.9,22.9,1.5,22.1,3.0,0.0
鹿島アントラーズ,12.1,3.9,13.7,1.7,525.2,81.4,8.3,44.4,15.7,52.8,13.2,13.5,55.3,54.3,11.2,13.9,32.9,22.6,113.0,133.0,53.0,45.0,36.0,35.0,70.0,11.5,2.9,0.5,19.1,17.3,59.2,20.2,1.8,15.3,1.0,14.5,9.0,0.0
