team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均走行距離,1試合平均スプリント回数,1試合平均Atスプリント回数,1試合平均Mtスプリント回数,1試合平均Dtスプリント回数,1試合平均ポゼッション時の走行距離,1試合平均ポゼッション時のスプリント回数,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
FC東京,12.0,3.5,12.5,1.5,385.0,75.1,10.0,50.0,14.0,46.4,16.0,13.5,42.9,44.9,9.5,16.5,35.0,2.8,113.0,146.0,72.0,46.0,28.0,28.0,81.0,14.0,5.5,3.5,35.5,21.0,54.8,16.5,3.0,3.8,1.9,3.8,,0.027
FC町田ゼルビア,16.5,6.5,27.3,4.5,482.5,81.8,12.0,58.3,12.0,58.3,16.5,12.0,58.5,51.0,12.0,22.0,31.0,3.4,114.0,115.0,37.0,40.0,37.0,30.0,54.0,9.5,2.5,0.5,18.0,18.5,81.1,14.0,0.5,1.6,0.8,1.6,1.0,0.0
V・ファーレン長崎,8.5,2.0,11.8,1.0,439.5,75.7,6.0,41.7,7.5,26.7,11.5,15.0,55.6,50.6,8.5,4.5,34.0,1.7,114.0,119.0,31.0,37.0,50.0,27.0,36.0,15.0,3.0,1.0,32.5,6.0,33.3,21.5,1.0,2.1,1.0,2.1,,0.027
アビスパ福岡,11.5,4.5,13.0,1.5,325.0,64.9,10.0,45.0,9.5,57.9,12.5,24.5,53.8,42.2,8.0,10.5,38.0,2.4,117.0,116.0,47.0,44.0,25.0,27.0,58.0,7.5,3.0,0.5,26.0,13.0,46.2,19.5,1.0,1.5,0.7,1.5,1.0,0.0
ガンバ大阪,15.0,6.5,16.7,2.5,563.0,83.9,14.0,46.4,15.5,51.6,16.0,12.5,44.6,62.8,13.0,13.5,44.5,3.1,111.0,100.0,40.0,26.0,33.0,35.0,49.0,17.0,4.5,2.0,23.5,11.5,60.9,18.0,1.5,4.7,2.3,4.7,,0.027
サンフレッチェ広島,22.5,7.0,15.6,3.5,448.5,78.3,10.5,61.9,17.0,55.9,20.5,17.0,47.2,48.3,19.5,19.0,33.5,6.0,108.0,114.0,52.0,32.0,30.0,27.0,61.0,5.0,1.5,0.5,17.0,16.5,75.8,10.0,4.5,0.9,0.4,0.9,1.0,0.0
ジェフユナイテッド千葉,8.5,2.0,,,439.5,80.4,11.5,56.5,7.5,53.3,11.5,10.0,43.5,50.7,6.5,15.5,25.0,1.1,108.0,110.0,29.0,43.0,37.0,30.0,49.0,18.5,6.0,3.5,22.5,13.5,66.7,16.5,2.0,4.1,2.0,4.1,,0.081
セレッソ大阪,6.5,2.5,15.4,1.0,492.5,77.8,7.0,64.3,10.0,15.0,12.5,12.5,36.8,56.3,6.0,12.0,30.0,1.1,114.0,103.0,43.0,30.0,30.0,35.0,59.0,16.0,5.5,2.0,32.0,14.5,51.7,22.0,3.0,4.1,2.0,4.1,,0.027
ファジアーノ岡山,20.0,3.5,5.0,1.0,416.0,71.9,14.5,51.7,15.5,38.7,27.0,15.5,47.0,46.7,14.0,15.0,38.5,3.8,116.0,128.0,59.0,43.0,26.0,27.0,62.0,4.5,2.0,1.0,17.0,13.0,57.7,15.5,1.5,0.8,0.4,0.8,1.0,0.0
ヴィッセル神戸,10.0,4.0,15.0,1.5,451.0,74.2,6.0,33.3,8.0,37.5,16.5,28.5,57.0,55.4,6.0,14.5,38.0,2.9,116.0,137.0,35.0,38.0,63.0,30.0,43.0,13.0,3.0,1.0,26.5,17.0,73.5,17.5,0.5,2.5,1.2,2.5,1.0,0.0
京都サンガF.C.,11.0,4.5,13.6,1.5,451.0,73.5,7.5,80.0,11.0,50.0,14.0,13.5,57.4,49.2,11.0,16.0,32.5,1.6,114.0,132.0,41.0,43.0,48.0,31.0,59.0,17.0,5.5,2.0,31.5,14.5,69.0,22.5,2.0,3.4,1.7,3.4,,0.027
名古屋グランパス,15.0,4.0,3.3,0.5,578.0,81.4,10.0,50.0,11.5,47.8,21.0,10.0,37.0,59.7,12.0,15.5,47.5,2.0,113.0,119.0,53.0,37.0,29.0,33.0,64.0,15.5,6.0,1.5,29.0,17.5,60.0,18.0,1.0,3.4,1.7,3.4,,0.027
川崎フロンターレ,17.5,5.5,8.6,1.5,586.5,79.5,15.0,63.3,14.5,51.7,21.5,12.5,48.1,61.4,14.5,14.0,48.0,3.3,112.0,124.0,67.0,34.0,23.0,34.0,73.0,13.0,5.0,1.5,13.0,11.5,39.1,22.5,2.5,2.8,1.4,2.8,,0.027
東京ヴェルディ,12.5,4.0,8.0,1.0,361.5,79.1,9.0,27.8,5.5,54.5,4.5,9.0,45.0,36.7,11.5,15.0,27.0,2.9,119.0,102.0,42.0,29.0,31.0,24.0,41.0,15.5,5.0,2.0,27.5,16.5,75.8,22.0,1.5,2.6,1.3,2.6,,0.027
柏レイソル,12.5,6.5,20.0,2.5,670.5,87.4,15.5,38.7,16.0,43.8,13.5,9.0,51.4,56.3,12.5,15.0,27.0,2.2,118.0,97.0,41.0,28.0,28.0,40.0,57.0,13.0,4.0,1.0,14.5,13.5,66.7,17.5,1.0,2.8,1.4,1.9,,0.027
横浜F・マリノス,10.0,3.5,20.0,2.0,369.0,69.0,7.5,60.0,10.5,38.1,11.5,17.5,40.7,47.2,8.5,17.5,33.5,2.2,113.0,116.0,36.0,31.0,48.0,25.0,44.0,14.5,4.5,2.0,36.5,21.0,61.9,21.5,0.5,4.4,2.2,3.6,1.0,0.0
水戸ホーリーホック,15.0,3.5,6.7,1.0,404.0,80.3,5.5,63.6,8.0,56.3,10.0,11.5,54.8,42.1,9.5,13.5,32.5,4.1,117.0,108.0,37.0,30.0,40.0,25.0,37.0,14.0,5.5,1.5,25.0,15.0,66.7,25.0,1.0,3.2,1.6,3.2,,0.027
浦和レッズ,11.0,3.5,18.2,2.0,329.0,72.0,14.0,53.6,13.0,50.0,12.0,22.5,54.2,46.3,10.0,14.0,32.5,2.9,111.0,122.0,40.0,47.0,35.0,26.0,48.0,18.0,8.0,4.0,23.5,13.0,50.0,20.0,1.0,4.4,2.2,4.4,,0.027
