team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
いわき,15.9,3.9,8.1,1.3,345.0,65.6,10.8,44.3,12.4,47.4,16.5,26.4,55.9,48.5,11.9,18.5,42.0,29.9,10.2,2.8,1.1,26.0,18.9,72.9,20.6,1.4,17.1,1.0,17.1,5.0,0.0
今治,12.1,3.8,6.3,0.8,395.6,70.0,10.9,48.6,12.3,41.4,14.1,18.1,48.7,48.6,8.5,17.4,39.8,19.8,10.9,3.1,1.0,23.4,18.8,64.4,22.7,1.6,17.5,1.0,16.7,5.0,0.0
仙台,14.8,4.6,12.7,1.9,408.1,73.3,11.3,50.8,11.9,46.0,13.5,18.2,50.7,52.1,11.2,17.7,37.9,24.0,9.2,3.0,0.7,20.7,17.0,70.2,18.6,1.5,14.8,0.8,14.8,8.0,0.0
八戸,11.8,3.3,7.5,0.9,313.0,59.4,10.1,52.0,8.2,45.7,16.1,22.4,46.9,44.2,7.5,17.4,41.2,19.2,9.4,3.2,1.1,25.1,19.5,62.0,24.1,1.0,15.0,0.8,14.3,4.0,0.0
大宮,16.9,5.5,12.5,2.1,480.1,74.2,12.5,49.3,14.0,50.0,19.0,18.5,49.4,57.0,13.4,18.5,44.8,30.8,12.9,3.9,1.6,21.6,20.1,61.6,23.4,0.9,22.2,1.3,22.2,2.0,0.0
宮崎,12.6,4.4,15.4,1.9,424.4,74.7,10.5,55.6,12.6,46.7,16.4,21.0,55.2,49.5,10.1,17.5,34.0,20.5,9.5,1.9,0.5,23.6,17.6,66.0,18.9,1.6,13.8,0.8,13.8,10.0,0.0
富山,18.1,5.8,11.7,2.1,524.8,79.4,14.2,52.9,18.3,53.7,16.3,13.5,52.4,53.9,14.8,19.1,39.6,30.5,12.1,3.9,1.1,22.2,17.0,67.8,22.4,1.8,18.9,1.1,18.9,5.0,0.0
山形,9.8,3.0,10.2,1.0,397.4,74.1,8.2,50.0,10.5,50.6,10.6,18.4,48.8,49.0,8.7,15.4,32.6,15.4,15.8,4.6,1.4,29.1,17.5,64.6,22.2,1.0,29.6,1.7,28.0,3.0,0.0
徳島,11.7,4.9,17.6,2.0,458.8,78.8,11.3,57.8,13.8,42.7,13.6,12.1,48.1,51.7,9.9,18.8,33.3,21.1,13.1,4.1,1.2,22.2,18.5,66.0,19.4,1.6,21.6,1.2,20.8,8.0,0.0
札幌,12.4,3.6,12.3,1.5,519.4,77.7,9.1,47.7,12.5,45.1,13.1,15.8,50.9,53.2,10.4,16.5,35.5,26.4,13.0,4.0,1.2,21.6,20.1,60.4,19.5,1.5,23.8,1.4,23.8,5.0,0.0
栃木C,11.3,3.5,10.4,1.2,444.6,73.7,15.2,49.4,11.8,44.0,15.6,18.3,51.5,53.7,8.9,17.5,37.6,17.9,15.1,4.8,1.9,28.4,16.5,60.5,19.1,0.8,26.7,1.5,24.3,4.0,0.0
横浜FC,17.0,4.6,10.7,1.8,466.0,75.5,13.3,53.7,10.8,50.8,17.6,16.6,50.5,58.5,12.9,19.1,37.4,31.7,10.6,4.6,1.6,19.8,17.6,67.3,17.6,1.1,16.1,0.9,15.3,3.0,0.0
湘南,10.9,3.5,12.9,1.4,436.4,71.8,12.1,48.3,13.1,45.3,13.9,18.8,48.3,52.5,9.5,18.6,37.2,18.0,12.9,3.0,0.9,23.5,20.2,63.6,22.2,1.1,19.8,1.1,19.0,5.0,0.0
甲府,9.3,2.7,13.3,1.2,386.1,69.7,9.5,46.3,10.7,46.2,13.9,19.8,47.9,47.9,8.0,19.8,34.0,14.4,12.6,3.8,0.8,29.1,24.0,64.0,23.5,2.0,23.7,1.3,21.3,6.0,0.0
磐田,10.9,2.8,8.1,0.9,419.0,71.4,7.8,51.9,11.3,49.5,15.9,22.3,50.7,49.9,8.9,17.3,36.0,22.2,11.8,3.9,1.4,21.9,20.4,65.0,20.8,1.9,21.5,1.2,20.7,4.0,0.0
秋田,11.9,3.5,10.8,1.3,290.3,54.4,9.1,45.8,9.2,41.0,14.2,32.1,54.9,44.6,7.8,15.8,41.4,22.9,10.6,3.0,0.8,29.2,17.1,68.3,21.4,1.1,19.3,1.1,16.9,7.0,0.0
藤枝,12.4,3.5,10.0,1.2,415.9,73.5,13.2,48.7,10.6,37.8,14.2,16.9,50.8,51.8,10.1,18.7,35.4,23.8,12.3,3.2,1.0,24.5,20.4,60.4,19.8,1.2,23.8,1.4,21.4,5.0,0.0
鳥栖,12.9,3.8,10.0,1.3,535.4,80.9,13.2,50.9,10.5,47.8,13.7,14.6,46.4,56.4,10.2,16.8,33.5,19.5,8.9,2.6,0.7,22.6,14.2,71.1,18.6,1.2,14.0,0.8,14.0,8.0,0.0
