team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均走行距離,1試合平均スプリント回数,1試合平均Atスプリント回数,1試合平均Mtスプリント回数,1試合平均Dtスプリント回数,1試合平均ポゼッション時の走行距離,1試合平均ポゼッション時のスプリント回数,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
柏レイソル,27.0,6.0,11.1,3.0,682.0,85.2,21.0,57.1,21.0,42.9,27.0,11.0,50.0,62.0,27.0,30.0,35.0,3.4,123.0,110.0,42.0,38.0,30.0,43.0,48.0,12.0,7.0,5.0,11.0,23.0,78.3,8.0,1.0,1.7,1.7,0.9,0.0,0.0
ＦＣ東京,21.0,7.0,4.8,1.0,522.0,76.8,16.0,62.5,18.0,55.6,27.0,19.0,59.4,57.5,19.0,23.0,55.0,1.8,120.0,175.0,79.0,58.0,38.0,39.0,85.0,8.0,2.0,1.0,16.0,18.0,72.2,20.0,4.0,0.8,0.8,0.8,0.0,0.0
浦和レッズ,20.0,4.0,10.0,2.0,431.0,80.3,12.0,66.7,23.0,60.9,13.0,13.0,61.9,49.0,13.0,21.0,36.0,3.1,121.0,183.0,71.0,51.0,61.0,35.0,76.0,16.0,5.0,0.0,29.0,19.0,68.4,27.0,1.0,1.4,1.4,1.4,1.0,0.0
ガンバ大阪,20.0,3.0,0.0,0.0,696.0,82.8,15.0,66.7,17.0,58.8,30.0,14.0,46.7,70.0,20.0,21.0,58.0,1.4,116.0,124.0,44.0,52.0,28.0,42.0,72.0,4.0,1.0,0.0,16.0,15.0,73.3,15.0,3.0,0.2,0.2,0.2,1.0,0.0
サンフレッチェ広島,18.0,6.0,16.7,3.0,426.0,79.1,8.0,62.5,14.0,64.3,10.0,14.0,41.2,45.1,16.0,15.0,30.0,1.7,117.0,152.0,53.0,34.0,65.0,30.0,61.0,11.0,2.0,1.0,17.0,14.0,71.4,19.0,0.0,1.2,1.2,1.2,0.0,0.0
ジェフユナイテッド千葉,16.0,5.0,0.0,0.0,447.0,77.4,14.0,42.9,12.0,58.3,21.0,8.0,38.1,51.0,12.0,13.0,37.0,1.4,122.0,148.0,52.0,52.0,44.0,38.0,70.0,20.0,4.0,2.0,27.0,9.0,77.8,24.0,3.0,3.1,3.1,2.3,0.0,0.0
横浜Ｆ・マリノス,16.0,4.0,12.5,2.0,554.0,77.1,12.0,66.7,17.0,52.9,16.0,10.0,41.7,59.5,11.0,18.0,32.0,2.1,118.0,130.0,58.0,40.0,32.0,39.0,69.0,8.0,4.0,3.0,15.0,18.0,55.6,19.0,1.0,0.5,0.5,0.5,0.0,0.0
名古屋グランパス,14.0,3.0,7.1,1.0,434.0,76.0,5.0,80.0,13.0,46.2,10.0,20.0,58.8,53.2,14.0,21.0,40.0,1.4,111.0,109.0,33.0,59.0,17.0,35.0,68.0,6.0,2.0,0.0,29.0,23.0,73.9,28.0,1.0,0.8,0.8,0.8,1.0,0.0
京都サンガF.C.,14.0,5.0,7.1,1.0,353.0,63.7,12.0,58.3,20.0,20.0,14.0,18.0,40.9,50.2,11.0,16.0,39.0,1.1,110.0,183.0,77.0,54.0,52.0,28.0,101.0,11.0,2.0,1.0,13.0,10.0,90.0,31.0,1.0,1.0,1.0,1.0,0.0,0.0
川崎フロンターレ,12.0,7.0,41.7,5.0,393.0,77.9,9.0,66.7,13.0,46.2,5.0,11.0,50.0,38.0,14.0,19.0,42.0,1.7,122.0,98.0,31.0,42.0,25.0,31.0,46.0,27.0,6.0,3.0,37.0,21.0,61.9,35.0,1.0,3.4,3.4,3.4,0.0,0.0
