team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
いわき,15.0,4.0,13.3,2.0,267.0,58.4,10.0,80.0,12.0,58.3,18.0,23.0,57.5,43.3,10.0,19.0,32.0,1.0,15.0,3.0,1.0,28.0,17.0,64.7,19.0,2.0,1.9,1.9,1.1,,0.033
今治,15.0,3.0,6.7,1.0,368.0,70.9,10.0,40.0,11.0,63.6,16.0,17.0,42.5,56.7,14.0,11.0,40.0,1.9,15.0,4.0,2.0,29.0,8.0,87.5,17.0,1.0,1.0,1.0,1.0,,0.033
仙台,11.0,2.0,,,555.0,74.6,12.0,25.0,14.0,35.7,22.0,26.0,72.2,61.1,9.0,14.0,39.0,1.6,10.0,3.0,2.0,17.0,22.0,50.0,20.0,1.0,1.6,1.6,1.6,,0.1
八戸,13.0,3.0,15.4,2.0,219.0,66.7,5.0,40.0,6.0,50.0,9.0,9.0,39.1,34.2,9.0,21.0,34.0,0.6,10.0,3.0,,44.0,32.0,59.4,29.0,2.0,0.7,0.7,0.7,1.0,0.033
大分,10.0,1.0,,,520.0,77.5,6.0,16.7,6.0,16.7,13.0,27.0,54.0,55.7,8.0,10.0,28.0,0.5,14.0,6.0,1.0,15.0,14.0,64.3,16.0,,1.1,1.1,1.1,,0.133
大宮,21.0,3.0,4.8,1.0,391.0,73.1,14.0,50.0,15.0,33.3,11.0,22.0,56.4,46.0,15.0,25.0,48.0,1.5,11.0,2.0,,35.0,26.0,69.2,26.0,,1.0,1.0,1.0,1.0,0.067
宮崎,8.0,3.0,,,417.0,76.7,15.0,53.3,10.0,30.0,18.0,10.0,40.0,51.1,5.0,19.0,29.0,0.5,23.0,4.0,1.0,19.0,19.0,57.9,26.0,2.0,2.1,2.1,2.1,,0.1
富山,10.0,3.0,,,668.0,81.4,15.0,46.7,21.0,52.4,23.0,14.0,60.9,65.8,9.0,22.0,51.0,0.7,13.0,3.0,2.0,16.0,21.0,71.4,16.0,,0.6,0.6,0.6,,0.133
山形,19.0,5.0,10.5,2.0,460.0,79.8,10.0,80.0,12.0,75.0,23.0,12.0,35.3,50.5,18.0,17.0,43.0,2.4,18.0,5.0,,24.0,13.0,69.2,23.0,2.0,1.9,1.9,1.9,1.0,0.033
徳島,8.0,2.0,,,492.0,77.0,10.0,60.0,8.0,37.5,10.0,16.0,55.2,53.0,7.0,22.0,25.0,0.9,14.0,5.0,2.0,10.0,23.0,69.6,21.0,2.0,1.3,1.3,1.3,,0.1
新潟,11.0,2.0,,,470.0,73.0,16.0,25.0,8.0,25.0,14.0,17.0,43.6,54.0,6.0,17.0,39.0,1.0,21.0,3.0,1.0,25.0,21.0,61.9,30.0,1.0,1.5,1.5,1.5,,0.1
札幌,14.0,5.0,14.3,2.0,438.0,75.6,15.0,46.7,14.0,50.0,9.0,13.0,44.8,47.0,14.0,18.0,17.0,1.3,8.0,2.0,,17.0,16.0,68.8,15.0,1.0,0.9,0.9,0.9,1.0,0.033
栃木C,18.0,5.0,,,362.0,76.0,11.0,45.5,5.0,40.0,8.0,22.0,64.7,49.5,11.0,11.0,42.0,1.9,19.0,5.0,2.0,36.0,15.0,40.0,27.0,2.0,2.4,2.4,1.6,,0.1
横浜FC,23.0,4.0,4.3,1.0,386.0,75.9,13.0,61.5,9.0,33.3,16.0,15.0,60.0,48.9,16.0,13.0,38.0,2.1,8.0,3.0,,22.0,10.0,50.0,17.0,2.0,0.5,0.5,0.5,1.0,0.033
湘南,14.0,6.0,7.1,1.0,388.0,72.9,10.0,60.0,12.0,41.7,6.0,23.0,46.0,44.3,7.0,16.0,38.0,1.1,10.0,1.0,,25.0,22.0,45.5,18.0,1.0,0.5,0.5,0.5,1.0,0.033
甲府,15.0,3.0,,,429.0,74.4,10.0,50.0,15.0,53.3,27.0,12.0,46.2,50.4,13.0,17.0,49.0,1.2,12.0,4.0,2.0,22.0,13.0,92.3,16.0,1.0,1.4,1.4,0.6,,0.1
磐田,17.0,4.0,5.9,1.0,355.0,64.2,9.0,22.2,8.0,50.0,10.0,29.0,45.3,54.6,13.0,9.0,44.0,2.0,14.0,2.0,1.0,28.0,19.0,36.8,25.0,,1.2,1.2,1.2,,0.067
秋田,14.0,2.0,7.1,1.0,279.0,49.8,5.0,40.0,11.0,36.4,18.0,35.0,54.7,45.4,10.0,15.0,33.0,1.2,17.0,4.0,1.0,19.0,20.0,65.0,19.0,1.0,2.0,2.0,2.0,,0.033
藤枝,10.0,3.0,20.0,2.0,265.0,58.1,11.0,54.5,8.0,50.0,8.0,10.0,27.8,38.9,8.0,17.0,37.0,1.6,11.0,2.0,,24.0,16.0,68.8,28.0,,1.6,1.6,0.8,1.0,0.067
鳥栖,12.0,4.0,16.7,2.0,363.0,79.3,6.0,33.3,9.0,44.4,8.0,14.0,53.8,49.6,10.0,9.0,25.0,1.4,15.0,3.0,,47.0,8.0,87.5,22.0,,1.2,1.2,1.2,1.0,0.067
