team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
いわき,15.3,3.5,9.4,1.4,338.1,65.4,10.2,43.5,14.3,47.3,16.1,26.4,57.5,49.6,12.2,19.6,41.1,15.2,8.7,1.6,0.8,27.9,20.2,74.7,21.9,1.3,7.6,0.8,7.6,4.0,0.0
今治,9.2,3.1,6.0,0.6,428.9,72.4,10.8,47.4,13.2,39.5,12.8,14.9,47.4,50.6,6.7,18.3,39.5,8.5,11.7,3.5,1.0,22.4,20.9,63.3,23.6,1.9,10.3,1.1,9.5,2.0,0.0
仙台,14.0,3.9,11.1,1.6,399.9,72.7,12.8,55.7,11.2,50.5,13.8,18.8,50.3,51.7,11.6,19.0,40.2,11.2,10.1,3.1,0.7,23.9,17.3,68.6,20.1,1.6,7.9,0.8,7.9,4.0,0.0
八戸,13.8,3.8,5.6,0.8,321.3,59.4,9.3,45.2,9.9,49.4,16.2,22.8,46.3,44.0,8.4,17.1,44.0,11.9,7.7,2.2,0.9,25.6,20.9,61.7,25.3,0.9,6.3,0.7,6.3,3.0,0.0
大分,13.1,3.8,9.3,1.2,505.9,77.4,8.7,50.0,12.4,47.3,15.0,23.3,59.3,52.5,10.2,15.4,37.1,14.7,11.1,3.4,1.1,23.3,17.9,62.1,18.0,1.6,8.7,0.9,7.9,5.0,0.0
大宮,17.4,5.7,14.7,2.5,511.8,75.2,13.1,48.3,16.4,46.6,20.9,18.2,50.3,57.2,15.0,20.6,47.2,17.6,12.7,3.5,1.1,21.2,23.2,61.2,22.3,1.1,11.2,1.2,11.2,2.0,0.0
宮崎,12.2,4.5,16.4,2.0,416.2,74.2,11.0,47.5,12.2,45.5,16.7,19.7,56.4,48.4,10.4,17.8,34.9,10.8,9.2,2.2,0.8,26.8,18.7,67.3,19.9,1.6,8.3,0.9,8.3,4.0,0.0
富山,18.9,5.4,11.8,2.2,529.2,79.7,14.1,52.0,19.4,55.4,17.8,12.0,49.8,54.2,16.2,19.4,39.1,16.1,10.1,4.1,1.6,19.0,18.6,65.3,21.7,1.9,9.2,1.0,9.2,1.0,0.0
山形,9.0,2.8,12.3,1.1,402.9,74.4,7.3,51.5,9.1,48.8,10.3,17.9,46.8,48.5,7.8,16.0,32.2,7.7,16.7,4.7,1.2,29.6,18.8,65.1,23.3,1.0,16.8,1.8,16.0,1.0,0.0
徳島,11.8,5.2,20.8,2.4,436.2,78.7,10.4,53.2,14.4,42.3,10.9,12.6,49.6,50.5,10.9,18.9,31.3,11.0,12.7,3.4,0.6,20.4,20.4,65.2,20.6,1.4,10.2,1.1,10.2,7.0,0.0
