team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
いわき,16.3,4.5,9.2,1.5,341.9,65.8,10.3,45.5,13.8,49.1,17.2,26.6,56.9,49.1,12.3,18.8,41.6,20.7,8.8,2.1,0.9,27.1,19.0,74.1,20.6,1.3,11.1,0.9,11.1,5.0,0.0
今治,11.2,3.8,4.5,0.5,421.8,72.3,11.6,47.5,13.9,41.3,13.7,15.4,46.1,50.3,8.0,18.6,40.4,11.6,11.8,3.6,1.0,22.2,20.3,64.6,23.8,1.8,13.6,1.1,12.8,3.0,0.0
仙台,15.3,4.6,12.5,1.9,391.8,72.8,12.4,52.3,11.2,48.5,13.8,18.5,51.3,51.0,11.6,18.7,38.3,17.5,9.3,2.8,0.5,21.6,17.8,68.2,19.2,1.3,9.8,0.8,9.8,7.0,0.0
八戸,12.3,3.7,8.2,1.0,303.7,58.2,8.3,49.0,9.0,42.6,15.1,23.3,46.6,43.2,7.3,16.3,42.7,14.7,8.1,2.5,0.9,26.8,19.7,61.9,24.8,1.0,9.4,0.7,9.4,4.0,0.0
大分,12.5,3.8,10.0,1.3,482.3,76.2,8.7,46.2,12.2,47.3,14.8,21.8,57.3,52.1,9.3,15.1,36.8,18.0,10.9,3.0,1.0,23.6,18.3,60.5,19.8,1.5,12.0,1.0,11.2,7.0,0.0
大宮,16.8,4.9,12.9,2.2,492.4,74.6,12.5,49.3,14.4,47.4,20.1,18.5,48.7,57.3,13.4,19.3,46.8,21.4,13.1,3.9,1.4,22.7,21.8,60.5,23.4,1.0,15.9,1.3,15.9,2.0,0.0
宮崎,12.4,4.5,16.8,2.1,439.5,74.7,10.7,52.3,12.9,44.5,16.8,20.2,56.4,50.3,9.9,17.1,34.3,14.8,8.1,1.8,0.6,24.6,17.8,64.8,18.8,1.7,9.0,0.7,9.0,7.0,0.0
富山,17.9,5.5,13.0,2.3,520.0,79.2,13.8,51.8,18.3,54.3,17.1,13.8,50.5,54.5,14.6,19.1,38.3,21.0,11.8,4.1,1.3,21.5,17.9,66.5,21.6,1.7,13.4,1.1,13.4,2.0,0.0
山形,9.4,2.9,10.6,1.0,403.3,74.5,7.7,50.0,9.7,51.7,10.1,18.7,48.5,48.9,7.7,15.3,33.0,10.7,15.4,4.2,1.0,28.2,17.3,66.7,22.4,1.2,20.0,1.6,19.2,3.0,0.0
徳島,11.3,5.2,22.1,2.5,439.7,78.5,10.8,52.7,13.8,43.6,12.3,12.6,48.4,50.6,9.8,18.3,33.1,14.9,12.8,3.3,0.7,22.9,19.7,64.4,19.8,1.4,13.3,1.1,13.3,8.0,0.0
新潟,8.8,2.8,12.4,1.1,429.1,74.1,11.2,40.3,12.8,48.7,12.1,17.0,46.6,49.8,6.8,16.9,36.1,10.6,13.1,5.0,0.9,28.4,18.7,66.5,22.8,2.1,13.8,1.1,13.8,8.0,0.0
札幌,12.7,3.3,7.9,1.0,529.8,77.1,9.9,49.6,13.4,42.9,13.9,16.5,50.1,54.6,11.0,17.6,36.2,18.0,12.8,4.3,1.4,21.5,20.3,62.3,19.3,1.9,16.2,1.3,16.2,2.0,0.0
栃木C,9.8,3.0,11.0,1.1,446.4,73.1,15.3,51.4,11.2,47.0,13.4,18.3,51.7,54.4,8.5,18.0,37.5,11.0,16.0,5.7,2.3,29.0,16.6,61.3,20.8,0.7,19.8,1.6,17.4,2.0,0.0
横浜FC,15.9,4.4,10.5,1.7,462.6,74.6,13.4,52.2,9.9,48.7,17.3,16.3,49.2,58.2,11.6,19.4,37.2,20.4,10.3,4.6,1.8,18.8,18.4,67.4,17.1,0.7,12.0,1.0,11.3,1.0,0.0
湘南,11.9,4.3,14.7,1.8,443.5,72.3,12.4,45.6,14.3,43.0,13.0,19.9,51.0,53.5,10.3,18.8,38.1,14.3,12.3,2.8,0.8,24.0,20.3,64.8,22.7,1.3,14.8,1.2,14.0,4.0,0.0
甲府,10.0,2.8,11.7,1.2,407.5,70.3,10.8,44.6,12.0,47.9,15.9,18.5,46.1,48.9,8.5,20.4,37.8,10.7,12.0,3.6,0.7,25.7,24.4,63.8,22.3,2.0,15.8,1.3,14.2,4.0,0.0
磐田,11.6,2.8,6.5,0.8,421.3,71.3,8.1,48.5,11.4,49.6,16.8,22.3,53.5,49.3,9.0,17.4,35.7,16.4,11.9,3.9,1.1,22.8,20.2,66.9,21.0,1.8,15.7,1.3,15.0,4.0,0.0
秋田,11.0,2.9,10.6,1.2,284.2,53.2,9.1,41.3,7.8,39.8,12.2,31.5,54.8,43.9,6.7,15.3,40.5,14.7,10.3,3.1,0.9,29.3,17.2,67.5,22.2,1.0,13.6,1.1,11.3,5.0,0.0
藤枝,11.7,3.4,11.4,1.3,382.5,71.0,13.1,47.1,10.3,42.7,14.8,16.9,51.4,50.2,10.2,18.6,35.4,16.2,13.3,3.2,1.2,28.1,20.0,62.1,21.0,1.1,17.1,1.4,16.3,2.0,0.0
鳥栖,13.2,4.1,8.9,1.2,532.3,80.1,13.8,48.8,10.9,49.6,14.4,15.0,45.2,57.0,10.4,17.3,35.2,14.1,8.5,2.7,0.8,22.4,15.4,68.1,19.3,1.3,10.3,0.8,10.3,6.0,0.0
