team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均走行距離,1試合平均スプリント回数,1試合平均Atスプリント回数,1試合平均Mtスプリント回数,1試合平均Dtスプリント回数,1試合平均ポゼッション時の走行距離,1試合平均ポゼッション時のスプリント回数,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
FC東京,15.7,5.3,11.8,1.9,487.0,80.1,11.6,56.8,19.0,45.9,14.7,13.0,46.4,53.2,13.8,19.0,36.7,12.8,113.0,138.0,70.0,44.0,23.0,33.0,81.0,9.4,2.9,1.1,28.3,18.9,65.9,15.4,2.3,7.5,1.0,7.5,4.0,0.0
FC町田ゼルビア,13.1,4.8,20.7,2.7,462.4,79.3,11.1,51.3,10.0,55.7,18.0,16.7,59.4,50.7,9.7,17.1,34.0,11.8,115.0,108.0,37.0,36.0,33.0,30.0,52.0,11.6,2.6,0.9,21.3,15.7,72.7,17.1,1.1,7.4,1.0,7.4,1.0,0.0
V・ファーレン長崎,10.4,3.9,12.3,1.3,429.1,78.7,8.6,46.7,8.6,53.3,9.1,11.8,53.2,44.5,8.7,12.7,32.1,6.8,115.0,115.0,38.0,36.0,40.0,26.0,46.0,13.7,4.7,2.0,31.3,13.4,64.9,21.4,2.0,9.3,1.3,9.3,1.0,0.0
アビスパ福岡,13.7,5.1,9.4,1.3,372.0,73.2,12.4,50.6,7.6,47.2,13.8,23.9,53.7,45.0,10.8,15.3,33.4,9.1,116.0,103.0,37.0,36.0,29.0,27.0,44.0,11.1,4.0,1.6,19.9,13.8,64.9,16.0,1.1,7.6,1.0,7.6,1.0,0.0
ガンバ大阪,13.4,4.0,8.5,1.1,502.1,81.1,13.3,51.6,12.4,41.4,13.3,10.1,45.5,55.4,10.3,18.7,37.9,8.5,111.0,92.0,30.0,28.0,34.0,31.0,39.0,16.4,6.6,1.9,24.7,17.7,66.9,16.4,1.4,13.0,1.8,13.0,1.0,0.0
サンフレッチェ広島,18.6,6.8,14.6,2.7,544.7,81.5,9.6,58.2,16.3,52.6,21.6,11.4,47.9,53.5,16.4,15.4,39.1,16.1,110.0,101.0,43.0,30.0,27.0,31.0,52.0,8.8,3.3,0.9,18.1,14.6,67.6,16.6,3.1,5.4,0.7,5.4,3.0,0.0
ジェフユナイテッド千葉,9.7,3.4,8.8,0.9,406.9,75.2,11.1,50.0,10.8,43.4,9.8,13.7,43.2,47.0,7.6,16.4,32.4,5.8,113.0,113.0,30.0,39.0,43.0,28.0,43.0,18.4,5.0,2.3,27.3,16.6,65.5,21.1,1.1,12.8,1.8,12.8,1.0,0.0
セレッソ大阪,11.4,3.6,7.5,0.9,512.7,77.8,10.4,52.1,12.8,41.1,16.6,15.3,49.3,54.9,11.3,15.1,36.7,6.8,114.0,110.0,42.0,32.0,35.0,33.0,57.0,12.6,5.0,1.6,28.3,15.7,61.8,21.6,1.7,13.6,1.9,11.1,3.0,0.0
ファジアーノ岡山,15.6,3.6,9.2,1.4,375.7,71.9,10.1,54.9,13.8,45.4,19.6,17.6,49.0,44.4,13.3,16.0,34.4,9.7,114.0,123.0,49.0,41.0,32.0,25.0,58.0,8.6,2.4,1.1,25.4,15.7,66.4,18.1,2.6,6.8,0.9,6.0,2.0,0.0
ヴィッセル神戸,11.0,4.3,14.3,1.6,439.0,74.0,9.3,49.2,12.1,41.2,18.0,23.4,52.9,51.3,8.0,16.6,39.6,11.1,114.0,133.0,48.0,33.0,51.0,29.0,52.0,10.8,2.1,0.7,22.4,17.6,68.3,17.6,1.7,7.6,1.0,7.6,3.0,0.0
京都サンガF.C.,11.6,4.0,11.1,1.3,395.7,73.7,6.4,66.7,11.8,48.2,13.0,13.7,50.8,45.5,9.4,17.3,33.1,7.6,115.0,125.0,45.0,36.0,43.0,28.0,54.0,17.9,5.7,2.0,28.7,19.1,67.9,22.4,2.4,13.5,1.9,12.7,,0.027
名古屋グランパス,12.4,3.9,8.0,1.0,545.4,81.0,9.6,50.7,10.1,45.1,18.9,10.7,46.6,56.7,10.3,14.8,37.6,10.0,111.0,113.0,46.0,36.0,31.0,31.0,52.0,14.1,4.8,1.9,20.7,15.6,64.2,17.3,0.9,11.5,1.6,10.7,,0.027
川崎フロンターレ,17.0,6.3,10.9,1.9,501.6,81.6,12.4,57.5,15.0,61.9,14.8,10.8,44.7,50.6,16.0,15.8,34.6,11.8,113.0,118.0,55.0,34.0,27.0,31.0,64.0,13.1,5.0,1.3,23.4,15.3,57.0,16.3,2.6,9.6,1.3,8.8,1.0,0.0
東京ヴェルディ,9.4,2.6,4.5,0.4,393.1,75.1,9.8,40.6,9.0,39.7,9.0,17.0,48.6,43.4,8.1,16.6,28.7,6.7,116.0,127.0,41.0,43.0,43.0,28.0,52.0,15.7,4.7,1.3,28.9,17.7,71.0,20.6,1.0,11.3,1.6,11.3,2.0,0.0
柏レイソル,14.1,5.3,13.1,1.9,628.4,85.1,14.8,39.4,18.9,54.5,16.4,9.6,47.2,58.2,16.9,16.7,31.3,10.8,118.0,108.0,50.0,30.0,27.0,40.0,62.0,11.1,3.6,1.4,18.4,16.0,67.9,16.1,1.1,8.3,1.1,6.7,1.0,0.0
横浜F・マリノス,10.6,3.3,14.9,1.6,389.9,72.6,8.7,47.5,10.4,39.7,13.8,16.7,47.0,47.7,8.6,17.6,33.7,8.3,114.0,114.0,37.0,34.0,42.0,28.0,47.0,13.0,3.7,1.3,28.0,21.4,62.7,20.6,1.9,11.4,1.6,10.6,3.0,0.0
水戸ホーリーホック,12.0,3.9,13.1,1.6,424.0,79.1,7.6,60.4,7.6,47.2,10.3,14.0,49.7,44.7,9.0,13.8,31.7,9.8,118.0,100.0,37.0,29.0,34.0,29.0,46.0,15.4,5.6,1.3,31.3,13.6,68.4,22.0,1.6,11.7,1.6,11.7,,0.027
浦和レッズ,14.4,4.3,12.9,1.9,428.6,76.1,12.1,51.8,11.7,54.9,12.4,19.9,51.1,52.3,11.7,16.6,36.0,10.0,114.0,124.0,46.0,41.0,35.0,30.0,58.0,14.1,6.1,2.4,26.3,15.0,68.6,19.0,1.4,10.5,1.5,10.5,1.0,0.0
清水エスパルス,10.4,3.1,5.5,0.6,351.9,72.9,11.8,60.2,10.1,47.9,15.7,20.7,55.1,43.0,8.7,16.1,31.9,10.1,108.0,115.0,43.0,31.0,39.0,24.0,45.0,14.4,4.7,1.0,25.9,14.3,63.0,19.6,0.7,10.0,1.4,10.0,2.0,0.0
鹿島アントラーズ,16.3,4.7,12.3,2.0,593.0,81.0,10.6,48.6,16.4,53.9,18.0,18.4,51.8,56.4,16.1,14.6,37.3,13.1,113.0,123.0,55.0,36.0,31.0,34.0,68.0,10.4,3.6,1.9,24.0,14.4,65.3,16.0,1.4,7.8,1.1,6.1,1.0,0.0
