team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
いわき,16.2,3.7,7.2,1.2,362.2,67.6,10.5,41.3,15.0,46.7,16.7,24.3,61.1,49.3,12.7,18.7,41.0,9.6,8.5,1.3,0.7,26.2,19.8,72.3,20.8,1.8,3.8,0.6,3.8,3.0,0.0
今治,8.2,2.7,4.1,0.3,484.7,73.9,9.5,47.4,14.2,38.8,12.5,16.0,47.8,55.4,6.0,16.8,38.8,5.0,10.7,2.8,1.0,20.3,19.3,63.8,22.0,1.8,6.8,1.1,6.0,2.0,0.0
仙台,13.3,4.0,13.8,1.8,373.2,69.7,13.3,56.3,11.3,54.4,14.3,19.8,50.0,49.6,11.7,20.3,43.3,6.7,10.8,3.2,0.7,24.0,18.5,69.4,22.7,1.8,5.4,0.9,5.4,2.0,0.0
八戸,13.6,3.4,2.9,0.4,313.4,60.9,9.6,41.7,10.4,51.9,15.4,18.6,47.9,40.8,7.6,17.4,41.4,5.7,8.0,1.8,0.6,25.0,22.0,60.9,26.6,1.6,4.0,0.8,4.0,2.0,0.0
大分,11.5,3.2,10.1,1.2,531.3,79.2,8.8,54.7,13.5,45.7,15.5,21.8,58.0,54.4,9.5,17.5,35.7,8.0,10.8,3.0,0.7,25.5,19.7,64.4,17.0,1.8,5.8,0.9,5.0,4.0,0.0
大宮,18.5,5.8,13.5,2.5,513.2,75.1,14.0,48.8,16.8,44.6,22.3,17.8,48.6,58.3,15.7,20.5,46.2,11.8,12.2,3.7,1.2,19.3,22.0,62.1,21.5,0.8,8.2,1.3,8.2,1.0,0.0
宮崎,12.5,4.7,18.7,2.3,404.0,76.3,10.7,43.8,13.2,44.3,14.3,15.7,50.8,46.4,10.7,17.0,32.5,7.5,8.2,2.2,1.0,27.3,17.2,71.8,19.0,1.0,6.0,1.0,6.0,2.0,0.0
富山,17.2,4.3,10.7,1.8,548.0,79.8,13.0,52.6,17.7,50.9,17.7,13.2,51.3,57.0,13.7,18.5,41.2,9.3,10.0,3.5,1.5,18.3,18.7,62.5,22.3,1.5,5.8,0.9,5.8,1.0,0.0
山形,8.0,2.7,14.6,1.2,393.5,73.5,6.8,51.2,9.3,48.2,11.0,17.8,45.7,48.2,7.2,14.8,33.2,4.7,17.2,4.5,1.3,32.3,18.0,63.0,25.3,1.0,11.2,1.8,11.2,0.0,0.0
徳島,12.8,5.8,22.1,2.8,461.2,79.4,10.5,52.4,15.8,43.2,10.7,12.3,47.7,50.4,11.7,19.2,31.3,8.2,12.3,3.2,0.5,18.8,20.8,65.6,20.7,1.8,6.6,1.1,6.6,5.0,0.0
新潟,8.5,2.3,15.7,1.3,408.7,73.5,11.5,36.2,13.3,46.3,10.0,15.7,45.0,45.9,6.3,16.2,32.7,6.2,11.7,4.3,1.0,25.8,19.3,62.1,20.2,2.5,5.7,0.9,5.7,4.0,0.0
札幌,12.3,2.3,6.8,0.8,569.2,78.0,9.3,42.9,13.5,46.9,16.2,16.7,51.3,55.6,12.3,17.2,38.2,9.1,13.8,4.2,1.7,17.5,20.5,64.2,24.0,2.0,9.7,1.6,9.7,1.0,0.0
栃木C,10.0,3.0,8.3,0.8,415.7,70.2,14.5,48.3,11.3,47.1,12.3,17.8,48.2,53.1,8.5,18.8,38.5,5.3,15.2,5.2,2.3,29.2,17.8,66.4,20.2,0.7,8.2,1.3,8.2,1.0,0.0
