team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均走行距離,1試合平均スプリント回数,1試合平均Atスプリント回数,1試合平均Mtスプリント回数,1試合平均Dtスプリント回数,1試合平均ポゼッション時の走行距離,1試合平均ポゼッション時のスプリント回数,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
ジェフユナイテッド千葉,19.0,4.5,0.0,0.0,463.0,79.5,12.0,41.7,14.5,44.8,17.0,12.0,48.0,50.3,15.0,15.5,38.5,2.8,120.0,132.0,44.0,47.0,42.0,36.0,57.0,18.5,3.5,1.0,30.0,14.0,75.0,20.5,2.5,4.5,2.2,3.7,1.0,0.0
柏レイソル,18.5,4.0,10.8,2.0,611.0,82.4,18.5,59.5,22.0,45.5,20.0,12.5,50.0,58.0,19.0,24.0,35.0,4.9,122.0,115.0,49.0,38.0,29.0,40.0,59.0,9.0,4.5,3.5,12.5,17.0,76.5,10.5,1.0,2.1,1.0,1.3,0.0,0.0
ガンバ大阪,18.5,4.5,0.0,0.0,540.5,80.9,15.0,53.3,15.5,61.3,21.0,13.5,45.8,61.7,17.0,17.5,45.5,2.5,115.0,131.0,42.0,49.0,41.0,35.0,64.0,12.5,5.5,0.0,17.0,14.0,67.9,13.5,2.0,1.8,0.9,1.8,2.0,0.0
名古屋グランパス,17.5,6.5,2.9,0.5,410.0,76.0,6.5,69.2,16.5,42.4,13.0,18.0,57.1,50.1,14.0,21.5,36.5,2.9,111.0,132.0,52.0,48.0,32.0,32.0,81.0,11.5,4.0,0.0,24.0,24.5,69.4,24.5,1.5,1.9,0.9,1.9,2.0,0.0
ＦＣ東京,16.0,6.0,6.3,1.0,494.5,76.7,15.5,61.3,17.5,51.4,25.0,19.0,55.9,56.6,15.5,21.5,47.0,2.6,117.0,154.0,71.0,49.0,34.0,37.0,76.0,9.5,2.5,1.0,24.5,18.5,64.9,16.0,2.5,1.4,0.7,1.4,0.0,0.0
浦和レッズ,15.5,3.5,9.7,1.5,378.0,75.3,11.0,63.6,16.0,59.4,12.0,15.0,52.6,46.8,8.5,22.0,38.5,3.8,119.0,156.0,58.0,42.0,56.0,31.0,62.0,13.5,5.0,0.5,29.0,23.5,63.8,26.0,1.5,2.2,1.1,2.2,1.0,0.0
ヴィッセル神戸,15.0,3.0,10.0,1.5,434.5,70.3,7.0,57.1,15.5,54.8,11.5,24.5,52.7,51.9,12.0,13.5,45.0,2.2,115.0,126.0,45.0,41.0,41.0,32.0,53.0,9.0,3.5,0.5,16.5,16.0,59.4,26.5,1.5,1.3,0.6,1.3,1.0,0.0
サンフレッチェ広島,15.0,4.5,13.3,2.0,523.0,82.0,9.5,52.6,16.0,46.9,12.5,12.5,39.1,55.0,15.0,13.5,40.0,2.5,114.0,139.0,51.0,39.0,50.0,35.0,63.0,11.0,1.5,1.0,16.5,15.5,54.8,21.0,0.0,2.0,1.0,2.0,0.0,0.0
川崎フロンターレ,14.5,5.0,17.2,2.5,448.0,81.3,11.0,54.5,15.5,45.2,8.0,12.0,47.1,43.9,16.0,17.0,39.5,3.1,118.0,103.0,40.0,35.0,29.0,31.0,52.0,24.5,5.0,1.5,33.0,18.5,59.5,30.5,1.5,4.9,2.4,4.9,1.0,0.0
横浜Ｆ・マリノス,13.0,3.0,7.7,1.0,412.5,74.3,10.5,47.6,14.0,46.4,14.0,12.5,50.0,49.5,9.0,18.5,26.5,3.0,115.0,134.0,56.0,39.0,40.0,31.0,57.0,7.0,3.0,2.0,21.5,22.5,60.0,17.5,1.5,0.9,0.4,0.9,0.0,0.0
水戸ホーリーホック,12.0,4.0,12.5,1.5,513.5,78.0,11.0,50.0,11.0,45.5,11.0,18.5,49.3,53.3,7.5,15.0,29.0,2.0,124.0,131.0,52.0,46.0,34.0,37.0,61.0,8.0,3.0,2.5,19.5,14.0,67.9,17.0,0.0,1.9,0.9,1.9,0.0,0.0
京都サンガF.C.,12.0,3.0,8.3,1.0,359.5,61.5,8.0,62.5,20.0,30.0,13.5,22.5,45.5,51.7,10.5,16.5,42.5,1.7,112.0,174.0,74.0,51.0,49.0,28.0,93.0,11.5,3.0,1.0,21.0,15.0,76.7,27.0,0.5,2.5,1.2,2.5,0.0,0.0
アビスパ福岡,10.5,2.0,4.8,0.5,462.5,76.2,13.0,38.5,11.0,27.3,12.0,16.0,52.5,51.0,7.0,14.0,36.0,1.4,116.0,107.0,35.0,41.0,32.0,33.0,41.0,9.5,2.0,1.5,15.5,18.0,50.0,22.5,2.0,2.1,1.0,2.1,0.0,0.0
清水エスパルス,9.0,3.0,5.6,0.5,346.0,64.2,9.0,33.3,11.5,52.2,15.5,21.0,47.2,46.8,8.0,13.5,38.0,2.4,112.0,123.0,44.0,34.0,45.0,26.0,53.0,12.0,2.0,1.0,30.5,16.0,65.6,19.5,2.5,2.0,1.0,2.0,0.0,0.0
セレッソ大阪,9.0,2.0,11.1,1.0,392.0,77.8,4.5,33.3,14.5,41.4,9.5,15.5,50.8,42.0,8.5,14.5,37.0,1.7,120.0,117.0,36.0,44.0,37.0,32.0,50.0,14.5,1.5,0.0,38.0,21.0,61.9,24.0,0.5,2.0,1.0,2.0,2.0,0.0
ＦＣ町田ゼルビア,8.5,3.5,29.4,2.5,388.0,70.7,8.0,68.8,8.5,41.2,9.5,14.0,51.9,47.0,5.5,16.0,31.0,1.7,118.0,104.0,35.0,33.0,37.0,30.0,46.0,15.5,5.5,2.0,23.5,13.5,77.8,19.5,0.5,3.8,1.9,3.0,0.0,0.0
ファジアーノ岡山,8.0,1.0,12.5,1.0,281.0,65.7,9.0,33.3,7.5,46.7,10.5,16.5,55.0,38.7,6.0,12.5,28.0,1.4,109.0,124.0,50.0,38.0,37.0,26.0,54.0,12.0,3.5,1.0,32.5,13.0,73.1,24.5,2.0,1.7,0.8,1.7,0.0,0.0
Ｖ・ファーレン長崎,7.5,2.0,6.7,0.5,496.0,76.9,12.5,48.0,10.0,45.0,6.0,23.0,55.4,50.7,5.0,14.0,28.5,1.5,114.0,136.0,48.0,48.0,40.0,31.0,70.0,18.5,5.0,2.5,24.5,13.0,61.5,21.5,3.0,2.9,1.4,2.9,0.0,0.0
鹿島アントラーズ,7.0,2.0,14.3,1.0,433.5,75.8,6.5,46.2,15.0,43.3,13.5,12.0,41.4,51.3,6.0,13.0,32.5,1.1,110.0,147.0,51.0,46.0,51.0,33.0,77.0,15.5,4.5,0.5,24.5,16.5,60.6,26.5,2.0,2.6,1.3,2.6,1.0,0.0
