team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均走行距離,1試合平均スプリント回数,1試合平均Atスプリント回数,1試合平均Mtスプリント回数,1試合平均Dtスプリント回数,1試合平均ポゼッション時の走行距離,1試合平均ポゼッション時のスプリント回数,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
FC東京,14.8,5.0,11.9,1.8,478.3,78.7,11.3,50.4,17.7,48.6,14.8,13.9,53.9,52.1,12.3,17.4,34.8,19.0,119.0,153.0,69.0,48.0,36.0,37.0,86.0,9.7,2.9,0.8,20.6,17.7,66.5,17.3,2.2,9.1,0.7,9.1,4.0,0.0
FC町田ゼルビア,12.0,3.8,10.6,1.3,412.0,77.1,11.1,60.7,9.5,47.6,12.5,13.1,50.4,45.6,8.6,18.4,31.3,14.0,118.0,112.0,42.0,33.0,36.0,30.0,47.0,11.1,3.7,1.4,17.9,16.6,69.9,17.3,1.2,13.4,1.2,11.8,3.0,0.0
V・ファーレン長崎,9.8,3.1,9.4,0.9,423.7,75.3,11.3,50.0,10.3,43.1,8.8,15.3,48.3,48.3,7.8,15.7,33.1,12.9,112.0,130.0,45.0,42.0,43.0,29.0,58.0,15.7,4.8,1.5,28.7,15.3,65.2,21.5,2.8,19.6,1.6,18.8,3.0,0.0
アビスパ福岡,11.2,3.4,8.2,0.9,347.8,71.7,10.8,45.0,9.5,46.0,10.6,16.8,48.5,43.4,8.3,15.9,35.1,13.4,116.0,112.0,35.0,41.0,36.0,28.0,47.0,12.2,3.9,1.6,25.9,18.5,59.8,20.1,2.0,16.8,1.2,15.9,2.0,0.0
ガンバ大阪,13.9,5.4,9.4,1.3,483.5,76.9,12.9,51.2,16.4,49.3,13.8,15.6,48.2,57.4,11.8,17.8,43.2,20.2,113.0,121.0,43.0,41.0,37.0,34.0,58.0,11.5,4.1,1.3,23.4,16.5,68.2,21.5,1.6,17.4,1.3,14.9,3.0,0.0
サンフレッチェ広島,16.8,4.3,8.4,1.4,472.1,74.3,10.1,46.3,18.2,42.7,16.9,19.9,51.4,53.8,13.4,15.1,41.6,22.6,112.0,134.0,55.0,42.0,37.0,32.0,66.0,9.8,3.1,1.3,17.2,16.3,64.1,20.8,1.3,13.2,1.1,12.4,2.0,0.0
ジェフユナイテッド千葉,11.2,3.8,8.2,0.9,430.6,76.9,12.8,48.4,9.8,39.3,13.2,15.1,52.3,48.3,8.3,16.4,31.9,14.2,119.0,116.0,37.0,39.0,40.0,35.0,50.0,17.5,5.0,1.5,29.8,17.4,58.9,18.7,1.8,22.5,1.8,20.9,1.0,0.0
セレッソ大阪,11.0,3.8,9.1,1.0,446.5,75.6,10.0,58.3,21.3,43.0,13.7,15.3,53.7,49.2,10.9,17.4,34.3,14.0,122.0,145.0,55.0,45.0,44.0,35.0,72.0,14.4,3.3,1.0,30.7,19.6,59.1,24.9,0.8,19.1,1.5,17.5,5.0,0.0
ファジアーノ岡山,11.6,3.3,10.1,1.2,321.3,66.6,11.3,51.9,9.7,48.3,16.4,20.1,51.9,43.4,8.8,15.0,33.3,15.6,113.0,140.0,56.0,46.0,37.0,28.0,66.0,11.3,4.5,1.6,26.4,15.5,59.1,23.1,1.3,14.1,1.1,13.3,2.0,0.0
ヴィッセル神戸,13.2,4.0,15.2,2.0,440.0,73.1,7.2,48.1,11.4,51.2,12.9,25.3,50.5,52.8,8.6,13.5,38.7,19.1,116.0,140.0,47.0,45.0,49.0,32.0,56.0,10.2,3.5,0.9,25.5,16.3,62.0,20.3,1.9,11.3,1.0,10.5,3.0,0.0
京都サンガF.C.,13.4,4.5,10.1,1.4,380.0,68.1,8.4,59.1,17.0,42.8,15.3,18.2,46.4,52.6,11.2,16.7,39.0,14.2,115.0,160.0,61.0,53.0,47.0,30.0,71.0,13.1,3.5,1.3,25.4,17.9,65.5,24.2,0.9,18.7,1.7,17.9,1.0,0.0
