team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
いわきＦＣ,25.0,6.0,8.0,2.0,383.5,70.5,13.0,53.8,17.0,50.0,21.0,14.5,47.5,45.4,20.0,21.0,41.0,4.6,6.0,1.0,0.5,22.0,20.5,68.3,18.0,1.5,0.7,0.3,0.7,1.0,0.0
大分トリニータ,18.0,7.0,11.1,2.0,536.0,81.0,13.0,76.9,22.0,59.1,26.0,22.0,68.8,48.7,14.0,25.0,47.0,2.1,12.0,3.0,0.0,35.0,24.0,62.5,17.0,2.0,1.7,1.7,0.9,1.0,0.0
愛媛ＦＣ,18.0,6.5,5.6,1.0,636.0,78.3,10.5,33.3,21.0,23.8,19.0,20.5,48.2,59.8,8.5,16.5,54.5,2.9,8.0,2.5,1.5,19.0,15.0,86.7,23.0,1.0,2.2,1.1,2.2,0.0,0.0
ＲＢ大宮アルディージャ,16.5,6.0,15.2,2.5,596.0,77.3,16.5,51.5,16.5,30.3,18.0,16.5,44.6,60.3,15.0,22.0,45.0,3.2,13.0,4.5,1.5,19.5,21.5,62.8,20.5,1.0,2.7,1.3,2.7,0.0,0.0
藤枝ＭＹＦＣ,14.5,4.5,6.9,1.0,474.0,75.1,17.0,55.9,12.5,48.0,17.0,15.0,46.9,59.3,12.0,23.5,31.5,3.4,8.5,3.0,1.0,18.0,23.0,60.9,19.0,1.5,2.3,1.1,1.6,1.0,0.0
サガン鳥栖,14.0,5.0,10.7,1.5,585.0,80.0,13.0,38.5,13.0,30.8,14.5,8.5,45.9,58.4,9.5,16.0,36.5,3.5,12.5,4.0,1.5,17.5,16.0,68.8,16.5,0.0,2.9,1.4,2.9,0.0,0.0
ブラウブリッツ秋田,13.5,2.0,11.1,1.5,257.0,53.1,7.5,33.3,7.0,57.1,12.0,31.0,57.4,38.9,9.5,15.5,32.5,3.3,7.0,1.5,0.5,26.5,23.5,55.3,22.5,2.0,1.1,0.5,1.1,1.0,0.0
横浜ＦＣ,13.0,4.5,3.8,0.5,487.0,79.5,13.0,46.2,9.0,22.2,17.5,12.0,49.0,60.0,10.5,16.0,29.0,2.6,10.5,4.5,1.5,16.0,15.0,66.7,15.5,1.0,1.6,0.8,1.6,0.0,0.0
ヴァンフォーレ甲府,13.0,5.0,23.1,3.0,419.0,71.8,14.5,41.4,18.5,62.2,16.5,22.0,58.7,50.1,16.5,25.5,41.0,2.4,9.5,2.5,0.5,24.5,30.0,65.0,23.5,3.0,1.9,0.9,1.1,1.0,0.0
カターレ富山,13.0,5.5,23.1,3.0,558.0,78.3,10.0,45.0,15.5,38.7,16.5,14.5,49.2,60.8,10.0,15.5,37.5,3.6,13.5,6.0,2.0,16.0,18.5,59.5,21.5,0.5,2.5,1.2,2.5,0.0,0.0
徳島ヴォルティス,13.0,9.0,38.5,5.0,392.0,76.8,10.5,42.9,18.0,38.9,10.5,15.0,56.6,40.8,10.0,18.5,30.5,2.3,11.0,1.5,0.0,17.5,21.5,65.1,19.0,3.0,1.8,0.9,1.8,2.0,0.0
