match_id,kickoff_jst,stadium_name,lat,lon,weather_fetch_ok,temp_kickoff,precip_kickoff,wind_kickoff,code_kickoff,temp_avg_pm1h,precip_sum_pm1h,wind_max_pm1h,is_rain,is_heavy_rain,is_strong_wind,weather_missing_ratio
j1_2026_09021900_水戸_鹿島,2026-09-02 19:00:00,水戸信ス,36.34548848840872,140.41299789571065,1,26.7,0.0,9.6,0,26.766666666666666,0.1,10.8,0,0,1,0.0
j1_2026_09021900_千葉_岡山,2026-09-02 19:00:00,フクアリ,35.57765269401521,140.12347406869307,1,27.7,0.0,13.7,1,27.73333333333333,0.2,14.0,0,0,1,0.0
j1_2026_09021900_東京V_神戸,2026-09-02 19:00:00,味スタ,35.664206155282656,139.5276784515036,1,27.0,0.0,13.3,1,27.066666666666666,0.0,13.3,0,0,1,0.0
j1_2026_09021900_町田_川崎F,2026-09-02 19:00:00,Ｇスタ,35.59269833903571,139.4395052110222,1,27.0,0.0,14.5,1,27.066666666666666,0.0,15.8,0,0,1,0.0
j1_2026_09021900_横浜FM_京都,2026-09-02 19:00:00,日産ス,35.51011680735539,139.607226716569,1,27.8,0.0,15.6,0,27.833333333333332,0.0,15.7,0,0,1,0.0
j1_2026_09021900_清水_FC東京,2026-09-02 19:00:00,アイスタ,34.98448998705034,138.48196538401172,1,26.9,0.2,3.8,51,26.933333333333334,0.6000000000000001,4.8,1,0,0,0.0
j1_2026_09021900_C大阪_柏,2026-09-02 19:00:00,ハナサカ,34.615472717803655,135.51676080358234,1,29.2,0.0,5.2,1,29.26666666666667,0.6,6.4,0,0,0,0.0
j1_2026_09021900_広島_名古屋,2026-09-02 19:00:00,Ｅピース,34.40226716716296,132.45706794347265,1,30.7,0.0,2.0,1,30.666666666666668,0.0,3.4,0,0,0,0.0
j1_2026_09021900_福岡_浦和,2026-09-02 19:00:00,ベススタ,33.5860172015689,130.4616167164922,1,29.4,0.1,4.3,51,29.333333333333332,0.4,4.3,1,0,0,0.0
j1_2026_09021900_長崎_G大阪,2026-09-02 19:00:00,ピースタ,32.75918381036681,129.8645230273383,1,28.7,0.0,7.6,0,28.833333333333332,0.5,10.9,0,0,0,0.0
j1_2026_09051900_福岡_水戸,2026-09-05 19:00:00,ベススタ,33.5860172015689,130.4616167164922,1,26.6,0.0,7.1,3,26.633333333333336,0.0,7.7,0,0,0,0.0
j1_2026_09061800_鹿島_浦和,2026-09-06 18:00:00,メルスタ,35.99217312474389,140.64071506686008,1,23.3,3.1,31.0,81,23.399999999999995,10.8,31.0,1,0,1,0.0
j1_2026_09061800_千葉_G大阪,2026-09-06 18:00:00,フクアリ,35.57765269401521,140.12347406869307,1,23.0,6.2,32.1,95,23.03333333333333,17.9,32.1,1,1,1,0.0
j1_2026_09061800_名古屋_町田,2026-09-06 18:00:00,豊田ス,35.08473962063071,137.17116401709413,1,22.7,7.1,4.9,81,22.73333333333333,17.3,5.4,1,1,0,0.0
j1_2026_09061800_岡山_広島,2026-09-06 18:00:00,ＪＦＥス,34.68075765895528,133.91923509564234,1,27.4,0.0,3.4,3,27.299999999999997,0.1,3.5,0,0,0,0.0
j1_2026_09061900_柏_横浜FM,2026-09-06 19:00:00,三協Ｆ柏,35.84902140785495,139.97601829568976,1,22.1,3.2,24.6,95,22.133333333333336,8.8,25.2,1,0,1,0.0
j1_2026_09061900_川崎F_清水,2026-09-06 19:00:00,MUFG国立,35.585892797514894,139.6528842691062,1,22.0,11.7,17.1,82,22.0,32.099999999999994,17.8,1,1,1,0.0
j1_2026_09061900_C大阪_東京V,2026-09-06 19:00:00,ハナサカ,34.615472717803655,135.51676080358234,1,24.5,0.0,8.3,3,24.53333333333333,1.5,9.5,0,0,1,0.0
j1_2026_09061900_神戸_長崎,2026-09-06 19:00:00,ノエスタ,34.6569962029823,135.17006277844857,1,25.5,0.1,11.1,51,25.566666666666666,0.30000000000000004,11.9,1,0,1,0.0
j1_2026_09061930_FC東京_京都,2026-09-06 19:30:00,味スタ,35.664206155282656,139.5276784515036,1,21.5,10.7,18.4,95,21.5,21.4,18.4,1,1,1,0.0
