match_id,kickoff_jst,stadium_name,lat,lon,weather_fetch_ok,temp_kickoff,precip_kickoff,wind_kickoff,code_kickoff,temp_avg_pm1h,precip_sum_pm1h,wind_max_pm1h,wind_speed_unit,strong_wind_threshold_kmh,weather_quality_status,weather_window_hours,precip_max_match,precip_sum_match,wind_max_match,last_updated_at,weather_data_kind,is_rain,is_heavy_rain,is_strong_wind,adverse_weather_during_match,weather_missing_ratio
j2_2026_09191400_札幌_大分,2026-09-19 14:00:00,プレド,43.015333789219696,141.40988612006493,1,21.7,0.0,1.3,2,21.366666666666664,0.0,2.1,km/h,28.8,complete,3,0.0,0.0,2.1,2026-09-19T04:33:50.708188+00:00,forecast,0,0,0,False,0.0
j2_2026_09191830_藤枝_大宮,2026-09-19 18:30:00,藤枝サ,34.881784405055726,138.23318128825014,1,22.6,0.0,5.7,3,22.6,0.0,6.9,km/h,28.8,complete,4,0.0,0.0,6.9,2026-09-19T04:33:52.319418+00:00,forecast,0,0,0,False,0.0
j2_2026_09191900_山形_富山,2026-09-19 19:00:00,ＮＤスタ,38.335729952607466,140.37889386511043,1,22.6,0.0,9.5,3,22.533333333333335,0.0,9.5,km/h,28.8,complete,3,0.0,0.0,9.5,2026-09-19T04:33:53.813165+00:00,forecast,0,0,0,False,0.0
j2_2026_09191900_横浜FC_今治,2026-09-19 19:00:00,ニッパツ,35.469285940524095,139.603807967381,1,20.9,0.2,9.7,51,20.900000000000002,0.6000000000000001,9.8,km/h,28.8,complete,3,0.2,0.2,9.7,2026-09-19T04:33:55.334015+00:00,forecast,1,0,0,False,0.0
j2_2026_09191900_湘南_秋田,2026-09-19 19:00:00,レモンＳ,35.34371024492078,139.34175865334066,1,22.0,0.1,13.0,51,22.03333333333333,0.4,13.0,km/h,28.8,complete,3,0.1,0.1,13.2,2026-09-19T04:33:56.866582+00:00,forecast,1,0,0,False,0.0
j2_2026_09191900_甲府_徳島,2026-09-19 19:00:00,ＪＩＴス,35.62248446912795,138.59019540732328,1,22.3,0.8,1.3,53,22.3,2.4000000000000004,3.0,km/h,28.8,complete,3,0.8,0.8,3.8,2026-09-19T04:33:58.353770+00:00,forecast,1,0,0,False,0.0
j2_2026_09191900_新潟_磐田,2026-09-19 19:00:00,デンカＳ,37.882721193551035,139.059624862698,1,24.6,0.0,6.1,3,24.8,0.0,9.4,km/h,28.8,complete,3,0.2,0.2,8.6,2026-09-19T04:33:59.858969+00:00,forecast,0,0,0,False,0.0
j2_2026_09191900_鳥栖_いわき,2026-09-19 19:00:00,駅スタ,33.37180797129067,130.51995871756887,1,24.1,0.0,11.2,2,24.133333333333336,0.0,11.2,km/h,28.8,complete,3,0.0,0.0,11.2,2026-09-19T04:34:01.509223+00:00,forecast,0,0,0,False,0.0
j2_2026_09201700_栃木C_仙台,2026-09-20 17:00:00,ＣＦＳ,36.33800250406002,139.64629606132448,1,22.8,1.3,10.0,61,22.8,5.300000000000001,10.7,km/h,28.8,complete,3,2.1,5.0,10.7,2026-09-19T04:34:03.024639+00:00,forecast,1,0,0,False,0.0
j2_2026_09261700_秋田_新潟,2026-09-26 17:00:00,ソユスタ,39.72167240639048,140.09631988051552,1,23.8,0.0,14.2,1,23.733333333333334,0.0,15.5,km/h,28.8,complete,3,0.0,0.0,17.0,2026-09-19T04:34:04.524749+00:00,forecast,0,0,0,False,0.0
j2_2026_09261700_山形_鳥栖,2026-09-26 17:00:00,ＮＤスタ,38.335729952607466,140.37889386511043,1,21.9,0.0,9.6,2,21.799999999999997,0.0,10.7,km/h,28.8,complete,3,0.0,0.0,9.6,2026-09-19T04:34:06.092589+00:00,forecast,0,0,0,False,0.0
j2_2026_09261700_いわき_仙台,2026-09-26 17:00:00,ハワスタ,37.01749001773344,140.86439525409315,1,20.5,0.0,4.7,3,20.46666666666667,0.0,7.4,km/h,28.8,complete,3,0.0,0.0,4.7,2026-09-19T04:34:07.601182+00:00,forecast,0,0,0,False,0.0
j2_2026_09261700_大宮_甲府,2026-09-26 17:00:00,ＮＡＣＫ,35.916401263739736,139.63406626685696,1,22.2,0.2,6.2,51,22.166666666666668,0.6000000000000001,7.2,km/h,28.8,complete,3,0.2,0.6000000000000001,6.2,2026-09-19T04:34:09.116941+00:00,forecast,1,0,0,False,0.0
j2_2026_09261700_富山_横浜FC,2026-09-26 17:00:00,富山,36.62514585075003,137.19630513990091,1,23.9,0.0,0.7,3,23.866666666666664,0.0,1.2,km/h,28.8,complete,3,0.0,0.0,2.0,2026-09-19T04:34:10.667129+00:00,forecast,0,0,0,False,0.0
j2_2026_09261700_磐田_八戸,2026-09-26 17:00:00,ヤマハ,34.72535704219135,137.8756669803011,1,24.4,0.5,2.4,53,24.366666666666664,1.5,3.2,km/h,28.8,complete,3,0.5,1.5,2.4,2026-09-19T04:34:12.181565+00:00,forecast,1,0,0,False,0.0
j2_2026_09261700_徳島_栃木C,2026-09-26 17:00:00,鳴門大塚,34.168439781101405,134.61765307712147,1,24.3,2.1,9.1,80,24.233333333333334,6.300000000000001,9.3,km/h,28.8,complete,3,2.1,6.300000000000001,9.1,2026-09-19T04:34:13.732144+00:00,forecast,1,0,0,False,0.0
j2_2026_09261700_今治_湘南,2026-09-26 17:00:00,アシさと,34.04098255064652,132.95930489746706,1,21.7,1.5,9.6,80,21.73333333333333,4.5,10.0,km/h,28.8,complete,3,1.5,4.5,9.6,2026-09-19T04:34:15.218658+00:00,forecast,1,0,0,False,0.0
j2_2026_09261700_大分_藤枝,2026-09-26 17:00:00,クラド,33.20101050886739,131.65759655564838,1,24.4,0.6,5.0,53,24.399999999999995,1.7999999999999998,5.1,km/h,28.8,complete,3,0.6,1.7999999999999998,5.0,2026-09-19T04:34:16.825322+00:00,forecast,1,0,0,False,0.0
j2_2026_09261700_宮崎_札幌,2026-09-26 17:00:00,いちご,32.07406360197671,131.49145338019898,1,23.9,0.3,6.5,51,23.900000000000002,0.8999999999999999,8.4,km/h,28.8,complete,3,0.3,0.8999999999999999,6.5,2026-09-19T04:34:18.326344+00:00,forecast,1,0,0,False,0.0
