match_id,kickoff_jst,stadium_name,lat,lon,weather_fetch_ok,temp_kickoff,precip_kickoff,wind_kickoff,code_kickoff,temp_avg_pm1h,precip_sum_pm1h,wind_max_pm1h,is_rain,is_heavy_rain,is_strong_wind,weather_missing_ratio
j2_2026_08291800_いわき_新潟,2026-08-29 18:00:00,ハワスタ,37.01749001773344,140.86439525409315,1,19.5,0.1,3.1,51,19.46666666666667,0.5,3.4,1,0,0,0.0
j2_2026_08291800_栃木C_磐田,2026-08-29 18:00:00,ＣＦＳ,36.33800250406002,139.64629606132448,1,19.6,2.0,5.8,61,19.6,5.8,6.7,1,0,0,0.0
j2_2026_08291830_八戸_秋田,2026-08-29 18:30:00,プラスタ,40.590528022102994,141.4562383184187,1,20.3,0.0,6.8,0,20.5,0.0,6.8,0,0,0,0.0
j2_2026_08291830_富山_藤枝,2026-08-29 18:30:00,富山,36.62514585075003,137.19630513990091,1,22.4,0.0,3.2,2,22.5,0.2,3.2,0,0,0,0.0
j2_2026_08291900_仙台_宮崎,2026-08-29 19:00:00,ユアスタ,38.319339256918454,140.88232170743814,1,20.0,0.0,2.3,2,20.03333333333333,0.0,2.6,0,0,0,0.0
j2_2026_08291900_大宮_湘南,2026-08-29 19:00:00,ＮＡＣＫ,35.916401263739736,139.63406626685696,1,19.7,0.6,6.3,53,19.733333333333334,1.2,6.3,1,0,0,0.0
j2_2026_08291900_横浜FC_鳥栖,2026-08-29 19:00:00,ニッパツ,35.469285940524095,139.603807967381,1,20.4,0.3,10.9,51,20.566666666666666,1.2,11.4,1,0,1,0.0
j2_2026_08291900_甲府_札幌,2026-08-29 19:00:00,ＪＩＴス,35.62248446912795,138.59019540732328,1,24.3,0.0,0.8,2,24.366666666666664,0.8,2.7,0,0,0,0.0
j2_2026_08291900_徳島_大分,2026-08-29 19:00:00,鳴門大塚,34.168439781101405,134.61765307712147,1,29.0,0.0,2.5,3,29.066666666666666,0.0,3.8,0,0,0,0.0
j2_2026_08291900_今治_山形,2026-08-29 19:00:00,アシさと,34.04098255064652,132.95930489746706,1,28.5,0.0,8.0,1,28.7,0.0,8.4,0,0,1,0.0
