match_id,kickoff_jst,stadium_name,lat,lon,weather_fetch_ok,temp_kickoff,precip_kickoff,wind_kickoff,code_kickoff,temp_avg_pm1h,precip_sum_pm1h,wind_max_pm1h,is_rain,is_heavy_rain,is_strong_wind,weather_missing_ratio
j2_2026_04251400_仙台_山形,2026-04-25 14:00:00,ユアスタ,38.319339256918454,140.88232170743814,1,13.2,0.0,16.6,1,13.133333333333335,0.0,16.9,0,0,1,0.0
j2_2026_04251400_札幌_いわき,2026-04-25 14:00:00,プレド,43.015333789219696,141.40988612006493,1,12.6,0.0,9.7,2,12.533333333333333,0.0,10.6,0,0,1,0.0
j2_2026_04251400_藤枝_大宮,2026-04-25 14:00:00,藤枝サ,34.881784405055726,138.23318128825014,1,18.1,0.0,13.8,2,18.066666666666666,0.0,14.3,0,0,1,0.0
j2_2026_04251400_今治_富山,2026-04-25 14:00:00,アシさと,34.04098255064652,132.95930489746706,1,21.1,0.0,4.7,3,21.0,0.0,6.6,0,0,0,0.0
j2_2026_04261300_八戸_秋田,2026-04-26 13:00:00,プラスタ,40.590528022102994,141.4562383184187,1,22.8,0.0,22.5,2,22.633333333333336,0.0,22.5,0,0,1,0.0
j2_2026_04291400_秋田_山形,2026-04-29 14:00:00,ソユスタ,39.72167240639048,140.09631988051552,1,12.5,0.0,16.2,1,12.466666666666667,0.0,16.8,0,0,1,0.0
j2_2026_04291400_横浜FC_八戸,2026-04-29 14:00:00,ニッパツ,35.469285940524095,139.603807967381,1,16.2,0.0,9.5,3,16.233333333333334,0.0,9.6,0,0,1,0.0
j2_2026_04291400_札幌_藤枝,2026-04-29 14:00:00,プレド,43.015333789219696,141.40988612006493,1,10.9,0.4,13.4,51,10.833333333333334,1.2000000000000002,14.8,1,0,1,0.0
j2_2026_04291400_大宮_甲府,2026-04-29 14:00:00,ＮＡＣＫ,35.916401263739736,139.63406626685696,1,16.1,0.0,9.2,3,16.066666666666666,0.0,9.2,0,0,1,0.0
j2_2026_04291400_富山_新潟,2026-04-29 14:00:00,富山,36.62514585075003,137.19630513990091,1,15.8,0.0,5.6,3,15.700000000000001,0.0,5.6,0,0,0,0.0
