league,feature_profile,l2,class_weight,class_weight_alpha,accuracy,logloss,draw_min,draw_p50,draw_p95,draw_max,avg_prob_draw,actual_d_rate,draw_diff_pp,iters,final_loss,grad_norm
j1,j1_core,0.03,balanced,0.7,1.0,6.719069745033705e-13,0.9999999999993281,0.9999999999993281,0.9999999999993281,0.9999999999993281,0.9999999999993282,1.0,-6.717959522006822e-11,50,6.806657683465749e-13,2.2924389441649714e-08
j1,j1_core,0.3,balanced,0.7,1.0,7.474021401779347e-13,0.9999999999992526,0.9999999999992526,0.9999999999992526,0.9999999999992526,0.9999999999992525,1.0,-7.475131624801179e-11,50,7.54416272511686e-13,6.487279399783761e-08
j1,j1_core,0.1,balanced,0.7,1.0,1.0889067425529465e-12,0.9999999999989111,0.9999999999989111,0.9999999999989111,0.9999999999989111,0.9999999999989111,1.0,-1.0889067425523535e-10,50,3.051793924937321e-12,6.265600023013075e-07
j1,j1_core,0.01,balanced,0.7,1.0,1.4868106745791151e-12,0.9999999999985132,0.9999999999985132,0.9999999999985132,0.9999999999985132,0.9999999999985132,1.0,-1.4868106745780096e-10,50,1.7078009252447229e-12,6.64816141282483e-08
j1,j1_core,3.0,balanced,0.7,1.0,2.1711521469593133e-12,0.9999999999978288,0.9999999999978288,0.9999999999978288,0.9999999999978288,0.999999999997829,1.0,-2.1710411246544936e-10,50,2.185562396957728e-12,2.9404336414486723e-07
j1,j1_core,1.0,balanced,0.7,1.0,9.797496147760077e-12,0.9999999999902025,0.9999999999902025,0.9999999999902025,0.9999999999902025,0.9999999999902025,1.0,-9.797496147712081e-10,50,9.82041426643235e-12,2.140939921829848e-07
