1,横浜FM,vs,東京Ｖ
2,Ｇ大阪,vs,清水
3,長崎,vs,Ｃ大阪
4,岡山,vs,名古屋
5,川崎Ｆ,vs,水戸
6,浦和,vs,鹿島
7,FC東京,vs,柏
8,仙台,vs,八戸
9,今治,vs,新潟
10,いわき,vs,藤枝
11,栃木Ｃ,vs,湘南
12,札幌,vs,岐阜
13,富山,vs,FC大阪
