season,origin_competition_key,applies_across_competitions,team,player_name,absence_type,start_date,expected_weeks,expected_return_date,"note
※ cardは、欠場日の翌日をexpected_return_dateとする。",,
2026,regular_2026_27,1,清水,オセフン,card,26/08/11,1 ,26/08/18,２０２６／２７明治安田Ｊ１リーグ第２節第２日(08/15),,
2026,regular_2026_27,1,栃木Ｃ,シモンズエイデン,card,26/08/11,2 ,26/08/25,２０２６／２７明治安田Ｊ２リーグ第２節第１日(08/15),,
2026,regular_2026_27,1,宮崎,松本雄真,card,26/08/11,1 ,26/08/18,２０２６／２７明治安田Ｊ２リーグ第２節第１日(08/15),,
2026,regular_2026_27,1,FC東京,ニコライヴァリス,injury,26/08/12,12 ,26/11/04,公式 左膝関節前十字靱帯損傷,,
2026,regular_2026_27,1,鳥栖,堺屋佳介,injury,26/08/16,12 ,26/11/08,公式 右膝半月板損傷で全治2〜3ヶ月(予定),,
2026,regular_2026_27,1,鳥栖,坂本亘基,injury,26/08/16,10 ,26/10/25,公式 右ハムストリングス損傷で全治8〜10週間,,
2026,regular_2026_27,1,鳥栖,水巻時飛,injury,26/08/16,12 ,26/11/08,公式 右半月板損傷で全治2〜3ヶ月(予定),,
2026,regular_2026_27,1,山形,熊本雄太,injury,26/08/18,6 ,26/09/29,公式 左大腿二頭筋肉離れ,,
2026,regular_2026_27,1,甲府,三平和司,injury,26/08/19,24 ,27/02/03,公式 左膝内側半月板損傷で全治約6ヶ月,,
2026,regular_2026_27,1,磐田,植村洋斗,injury,26/08/20,10 ,26/10/29,公式 左腓骨骨折でトレーニング合流まで8-10週程度見込み,,
2026,regular_2026_27,1,FC東京,橋本健人,card,26/08/18,2 ,26/09/01,J1(b)　２０２６／２７明治安田Ｊ１リーグ第３節第１日(08/21),,
2026,regular_2026_27,1,秋田,飯泉涼矢,card,26/08/18,1 ,26/08/25,J2(a)　２０２６／２７明治安田Ｊ２リーグ第３節第１日(08/22),,
2026,regular_2026_27,1,栃木Ｃ,シモンズエイデン,card,26/08/18,2 ,26/09/01,J2(b)　２０２６／２７明治安田Ｊ２リーグ第３節第１日(08/22),,
2026,regular_2026_27,1,横浜FC,岩武克弥,card,26/08/18,1 ,26/08/25,J2(a)　２０２６／２７明治安田Ｊ２リーグ第３節第１日(08/22),,
2026,regular_2026_27,1,大分,山口卓己,injury,26/08/23,8 ,26/10/18,公式 右膝内側側副靱帯損傷,,
2026,regular_2026_27,1,Ｇ大阪,ウェルトン,injury,26/08/23,12 ,26/11/15,公式 左膝軟骨損傷,,
2026,regular_2026_27,1,いわき,中野陽斗,injury,26/08/24,3 ,26/09/14,公式 負傷のためU-19日本代表参加を辞退する（情報不足で３節休とする）,,
2026,regular_2026_27,1,川崎Ｆ,宮城天,injury,26/08/24,22 ,27/01/25,公式 左ハムストリング肉離れで全治5か月半程度を要する見込み(手術日より),,
2026,regular_2026_27,1,甲府,河田晃兵,injury,26/08/24,20 ,27/01/11,公式 右膝外側半月板損傷、右膝骨軟骨損傷で全治約5ヶ月,,
2026,regular_2026_27,1,Ｇ大阪,安部柊斗,card,26/08/27,1 ,26/09/01,２０２６／２７明治安田Ｊ１リーグ第４節第１日(08/29),,
2026,regular_2026_27,1,Ｇ大阪,岸本武流,card,26/09/01,1 ,26/09/03,２０２６／２７明治安田Ｊ１リーグ第５節第１日(09/02),,
2026,regular_2026_27,1,湘南,小野瀬康介,card,26/09/01,2 ,26/09/13,２０２６／２７明治安田Ｊ２リーグ第５節第１日(09/05)／２０２６／２７明治安田Ｊ２リーグ第６節第１日(09/12),,
2026,regular_2026_27,1,今治,伊藤元太,card,26/09/01,1 ,26/09/07,２０２６／２７明治安田Ｊ２リーグ第５節第２日(09/06),,
2026,regular_2026_27,1,横浜FC,駒沢直哉,injury,26/09/03,12 ,26/11/26,公式 右肩甲上腕関節脱臼で全治10〜12週,,
2026,regular_2026_27,1,横浜FC,前田勘太朗,injury,26/09/03,40 ,27/06/10,公式 左膝前十字靭帯損傷で全治10ヶ月,,
2026,regular_2026_27,1,湘南,小野瀬康介,card,26/09/03,2 ,26/09/13,２０２６／２７明治安田Ｊ２リーグ第５節第１日(09/05)、第６節第１日(09/12),,
2026,regular_2026_27,1,今治,伊藤元太,card,26/09/03,1 ,26/09/07,２０２６／２７明治安田Ｊ２リーグ第５節第２日(09/06),,
2026,regular_2026_27,1,横浜FM,ルベンブランコ,injury,26/09/04,4 ,26/10/02,公式 左膝内側側副靱帯損傷で全治4週の見込み,,
2026,regular_2026_27,1,いわき,加藤有輝,injury,26/09/04,32 ,27/04/16,公式 左膝前十字靭帯断裂で全治6〜8ヶ月程度を要する見込み,,
2026,regular_2026_27,1,藤枝,杉田真彦,injury,26/09/06,6 ,26/10/18,公式 左大腿二頭筋筋損傷で復帰までの期間は約4〜6週,,
2026,regular_2026_27,1,藤枝,中村優斗,injury,26/09/06,6 ,26/10/18,公式 右前下脛腓靱帯損傷で復帰までの期間は約6週,,
2026,regular_2026_27,1,藤枝,三木仁太,injury,26/09/06,8 ,26/11/01,公式 右大腿二頭筋筋損傷で復帰までの期間は約8週,,
2026,regular_2026_27,1,いわき,大氏凜州,injury,26/09/06,12 ,26/11/29,公式 左第五中足骨、疲労骨折で全治3ヶ月程度を要する見込み,,
2026,regular_2026_27,1,川崎Ｆ,ラザルロマニッチ,injury,26/09/07,6 ,26/10/19,公式 左足底腱膜損傷,,
2026,regular_2026_27,1,京都,齊藤未月,injury,26/09/07,40 ,27/06/14,公式 左前十字靭帯損傷、半月板損傷で全治約9～10か月,,
2026,regular_2026_27,1,Ｇ大阪,植中朝日,injury,26/09/07,12 ,26/11/30,公式 左膝内側半月板損傷,,
2026,regular_2026_27,1,名古屋,マルクスヴィニシウス,injury,26/09/08,4 ,26/10/06,公式 リハビリのためブラジルに帰国する　（他に情報なし、仮想）,,
2026,regular_2026_27,1,清水,住吉ジェラニレショーン,card,26/09/08,1 ,26/09/15,J1(a)　２０２６／２７明治安田Ｊ１リーグ第７節第２日(09/12),,
2026,regular_2026_27,1,岡山,オベルダン,card,26/09/08,1 ,26/09/15,J1(a)　２０２６／２７明治安田Ｊ１リーグ第７節第３日(09/13),,
2026,regular_2026_27,1,栃木Ｃ,乾貴哉,card,26/09/24,1 ,26/10/01,C(a)　２０２６／２７Ｊリーグ ヤマザキビスケット ルヴァンカップ　1stR２回戦第１日(09/29),,
2026,regular_2026_27,1,秋田,土井紅貴,card,26/09/08,1 ,26/09/15,J2(a)　２０２６／２７明治安田Ｊ２リーグ第６節第１日(09/12),,
2026,regular_2026_27,1,栃木Ｃ,照山颯人,card,26/09/08,1 ,26/09/15,J2(a)　２０２６／２７明治安田Ｊ２リーグ第６節第１日(09/12),,
2026,regular_2026_27,1,湘南,小野瀬康介,card,26/09/08,2 ,26/09/22,J2(b)　２０２６／２７明治安田Ｊ２リーグ第６節第１日(09/12),,
2026,regular_2026_27,1,清水,石川慧,injury,26/09/09,37 ,27/05/26,公式 右膝前十字靱帯断裂で復帰まで手術日から9ケ月を要する見込み,,
