match_no,league,home_team,away_team,best_second,actual_symbol,actual_result,ticket01,ticket01_is_hit,ticket02,ticket02_is_hit,ticket03,ticket03_is_hit,ticket04,ticket04_is_hit,ticket05,ticket05_is_hit,ticket06,ticket06_is_hit,ticket07,ticket07_is_hit,ticket08,ticket08_is_hit,ticket09,ticket09_is_hit,ticket10,ticket10_is_hit
1,J1,横浜FM,川崎Ｆ,best=0 second=2 third=1 (base=0) margin=0.126,2,A,0,False,2,True,2,True,0,False,1,False,0,False,0,False,0,False,0,False,0,False
2,J1,Ｃ大阪,京都,best=2 second=0 third=1 (base=2) margin=0.051,1,H,2,False,2,False,2,False,2,False,2,False,2,False,2,False,2,False,2,False,2,False
3,J1,水戸,柏,best=2 second=0 third=1 (base=2) margin=0.054,1,H,2,False,0,False,2,False,2,False,2,False,1,True,2,False,2,False,2,False,2,False
4,J1,Ｇ大阪,岡山,best=2 second=0 third=1 (base=2) margin=0.120,0,D,2,False,2,False,2,False,1,False,2,False,2,False,2,False,2,False,2,False,2,False
5,J1,名古屋,福岡,best=1 second=0 third=2 (base=1) margin=0.084,0,D,1,False,1,False,1,False,0,True,1,False,1,False,1,False,1,False,1,False,1,False
6,J1,鹿島,浦和,best=2 second=0 third=1 (base=2) margin=0.022,1,H,2,False,2,False,2,False,2,False,0,False,2,False,2,False,2,False,2,False,2,False
7,J1,東京Ｖ,千葉,best=0 second=2 third=1 (base=0) margin=0.124,1,H,0,False,0,False,0,False,0,False,0,False,0,False,1,True,0,False,0,False,0,False
8,J2,仙台,栃木Ｃ,best=1 second=0 third=2 (base=1) margin=0.082,1,H,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True
9,J2,新潟,今治,best=0 second=2 third=1 (base=0) margin=0.109,1,H,0,False,0,False,0,False,0,False,0,False,0,False,1,True,0,False,0,False,0,False
10,J2,甲府,藤枝,best=0 second=2 third=1 (base=0) margin=0.113,2,A,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False
11,J2,秋田,横浜FC,best=0 second=1 third=2 (base=0) margin=0.046,2,A,0,False,1,False,0,False,0,False,1,False,0,False,0,False,1,False,0,False,0,False
12,J2,山形,八戸,best=2 second=1 third=0 (base=2) margin=0.060,1,H,2,False,2,False,2,False,2,False,2,False,2,False,2,False,2,False,2,False,2,False
13,J2,大宮,磐田,best=0 second=1 third=2 (base=0) margin=0.075,2,A,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,2,True
