match_no,home_team,away_team,league,context_primary_pick,context_secondary_pick,context_risk_level,context_ticket_guidance,context_decision_summary,context_match_purchase_type,context_match_purchase_subtype,context_purchase_type_confidence,context_purchase_type_reason,context_anchor_candidate_flag,context_draw_core_candidate_flag,context_draw_core_flag,context_draw_purchase_tier,p_home,p_draw,p_away,diff_ha,margin_best_second,entropy,draw_candidate,draw_candidate_reason,draw_score,draw_branch_candidate,draw_branch_score,away_value_candidate,away_value_score,flab_trial_flag,flab_trial_score,closeness_2axis,closeness_effective_base,d_weight_base,buyplan_base_choice,buyplan_base_reason,shape_draw_pressure_score,shape_swing_score,shape_hold_lock_score,shape_hold_strength,shape_draw_compression,shape_swing_instability,shape_path_imbalance,shape_entropy,shape_directionality,topology_asymmetry_score,admission_draw_score,admission_escape_draw_score,admission_escape_home_score,admission_escape_away_score,shape_cluster_label,shape_overlap_subtype,lab_draw_pressure_score,lab_swing_score,lab_hold_lock_score,lab_cluster_label,lab_overlap_subtype,lab_matchup_profile,lab_hold_weight,lab_stall_weight,lab_flip_weight,lab_volatility_score,lab_draw_tension_score,lab_dynamic_swing_score,lab_hold_foundation_score,lab_stall_compactness_score,lab_flip_dislocation_score,lab_home_path_score,lab_away_path_score,lab_scenario_entropy_score,lab_draw_path_score,lab_mix_home,lab_mix_draw,lab_mix_away,lab_tempo_band,lab_control_band,lab_pressure_band,lab_state_notes,lab_basis_hint,ticket01,scenario_id_01,scenario_name_01,scenario_note_01,scenario_predicted_result_01,ticket02,scenario_id_02,scenario_name_02,scenario_note_02,scenario_predicted_result_02,ticket03,scenario_id_03,scenario_name_03,scenario_note_03,scenario_predicted_result_03,ticket04,scenario_id_04,scenario_name_04,scenario_note_04,scenario_predicted_result_04,ticket05,scenario_id_05,scenario_name_05,scenario_note_05,scenario_predicted_result_05,ticket06,scenario_id_06,scenario_name_06,scenario_note_06,scenario_predicted_result_06,ticket07,scenario_id_07,scenario_name_07,scenario_note_07,scenario_predicted_result_07,ticket08,scenario_id_08,scenario_name_08,scenario_note_08,scenario_predicted_result_08,ticket09,scenario_id_09,scenario_name_09,scenario_note_09,scenario_predicted_result_09,ticket10,scenario_id_10,scenario_name_10,scenario_note_10,scenario_predicted_result_10
1,横浜FM,川崎Ｆ,J1,0,2,low,draw_core_keep,draw core keep: pd=0.421 gap=-0.097 top_gap=0.097,chaos_draw_watch,draw_live,high,pd=0.421 draw_tension=0.792 entropy=0.454 top_gap=0.097,False,False,True,core,0.2456944072073121,0.4403411987873489,0.313964394005339,0.0682699867980269,0.1263768047820099,1.069763421899381,False,shape_not_close_3way,1.1519006125956475,False,0.6960160244784038,False,0.6967594604667371,,0.0,0.5448667546798207,0.5448667546798207,0.19070336413793723,0,2AXIS_CLOSE_DRAW,0.7333278277470561,0.28210332240401936,0.24514022736652502,0.24514022736652502,0.7333278277470561,0.28210332240401936,0.04549763995956796,0.7616550965272408,0.058022430720720386,0.052602612173167154,0.6921154208695399,0.7681603046017,0.27152567901534264,0.20265327861777738,low_tempo_draw,non_overlap,0.7333278277470561,0.28210332240401936,0.24514022736652502,low_tempo_draw,non_overlap,low_tempo_draw,0.2475864039887727,0.5464532288448992,0.205960367166328,0.1767677906553568,0.7915296758773185,0.2825427208434814,0.4657671769073572,0.5761026609974637,0.2695515529894924,0.477251180020216,0.522748819979784,0.4535467711551008,0.6939203670175788,0.2162991325656608,0.561371259419817,0.2223296080145221,low,neutral,neutral,"profile=low_tempo_draw,stall,draw_tension_high,basis=draw_compressed",draw_compressed,0,01,Main,本線,D,2,02,Draw Compression,balanced close/neutral draw compression cluster,A,2,03,Volatility Swing,balanced round swing cluster,A,0,04,Hold Guard,balanced round guard ticket,D,1,05,Draw Pressure,balanced draw-core tension cluster,H,0,06,J2 Draw Pressure,J2 draw pressure cluster,D,0,07,Away Swing,balanced round away swing,D,0,08,Close Draw,balanced close/low-tempo draw cluster,D,0,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,D,0,10,Blend Wide,balanced draw+swing blend,D
2,Ｃ大阪,京都,J1,2,2,medium,side_with_cover,side A: top_gap=0.011 max_prob=0.356,draw_trap,weak_draw_side_bias,medium,pd=0.356 top_gap=0.011 draw_tension=0.542 mix_draw=0.488 side_gap=0.047,False,False,False,side,0.28619499009854754,0.3826267104212766,0.33117829948017585,0.04498330938162831,0.05144841094110075,1.0916257039253652,True,shape_close_3way,1.14633004582901,False,0.8385191322931319,False,0.8192946153568476,,0.0,0.7001112707891446,0.7001112707891446,0.24503894477620058,0,2AXIS_CLOSE_DRAW,0.5859435923405836,0.31146029090942556,0.23436976690297537,0.23436976690297537,0.5859435923405836,0.31146029090942556,0.26620085913625774,0.7866262554575298,0.14453120677121156,0.19718098361281336,0.5935494238568837,0.6293606681177234,0.3757509796052346,0.27991690813130754,draw_core,non_overlap,0.5859435923405836,0.31146029090942556,0.23436976690297537,draw_core,non_overlap,balanced,0.3028085144164829,0.5183731930103054,0.1788182925732116,0.208131565083946,0.5424090933777493,0.3377613493208731,0.508765672446959,0.4905757757121604,0.2218190326224004,0.6331004295681288,0.3668995704318711,0.4816268069896946,0.5621027042358366,0.2766642152308253,0.4881178567813995,0.235217927987775,mid,home,neutral,"profile=balanced,stall,home_control",basis_balanced,2,01,Main,本線,A,2,02,Draw Compression,balanced close/neutral draw compression cluster,A,2,03,Volatility Swing,balanced round swing cluster,A,2,04,Hold Guard,balanced round guard ticket,A,2,05,Draw Pressure,balanced draw-core tension cluster,A,2,06,J2 Draw Pressure,J2 draw pressure cluster,A,2,07,Away Swing,balanced round away swing,A,2,08,Close Draw,balanced close/low-tempo draw cluster,A,2,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,A,2,10,Blend Wide,balanced draw+swing blend,A
3,水戸,柏,J1,2,2,medium,side_with_cover,side A: top_gap=0.011 max_prob=0.378,draw_trap,weak_draw_side_bias,high,pd=0.378 top_gap=0.011 draw_tension=0.746 mix_draw=0.532 side_gap=0.111,False,False,False,side,0.24452411348532999,0.4044905548367318,0.3509853316779383,0.10646121819260829,0.053505223158793525,1.0779986011743183,False,shape_not_close_3way,1.0957840592257575,False,0.5851341808825598,False,0.8108553802479951,,0.0,0.2902585453826114,0.2902585453826114,0.10159049088391399,0,2AXIS_CLOSE_DRAW,0.6840204999440626,0.3219181430806195,0.23217000116114955,0.23217000116114955,0.6840204999440626,0.3219181430806195,0.19808845578840578,0.7708418954899927,0.14769347511071718,0.16950075765851694,0.6566599878360757,0.7128226087333487,0.3192813659316529,0.2874997454795118,draw_core,non_overlap,0.6840204999440626,0.3219181430806195,0.23217000116114955,draw_core,non_overlap,stall_shape,0.2610509826272619,0.5363148101943328,0.2026342071784051,0.1945313585591363,0.746249912366493,0.28158930694893,0.4984328257597994,0.5578531997648383,0.2666988390896416,0.4009557721057971,0.5990442278942029,0.4636851898056672,0.6424249615371482,0.2200164266385616,0.531971905558217,0.2480116678032212,mid,neutral,away,"profile=stall_shape,stall,draw_tension_high",basis_balanced,2,01,Main,本線,A,0,02,Draw Compression,balanced close/neutral draw compression cluster,D,2,03,Volatility Swing,balanced round swing cluster,A,2,04,Hold Guard,balanced round guard ticket,A,2,05,Draw Pressure,balanced draw-core tension cluster,A,1,06,J2 Draw Pressure,J2 draw pressure cluster,H,2,07,Away Swing,balanced round away swing,A,2,08,Close Draw,balanced close/low-tempo draw cluster,A,2,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,A,2,10,Blend Wide,balanced draw+swing blend,A
4,Ｇ大阪,岡山,J1,2,,medium,side_single,side A: top_gap=0.092 max_prob=0.407,chaos_draw_watch,draw_live,medium,pd=0.407 draw_tension=0.640 entropy=0.486 top_gap=0.092,False,False,False,side,0.26952930435078104,0.4254281526914689,0.3050425429577501,0.03551323860696903,0.12038560973371881,1.0791483079206572,False,shape_not_close_3way,1.1772008377387655,False,0.8311395309377246,False,0.6988513324677098,,0.0,0.7632450759535397,0.7632450759535397,0.2671357765837389,0,2AXIS_CLOSE_DRAW,0.6392431322116079,0.4213895130300196,0.17804347678562418,0.17804347678562418,0.6392431322116079,0.4213895130300196,0.07679371555157016,0.782531656505953,0.05408945323203955,0.06391420674485461,0.6336904403472547,0.7014649621062985,0.325092070446255,0.240007133869012,hold_core,non_overlap,0.6392431322116079,0.4213895130300196,0.17804347678562418,hold_core,non_overlap,j1_pressure_draw_watch,0.2192876743257009,0.5140849949087511,0.2666273307655478,0.3686653152843629,0.6399281609437938,0.4853515612473947,0.4528030440319182,0.5880384738462057,0.3444546777622592,0.538396857775785,0.4616031422242149,0.4859150050912488,0.6592719810824196,0.2211302824789327,0.5679571230267135,0.2109125944943538,mid,neutral,home,"profile=j1_pressure_draw_watch,stall,draw_tension_high",basis_balanced,2,01,Main,本線,A,2,02,Draw Compression,balanced close/neutral draw compression cluster,A,2,03,Volatility Swing,balanced round swing cluster,A,1,04,Hold Guard,balanced round guard ticket,H,2,05,Draw Pressure,balanced draw-core tension cluster,A,2,06,J2 Draw Pressure,J2 draw pressure cluster,A,2,07,Away Swing,balanced round away swing,A,2,08,Close Draw,balanced close/low-tempo draw cluster,A,2,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,A,2,10,Blend Wide,balanced draw+swing blend,A
5,名古屋,福岡,J1,1,1,medium,side_single,side H: top_gap=0.056 max_prob=0.387,chaos_draw_watch,draw_live,medium,pd=0.387 draw_tension=0.667 entropy=0.498 top_gap=0.056,False,False,False,side,0.32135490432966896,0.40526718463501793,0.27337791103531306,0.047976993294355896,0.08391228030534897,1.0853897333977425,False,shape_not_close_3way,1.154656599023153,False,0.8038753746748141,False,0.5520184403460302,,0.0,0.6801533780376273,0.6801533780376273,0.23805368231316953,0,2AXIS_CLOSE_DRAW,0.662127264183073,0.2928116178061638,0.27715371707500447,0.27715371707500447,0.662127264183073,0.2928116178061638,0.3273357510894355,0.791512090893147,0.17368843430214173,0.2401758186573707,0.646906616797399,0.6756883767470165,0.39458616282612313,0.2858778810956121,hold_core,non_overlap,0.662127264183073,0.2928116178061638,0.27715371707500447,hold_core,non_overlap,stall_shape,0.3286491912750026,0.5023655516114486,0.1689852571135488,0.1779548145857669,0.6666060955457337,0.2006370171385052,0.550550398176714,0.5221129818383546,0.2166589947145946,0.6636678755447177,0.3363321244552822,0.4976344483885514,0.5897544436708011,0.287292788383637,0.4784181275964559,0.234289084019907,low,home,home,"profile=stall_shape,stall,draw_tension_high,home_control",basis_balanced,1,01,Main,本線,H,1,02,Draw Compression,balanced close/neutral draw compression cluster,H,1,03,Volatility Swing,balanced round swing cluster,H,0,04,Hold Guard,balanced round guard ticket,D,1,05,Draw Pressure,balanced draw-core tension cluster,H,1,06,J2 Draw Pressure,J2 draw pressure cluster,H,1,07,Away Swing,balanced round away swing,H,1,08,Close Draw,balanced close/low-tempo draw cluster,H,1,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,H,1,10,Blend Wide,balanced draw+swing blend,H
6,鹿島,浦和,J1,2,0,medium,side_with_cover,side A: top_gap=0.018 max_prob=0.359,chaos_side_watch,away_watch,low,best=A top_prob=0.359 side_gap=0.058 path_gap=0.196 entropy=0.469,False,False,False,side,0.288824832632994,0.3663849313554632,0.34479023601154285,0.05596540337854883,0.021594695343920334,1.0937172525650416,True,shape_close_3way,1.1272270622991827,True,0.8125575246294838,False,0.9239730009086021,,0.0,0.6268973108096745,0.6268973108096745,0.21941405878338605,0,2AXIS_CLOSE_DRAW,0.7044498175022228,0.29969499292512625,0.23688922911206628,0.23688922911206628,0.7044498175022228,0.29969499292512625,0.1956435224550246,0.7815331289925971,0.11882055696296293,0.15206394930316416,0.6657760980168161,0.7257551150621107,0.3462725246707545,0.2504760568281163,hold_core,non_overlap,0.7044498175022228,0.29969499292512625,0.23688922911206628,hold_core,non_overlap,stall_shape,0.2857225538493534,0.5306509945798474,0.1836264515707991,0.190083153276275,0.7652952352952667,0.2263816474775469,0.5397120496528148,0.635031004636932,0.247663803410862,0.5978217612275123,0.4021782387724877,0.4693490054201525,0.6685079307243317,0.2487624082629249,0.5306068245497365,0.2206307671873386,mid,home,neutral,"profile=stall_shape,stall,draw_tension_high,home_control,basis=draw_compressed",draw_compressed,2,01,Main,本線,A,2,02,Draw Compression,balanced close/neutral draw compression cluster,A,2,03,Volatility Swing,balanced round swing cluster,A,2,04,Hold Guard,balanced round guard ticket,A,0,05,Draw Pressure,balanced draw-core tension cluster,D,2,06,J2 Draw Pressure,J2 draw pressure cluster,A,2,07,Away Swing,balanced round away swing,A,2,08,Close Draw,balanced close/low-tempo draw cluster,A,2,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,A,2,10,Blend Wide,balanced draw+swing blend,A
7,東京Ｖ,千葉,J1,1,,medium,side_single,side H: top_gap=0.096 max_prob=0.398,chaos_draw_watch,draw_live,medium,pd=0.398 draw_tension=0.630 entropy=0.480 top_gap=0.096,False,False,False,side,0.2911228688688524,0.416191785681717,0.29268534544943065,0.0015624765805782315,0.12350644023228635,1.0836959446345569,False,shape_not_close_3way,1.2065334162602803,False,0.9662724444163852,False,0.6950257417069459,,0.0,0.9895834894628118,0.9895834894628118,0.3463542213119841,0,2AXIS_CLOSE_DRAW,0.6493411750239902,0.3154566766620097,0.27682643364531345,0.27682643364531345,0.6493411750239902,0.3154566766620097,0.29508007978476153,0.781676195855266,0.13364539802246073,0.20350258758505635,0.6385042768954816,0.6715324864875907,0.37819420900794964,0.27755737089425103,hold_core,non_overlap,0.6493411750239902,0.3154566766620097,0.27682643364531345,hold_core,non_overlap,stall_shape,0.3112301161116089,0.5203435529240247,0.1684263309643664,0.1646998996006932,0.6298528757846191,0.3016595506749276,0.5283531927775349,0.5027080799314352,0.2187657680860088,0.6475400398923807,0.3524599601076192,0.4796564470759753,0.5792843307518171,0.280045972704582,0.4861693849781299,0.2337846423172879,low,home,home,"profile=stall_shape,stall,draw_tension_high,home_control",basis_balanced,0,01,Main,本線,D,0,02,Draw Compression,balanced close/neutral draw compression cluster,D,0,03,Volatility Swing,balanced round swing cluster,D,0,04,Hold Guard,balanced round guard ticket,D,0,05,Draw Pressure,balanced draw-core tension cluster,D,0,06,J2 Draw Pressure,J2 draw pressure cluster,D,1,07,Away Swing,balanced round away swing,H,0,08,Close Draw,balanced close/low-tempo draw cluster,D,0,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,D,0,10,Blend Wide,balanced draw+swing blend,D
8,仙台,栃木Ｃ,J2,1,,medium,side_single,side H: top_gap=0.111 max_prob=0.446,chaos_side_watch,home_watch,medium,best=H top_prob=0.446 side_gap=0.226 path_gap=0.510 entropy=0.516,False,False,False,side,0.4339739855067296,0.352326699433836,0.21369931505943437,0.22027467044729523,0.08164728607289362,1.0595923568452101,False,shape_not_close_3way,0.9558886792696228,False,0.5007247912800685,False,0.3479634071048925,,0.0,0.0,0.0,0.0,1,ARGMAX_BASE,0.4927572470377264,0.2570441513674729,0.30516929348042626,0.30516929348042626,0.4927572470377264,0.2570441513674729,0.5101947869129424,0.7877683106732916,0.3507387228568365,0.4197397105756605,0.529290572148217,0.5483447711936611,0.48700283224789814,0.3628622851950567,hold_core,non_overlap,0.4927572470377264,0.2570441513674729,0.30516929348042626,hold_core,non_overlap,stall_side_preserve,0.3558162168848929,0.4840557354986271,0.1601280476164798,0.1670962745367507,0.5684948783717031,0.2538648424437115,0.5727123626388978,0.458178364469464,0.2018287510400214,0.7550973934564712,0.2449026065435288,0.5159442645013729,0.5081056801073994,0.3473479981818777,0.3988051402974832,0.253846861520639,mid,home,home,"profile=stall_side_preserve,stall,home_control",basis_balanced,1,01,Main,本線,H,1,02,Draw Compression,balanced close/neutral draw compression cluster,H,1,03,Volatility Swing,balanced round swing cluster,H,1,04,Hold Guard,balanced round guard ticket,H,1,05,Draw Pressure,balanced draw-core tension cluster,H,1,06,J2 Draw Pressure,J2 draw pressure cluster,H,1,07,Away Swing,balanced round away swing,H,1,08,Close Draw,balanced close/low-tempo draw cluster,H,1,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,H,1,10,Blend Wide,balanced draw+swing blend,H
9,新潟,今治,J2,1,,medium,side_single,side H: top_gap=0.081 max_prob=0.390,chaos_draw_watch,draw_live,medium,pd=0.390 draw_tension=0.776 entropy=0.447 top_gap=0.081,False,False,False,side,0.29110054914007927,0.4087213037261147,0.30017814713380603,0.00907759799372676,0.10854315659230868,1.0861632415199058,False,shape_not_close_3way,1.1952830538693306,False,0.9457514917976162,False,0.7048460231666345,,0.0,0.9394826800418216,0.9394826800418216,0.3288189380146375,0,2AXIS_CLOSE_DRAW,0.6251709151907068,0.2706060142086444,0.25275001328292496,0.25275001328292496,0.6251709151907068,0.2706060142086444,0.27092203263485476,0.7663738110796255,0.12690759358223436,0.1892265690268228,0.6187795565341558,0.6924183619953684,0.3635911814229403,0.2632141126713784,hold_core,non_overlap,0.6251709151907068,0.2706060142086444,0.25275001328292496,hold_core,non_overlap,j2_low_dyn_home_stall_preserve,0.2776545779636292,0.5534156193606548,0.1689298026757159,0.193113229803706,0.7757803219572957,0.226412519469067,0.5250049716801178,0.654198113614868,0.2377467260941571,0.6354610163174274,0.3645389836825726,0.4465843806393452,0.6514101958941636,0.2672846583800248,0.5084629607996737,0.2242523808203016,mid,home,neutral,"profile=j2_low_dyn_home_stall_preserve,stall,draw_tension_high,home_control,basis=draw_compressed",draw_compressed,0,01,Main,本線,D,0,02,Draw Compression,balanced close/neutral draw compression cluster,D,0,03,Volatility Swing,balanced round swing cluster,D,0,04,Hold Guard,balanced round guard ticket,D,0,05,Draw Pressure,balanced draw-core tension cluster,D,0,06,J2 Draw Pressure,J2 draw pressure cluster,D,1,07,Away Swing,balanced round away swing,H,0,08,Close Draw,balanced close/low-tempo draw cluster,D,0,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,D,0,10,Blend Wide,balanced draw+swing blend,D
10,甲府,藤枝,J2,0,2,low,draw_core_keep,draw core keep: pd=0.399 gap=-0.085 top_gap=0.085,chaos_draw_watch,draw_live,medium,pd=0.399 draw_tension=0.745 entropy=0.428 top_gap=0.085,False,False,True,core,0.2778077806755144,0.41776284298566535,0.3044293763388203,0.026621595663305853,0.11333346664684507,1.0825268503691912,False,shape_not_close_3way,1.182259825829527,False,0.8714705939878742,False,0.7027553440477194,,0.0,0.822522695577961,0.822522695577961,0.2878829434522863,0,2AXIS_CLOSE_DRAW,0.6209386751241766,0.3214304924553667,0.22294660451809714,0.22294660451809714,0.6209386751241766,0.3214304924553667,0.09413017038138505,0.7553069936950552,0.057000454286441495,0.07306749506934435,0.6153042056961905,0.7097447091634141,0.2899695231652633,0.2344885677801729,hold_core,non_overlap,0.6209386751241766,0.3214304924553667,0.22294660451809714,hold_core,non_overlap,mid_stall_side_preserve,0.2391244814492024,0.5719128629790808,0.1889626555717167,0.2205252245305155,0.7447155938743972,0.34151940766954,0.4762382595640879,0.6350425656214755,0.2600416986032657,0.4529349148093075,0.5470650851906925,0.4280871370209191,0.6784287815338517,0.2200453982962991,0.5462779322924359,0.233676669411265,mid,neutral,away,"profile=mid_stall_side_preserve,stall,draw_tension_high,basis=draw_compressed",draw_compressed,0,01,Main,本線,D,0,02,Draw Compression,balanced close/neutral draw compression cluster,D,0,03,Volatility Swing,balanced round swing cluster,D,0,04,Hold Guard,balanced round guard ticket,D,0,05,Draw Pressure,balanced draw-core tension cluster,D,0,06,J2 Draw Pressure,J2 draw pressure cluster,D,0,07,Away Swing,balanced round away swing,D,0,08,Close Draw,balanced close/low-tempo draw cluster,D,0,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,D,0,10,Blend Wide,balanced draw+swing blend,D
