ticket,hits,total,hit_rate,draw_count,sway_count,cluster_changes,basis_changes,role_family,role_unique_only,role_same_family,role_diff_family,role_mode,topology_mode,topology_draw_cluster_count,topology_swing_cluster_count,topology_hold_cluster_count
ticket01,1,13,0.07692307692307693,6.0,0.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,none,0.0,0.0,0.0,none,balanced,13.0,13.0,13.0
ticket02,2,13,0.15384615384615385,5.0,3.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,draw,0.0,1.0,2.0,none,balanced,13.0,13.0,13.0
ticket03,2,13,0.15384615384615385,5.0,1.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,swing,1.0,0.0,0.0,none,balanced,13.0,13.0,13.0
ticket04,2,13,0.15384615384615385,7.0,2.0,draw=0 overlap=0 swing=0 neutral=0 hold=2,side=0 drawcmp=0 trap=0 split=0 balanced=2,none,0.0,0.0,0.0,none,balanced,13.0,13.0,13.0
ticket05,1,13,0.07692307692307693,5.0,3.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,draw,1.0,1.0,1.0,none,balanced,13.0,13.0,13.0
ticket06,2,13,0.15384615384615385,6.0,1.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,draw,0.0,0.0,1.0,skip,balanced,13.0,13.0,13.0
ticket07,3,13,0.23076923076923078,4.0,2.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,swing,2.0,0.0,0.0,none,balanced,13.0,13.0,13.0
ticket08,1,13,0.07692307692307693,5.0,1.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,draw,0.0,1.0,0.0,none,balanced,13.0,13.0,13.0
ticket09,1,13,0.07692307692307693,6.0,0.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,draw,0.0,0.0,0.0,none,balanced,13.0,13.0,13.0
ticket10,2,13,0.15384615384615385,5.0,1.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,swing,1.0,0.0,0.0,none,balanced,13.0,13.0,13.0
