第●節,試合日,match_id,datetime,stadium,home_team,away_team,home_score,away_score,status,match_url,comment_url_player,comment_url_coach,tracking_data_url,photo_url,recap_url
2節,2025-04-09,j1_2025_040908,2025-04-09 19:03,Ｕ等々力,川崎Ｆ,横浜FM,3,3,試合終了,/match/j1/2025/040908/live/,/match/j1/2025/040908/player/,/match/j1/2025/040908/coach/,/match/j1/2025/040908/trackingdata/,/match/j1/2025/040908/photo/,/match/j1/2025/040908/recap/
2節,2025-04-11,j1_2025_041101,2025-04-11 19:03,国立,FC東京,柏,1,1,試合終了,/match/j1/2025/041101/live/,/match/j1/2025/041101/player/,/match/j1/2025/041101/coach/,/match/j1/2025/041101/trackingdata/,/match/j1/2025/041101/photo/,/match/j1/2025/041101/recap/
2節,2025-04-12,j1_2025_041201,2025-04-12 14:03,アイスタ,清水,川崎Ｆ,1,1,試合終了,/match/j1/2025/041201/live/,/match/j1/2025/041201/player/,/match/j1/2025/041201/coach/,/match/j1/2025/041201/trackingdata/,/match/j1/2025/041201/photo/,/match/j1/2025/041201/recap/
3節,2025-04-13,j1_2025_041301,2025-04-13 14:03,国立,町田,浦和,0,2,試合終了,/match/j1/2025/041301/live/,/match/j1/2025/041301/player/,/match/j1/2025/041301/coach/,/match/j1/2025/041301/trackingdata/,/match/j1/2025/041301/photo/,/match/j1/2025/041301/recap/
3節,2025-04-16,j1_2025_041611,2025-04-16 19:03,日産ス,横浜FM,清水,2,3,試合終了,/match/j1/2025/041611/live/,/match/j1/2025/041611/player/,/match/j1/2025/041611/coach/,/match/j1/2025/041611/trackingdata/,/match/j1/2025/041611/photo/,/match/j1/2025/041611/recap/
3節,2025-04-16,j1_2025_041613,2025-04-16 19:33,埼玉,浦和,京都,2,1,試合終了,/match/j1/2025/041613/live/,/match/j1/2025/041613/player/,/match/j1/2025/041613/coach/,/match/j1/2025/041613/trackingdata/,/match/j1/2025/041613/photo/,/match/j1/2025/041613/recap/
3節,2025-04-19,j1_2025_041901,2025-04-19 14:03,デンカＳ,新潟,京都,1,2,試合終了,/match/j1/2025/041901/live/,/match/j1/2025/041901/player/,/match/j1/2025/041901/coach/,/match/j1/2025/041901/trackingdata/,/match/j1/2025/041901/photo/,/match/j1/2025/041901/recap/
3節,2025-04-20,j1_2025_042001,2025-04-20 14:03,ニッパツ,横浜FC,Ｇ大阪,1,1,試合終了,/match/j1/2025/042001/live/,/match/j1/2025/042001/player/,/match/j1/2025/042001/coach/,/match/j1/2025/042001/trackingdata/,/match/j1/2025/042001/photo/,/match/j1/2025/042001/recap/
3節,2025-04-25,j1_2025_042505,2025-04-25 19:03,カシマ,鹿島,名古屋,1,0,試合終了,/match/j1/2025/042505/live/,/match/j1/2025/042505/player/,/match/j1/2025/042505/coach/,/match/j1/2025/042505/trackingdata/,/match/j1/2025/042505/photo/,/match/j1/2025/042505/recap/
3節,2025-04-26,j1_2025_042604,2025-04-26 14:03,三協Ｆ柏,柏,新潟,1,1,試合終了,/match/j1/2025/042604/live/,/match/j1/2025/042604/player/,/match/j1/2025/042604/coach/,/match/j1/2025/042604/trackingdata/,/match/j1/2025/042604/photo/,/match/j1/2025/042604/recap/
3節,2025-04-29,j1_2025_042903,2025-04-29 13:09,味スタ,FC東京,清水,0,2,試合終了,/match/j1/2025/042903/live/,/match/j1/2025/042903/player/,/match/j1/2025/042903/coach/,/match/j1/2025/042903/trackingdata/,/match/j1/2025/042903/photo/,/match/j1/2025/042903/recap/
3節,2025-05-03,j1_2025_050301,2025-05-03 13:03,Ｅピース,広島,福岡,2,1,試合終了,/match/j1/2025/050301/live/,/match/j1/2025/050301/player/,/match/j1/2025/050301/coach/,/match/j1/2025/050301/trackingdata/,/match/j1/2025/050301/photo/,/match/j1/2025/050301/recap/
