第●節,試合日,match_id,datetime,stadium,home_team,away_team,home_score,away_score,status,match_url,comment_url_player,comment_url_coach,tracking_data_url,photo_url,recap_url
,2024-02-23,,2024-02-23 14:06,Ｅピース,広島,浦和,2,0,試合終了,,,,,,
,2024-02-23,,2024-02-23 18:03,豊田ス,名古屋,鹿島,0,3,試合終了,,,,,,
,2024-02-24,,2024-02-24 13:03,ヤマハ,磐田,神戸,0,2,試合終了,,,,,,
,2024-02-24,,2024-02-24 14:04,ベススタ,福岡,札幌,0,0,試合終了,,,,,,
,2024-02-24,,2024-02-24 14:05,駅スタ,鳥栖,新潟,1,2,試合終了,,,,,,
,2024-02-24,,2024-02-24 15:03,Ｇスタ,町田,Ｇ大阪,1,1,試合終了,,,,,,
,2024-02-24,,2024-02-24 15:04,レモンＳ,湘南,川崎Ｆ,1,2,試合終了,,,,,,
,2024-02-24,,2024-02-24 15:03,ヨドコウ,Ｃ大阪,FC東京,2,2,試合終了,,,,,,
,2024-02-25,,2024-02-25 14:03,三協Ｆ柏,柏,京都,1,1,試合終了,,,,,,
,2024-02-25,,2024-02-25 14:04,国立,東京Ｖ,横浜FM,1,2,試合終了,,,,,,
,2024-03-01,,2024-03-01 19:04,Ｕ等々力,川崎Ｆ,磐田,4,5,試合終了,,,,,,
,2024-03-01,,2024-03-01 19:03,日産ス,横浜FM,福岡,0,1,試合終了,,,,,,
,2024-03-02,,2024-03-02 13:03,ノエスタ,神戸,柏,0,1,試合終了,,,,,,
,2024-03-02,,2024-03-02 14:03,豊田ス,名古屋,町田,0,1,試合終了,,,,,,
,2024-03-02,,2024-03-02 14:03,サンガＳ,京都,湘南,1,2,試合終了,,,,,,
,2024-03-02,,2024-03-02 14:04,駅スタ,鳥栖,札幌,4,0,試合終了,,,,,,
,2024-03-02,,2024-03-02 15:03,カシマ,鹿島,Ｃ大阪,1,1,試合終了,,,,,,
,2024-03-02,,2024-03-02 15:04,味スタ,FC東京,広島,1,1,試合終了,,,,,,
,2024-03-02,,2024-03-02 15:03,パナスタ,Ｇ大阪,新潟,1,0,試合終了,,,,,,
,2024-03-03,,2024-03-03 16:04,埼玉,浦和,東京Ｖ,1,1,試合終了,,,,,,
,2024-03-09,,2024-03-09 14:03,Ｇスタ,町田,鹿島,1,0,試合終了,,,,,,
,2024-03-09,,2024-03-09 14:05,デンカＳ,新潟,名古屋,1,0,試合終了,,,,,,
,2024-03-09,,2024-03-09 14:03,ヤマハ,磐田,柏,0,1,試合終了,,,,,,
,2024-03-09,,2024-03-09 15:03,Ｅピース,広島,鳥栖,4,0,試合終了,,,,,,
,2024-03-09,,2024-03-09 15:03,ベススタ,福岡,湘南,1,1,試合終了,,,,,,
,2024-03-09,,2024-03-09 16:03,味スタ,FC東京,神戸,1,2,試合終了,,,,,,
,2024-03-09,,2024-03-09 16:03,Ｕ等々力,川崎Ｆ,京都,0,1,試合終了,,,,,,
,2024-03-09,,2024-03-09 16:03,ヨドコウ,Ｃ大阪,東京Ｖ,2,1,試合終了,,,,,,
,2024-03-10,,2024-03-10 13:08,プレド,札幌,浦和,0,1,試合終了,,,,,,
,2024-03-16,,2024-03-16 13:03,ベススタ,福岡,FC東京,1,3,試合終了,,,,,,
,2024-03-16,,2024-03-16 14:03,プレド,札幌,町田,1,2,試合終了,,,,,,
,2024-03-16,,2024-03-16 14:04,ノエスタ,神戸,広島,0,0,試合終了,,,,,,
,2024-03-16,,2024-03-16 15:03,三協Ｆ柏,柏,名古屋,0,2,試合終了,,,,,,
,2024-03-16,,2024-03-16 15:03,パナスタ,Ｇ大阪,磐田,2,1,試合終了,,,,,,
,2024-03-16,,2024-03-16 15:05,駅スタ,鳥栖,Ｃ大阪,0,2,試合終了,,,,,,
,2024-03-16,,2024-03-16 16:03,味スタ,東京Ｖ,新潟,2,2,試合終了,,,,,,
,2024-03-17,,2024-03-17 14:03,サンガＳ,京都,横浜FM,2,3,試合終了,,,,,,
,2024-03-17,,2024-03-17 15:03,カシマ,鹿島,川崎Ｆ,2,1,試合終了,,,,,,
,2024-03-17,,2024-03-17 15:03,レモンＳ,湘南,浦和,4,4,試合終了,,,,,,
,2024-03-29,,2024-03-29 19:03,味スタ,東京Ｖ,京都,2,2,試合終了,,,,,,
,2024-03-30,,2024-03-30 13:03,Ｅピース,広島,Ｇ大阪,1,1,試合終了,,,,,,
,2024-03-30,,2024-03-30 14:03,デンカＳ,新潟,柏,1,1,試合終了,,,,,,
,2024-03-30,,2024-03-30 14:03,ノエスタ,神戸,札幌,6,1,試合終了,,,,,,
,2024-03-30,,2024-03-30 15:03,カシマ,鹿島,磐田,1,0,試合終了,,,,,,
,2024-03-30,,2024-03-30 15:03,埼玉,浦和,福岡,2,1,試合終了,,,,,,
,2024-03-30,,2024-03-30 15:03,Ｇスタ,町田,鳥栖,3,1,試合終了,,,,,,
,2024-03-30,,2024-03-30 15:03,Ｕ等々力,川崎Ｆ,FC東京,3,0,試合終了,,,,,,
,2024-03-30,,2024-03-30 16:03,豊田ス,名古屋,横浜FM,2,1,試合終了,,,,,,
,2024-03-30,,2024-03-30 16:03,ヨドコウ,Ｃ大阪,湘南,2,0,試合終了,,,,,,
