第●節,試合日,試合開始,スタジアム,ホームチーム,ホーム得点,試合状況,アウェイ得点,アウェイチーム
10節,,14:03,ベススタ,福岡,2,試合終了,1,横浜FM
10節,,15:03,味スタ,東京Ｖ,0,試合終了,1,神戸
10節,,15:05,ヨドコウ,Ｃ大阪,1,試合終了,0,鹿島
10節,,16:03,サンガＳ,京都,2,試合終了,0,湘南
10節,,14:03,国立,町田,0,試合終了,2,浦和
10節,,14:03,デンカＳ,新潟,0,試合終了,0,横浜FC
10節,,19:03,日産ス,横浜FM,2,試合終了,3,清水
11節,,19:03,ノエスタ,神戸,2,試合終了,1,川崎Ｆ
11節,,19:33,埼玉,浦和,2,試合終了,1,京都
11節,,14:03,デンカＳ,新潟,1,試合終了,2,京都
11節,,14:03,ニッパツ,横浜FC,1,試合終了,1,Ｇ大阪
11節,,14:04,アイスタ,清水,3,試合終了,1,福岡
11節,,14:03,豊田ス,名古屋,2,試合終了,1,広島
11節,,14:03,ノエスタ,神戸,1,試合終了,0,町田
11節,,14:03,ＪＦＥス,岡山,1,試合終了,2,鹿島
11節,,15:03,Ｕ等々力,川崎Ｆ,0,試合終了,0,東京Ｖ
11節,,15:03,レモンＳ,湘南,0,試合終了,1,柏
12節,,15:03,ヨドコウ,Ｃ大阪,1,試合終了,1,FC東京
12節,,16:03,埼玉,浦和,3,試合終了,1,横浜FM
12節,,19:03,カシマ,鹿島,1,試合終了,0,名古屋
12節,,19:03,味スタ,東京Ｖ,1,試合終了,0,Ｃ大阪
12節,,19:03,Ｇスタ,町田,0,試合終了,1,湘南
12節,,19:03,サンガＳ,京都,2,試合終了,1,横浜FC
12節,,19:03,ベススタ,福岡,1,試合終了,1,岡山
12節,,19:33,埼玉,浦和,1,試合終了,0,広島
12節,,19:33,国立,FC東京,3,試合終了,0,Ｇ大阪
12節,,14:03,三協Ｆ柏,柏,1,試合終了,1,新潟
13節,,13:09,味スタ,FC東京,0,試合終了,2,清水
13節,,14:03,ニッパツ,横浜FC,0,試合終了,3,鹿島
13節,,14:03,豊田ス,名古屋,1,試合終了,2,柏
13節,,14:03,ＪＦＥス,岡山,0,試合終了,1,東京Ｖ
13節,,14:03,Ｅピース,広島,0,試合終了,1,新潟
13節,,15:03,レモンＳ,湘南,0,試合終了,0,福岡
13節,,15:03,パナスタ,Ｇ大阪,2,試合終了,1,京都
13節,,15:03,ヨドコウ,Ｃ大阪,1,試合終了,2,町田
13節,,13:03,Ｅピース,広島,2,試合終了,1,福岡
13節,,14:03,デンカＳ,新潟,2,試合終了,3,FC東京
14節,,14:03,国立,清水,0,試合終了,3,名古屋
14節,,15:03,カシマ,鹿島,1,試合終了,0,町田
14節,,15:03,埼玉,浦和,2,試合終了,0,東京Ｖ
14節,,15:03,パナスタ,Ｇ大阪,4,試合終了,0,湘南
