チーム名,節,試合日,対戦相手,H/A,スコア
広島,,2025-10-18,FC東京,H,nan-nan
FC東京,,2025-10-18,広島,A,nan-nan
浦和,,2025-10-25,町田,H,nan-nan
町田,,2025-10-25,浦和,A,nan-nan
柏,,2025-10-25,横浜FC,H,nan-nan
横浜FC,,2025-10-25,柏,A,nan-nan
FC東京,,2025-10-25,岡山,H,nan-nan
岡山,,2025-10-25,FC東京,A,nan-nan
横浜FM,,2025-10-25,広島,H,nan-nan
広島,,2025-10-25,横浜FM,A,nan-nan
新潟,,2025-10-25,神戸,H,nan-nan
神戸,,2025-10-25,新潟,A,nan-nan
清水,,2025-10-25,東京Ｖ,H,nan-nan
東京Ｖ,,2025-10-25,清水,A,nan-nan
名古屋,,2025-10-25,Ｇ大阪,H,nan-nan
Ｇ大阪,,2025-10-25,名古屋,A,nan-nan
京都,,2025-10-25,鹿島,H,nan-nan
鹿島,,2025-10-25,京都,A,nan-nan
Ｃ大阪,,2025-10-25,川崎Ｆ,H,nan-nan
川崎Ｆ,,2025-10-25,Ｃ大阪,A,nan-nan
福岡,,2025-10-25,湘南,H,nan-nan
湘南,,2025-10-25,福岡,A,nan-nan
鹿島,,2025-11-08,横浜FC,H,nan-nan
横浜FC,,2025-11-08,鹿島,A,nan-nan
柏,,2025-11-08,名古屋,H,nan-nan
名古屋,,2025-11-08,柏,A,nan-nan
東京Ｖ,,2025-11-08,福岡,H,nan-nan
福岡,,2025-11-08,東京Ｖ,A,nan-nan
川崎Ｆ,,2025-11-08,岡山,H,nan-nan
岡山,,2025-11-08,川崎Ｆ,A,nan-nan
湘南,,2025-11-08,新潟,H,nan-nan
新潟,,2025-11-08,湘南,A,nan-nan
清水,,2025-11-08,Ｃ大阪,H,nan-nan
Ｃ大阪,,2025-11-08,清水,A,nan-nan
京都,,2025-11-08,横浜FM,H,nan-nan
横浜FM,,2025-11-08,京都,A,nan-nan
Ｇ大阪,,2025-11-08,神戸,H,nan-nan
神戸,,2025-11-08,Ｇ大阪,A,nan-nan
広島,,2025-11-08,浦和,H,nan-nan
浦和,,2025-11-08,広島,A,nan-nan
町田,,2025-11-09,FC東京,H,nan-nan
FC東京,,2025-11-09,町田,A,nan-nan
東京Ｖ,,2025-11-30,鹿島,H,nan-nan
鹿島,,2025-11-30,東京Ｖ,A,nan-nan
町田,,2025-11-30,名古屋,H,nan-nan
名古屋,,2025-11-30,町田,A,nan-nan
川崎Ｆ,,2025-11-30,広島,H,nan-nan
広島,,2025-11-30,川崎Ｆ,A,nan-nan
横浜FM,,2025-11-30,Ｃ大阪,H,nan-nan
Ｃ大阪,,2025-11-30,横浜FM,A,nan-nan
横浜FC,,2025-11-30,京都,H,nan-nan
京都,,2025-11-30,横浜FC,A,nan-nan
湘南,,2025-11-30,清水,H,nan-nan
清水,,2025-11-30,湘南,A,nan-nan
新潟,,2025-11-30,柏,H,nan-nan
柏,,2025-11-30,新潟,A,nan-nan
神戸,,2025-11-30,FC東京,H,nan-nan
FC東京,,2025-11-30,神戸,A,nan-nan
岡山,,2025-11-30,浦和,H,nan-nan
浦和,,2025-11-30,岡山,A,nan-nan
福岡,,2025-11-30,Ｇ大阪,H,nan-nan
Ｇ大阪,,2025-11-30,福岡,A,nan-nan
