label,threshold,selected,label_total,coverage,correct,precision,eligible
H,0.3,178,178,1.0,77,0.43258426966292135,1
H,0.31,178,178,1.0,77,0.43258426966292135,1
H,0.32,178,178,1.0,77,0.43258426966292135,1
H,0.33,178,178,1.0,77,0.43258426966292135,1
H,0.34,178,178,1.0,77,0.43258426966292135,1
H,0.35,164,178,0.9213483146067416,74,0.45121951219512196,1
H,0.36,149,178,0.8370786516853933,67,0.44966442953020136,1
H,0.37,136,178,0.7640449438202247,64,0.47058823529411764,1
H,0.38,122,178,0.6853932584269663,60,0.4918032786885246,1
H,0.39,103,178,0.5786516853932584,52,0.5048543689320388,1
H,0.4,88,178,0.4943820224719101,48,0.5454545454545454,1
H,0.41,76,178,0.42696629213483145,43,0.5657894736842105,1
H,0.42,65,178,0.3651685393258427,36,0.5538461538461539,1
H,0.43,54,178,0.30337078651685395,30,0.5555555555555556,1
H,0.44,51,178,0.28651685393258425,28,0.5490196078431373,1
H,0.45,40,178,0.2247191011235955,19,0.475,1
H,0.46,34,178,0.19101123595505617,17,0.5,0
H,0.47,27,178,0.15168539325842698,13,0.48148148148148145,0
H,0.48,21,178,0.11797752808988764,11,0.5238095238095238,0
H,0.49,17,178,0.09550561797752809,9,0.5294117647058824,0
H,0.5,13,178,0.07303370786516854,7,0.5384615384615384,0
H,0.51,11,178,0.06179775280898876,6,0.5454545454545454,0
H,0.52,10,178,0.056179775280898875,6,0.6,0
H,0.53,7,178,0.03932584269662921,4,0.5714285714285714,0
H,0.54,5,178,0.028089887640449437,2,0.4,0
H,0.55,3,178,0.016853932584269662,1,0.3333333333333333,0
H,0.56,2,178,0.011235955056179775,0,0.0,0
H,0.57,2,178,0.011235955056179775,0,0.0,0
H,0.58,1,178,0.0056179775280898875,0,0.0,0
H,0.59,1,178,0.0056179775280898875,0,0.0,0
H,0.6,1,178,0.0056179775280898875,0,0.0,0
H,0.61,1,178,0.0056179775280898875,0,0.0,0
H,0.62,1,178,0.0056179775280898875,0,0.0,0
H,0.63,0,178,0.0,0,,0
H,0.64,0,178,0.0,0,,0
H,0.65,0,178,0.0,0,,0
H,0.66,0,178,0.0,0,,0
H,0.67,0,178,0.0,0,,0
H,0.68,0,178,0.0,0,,0
H,0.69,0,178,0.0,0,,0
H,0.7,0,178,0.0,0,,0
D,0.3,65,65,1.0,19,0.2923076923076923,1
