label,threshold,selected,label_total,coverage,correct,precision,eligible
H,0.3,9,9,1.0,7,0.7777777777777778,0
H,0.31,9,9,1.0,7,0.7777777777777778,0
H,0.32,9,9,1.0,7,0.7777777777777778,0
H,0.33,9,9,1.0,7,0.7777777777777778,0
H,0.34,9,9,1.0,7,0.7777777777777778,0
H,0.35,9,9,1.0,7,0.7777777777777778,0
H,0.36,4,9,0.4444444444444444,3,0.75,0
H,0.37,2,9,0.2222222222222222,1,0.5,0
H,0.38,1,9,0.1111111111111111,0,0.0,0
H,0.39,1,9,0.1111111111111111,0,0.0,0
H,0.4,0,9,0.0,0,,0
H,0.41,0,9,0.0,0,,0
H,0.42,0,9,0.0,0,,0
H,0.43,0,9,0.0,0,,0
H,0.44,0,9,0.0,0,,0
H,0.45,0,9,0.0,0,,0
H,0.46,0,9,0.0,0,,0
H,0.47,0,9,0.0,0,,0
H,0.48,0,9,0.0,0,,0
H,0.49,0,9,0.0,0,,0
H,0.5,0,9,0.0,0,,0
H,0.51,0,9,0.0,0,,0
H,0.52,0,9,0.0,0,,0
H,0.53,0,9,0.0,0,,0
H,0.54,0,9,0.0,0,,0
H,0.55,0,9,0.0,0,,0
H,0.56,0,9,0.0,0,,0
H,0.57,0,9,0.0,0,,0
H,0.58,0,9,0.0,0,,0
H,0.59,0,9,0.0,0,,0
H,0.6,0,9,0.0,0,,0
H,0.61,0,9,0.0,0,,0
H,0.62,0,9,0.0,0,,0
H,0.63,0,9,0.0,0,,0
H,0.64,0,9,0.0,0,,0
H,0.65,0,9,0.0,0,,0
H,0.66,0,9,0.0,0,,0
H,0.67,0,9,0.0,0,,0
H,0.68,0,9,0.0,0,,0
H,0.69,0,9,0.0,0,,0
H,0.7,0,9,0.0,0,,0
D,0.3,40,40,1.0,11,0.275,1
D,0.31,40,40,1.0,11,0.275,1
D,0.32,40,40,1.0,11,0.275,1
D,0.33,40,40,1.0,11,0.275,1
D,0.34,40,40,1.0,11,0.275,1
D,0.35,37,40,0.925,10,0.2702702702702703,1
D,0.36,33,40,0.825,8,0.24242424242424243,1
D,0.37,29,40,0.725,8,0.27586206896551724,1
D,0.38,24,40,0.6,5,0.20833333333333334,1
D,0.39,16,40,0.4,2,0.125,1
D,0.4,12,40,0.3,2,0.16666666666666666,1
D,0.41,9,40,0.225,1,0.1111111111111111,0
D,0.42,6,40,0.15,1,0.16666666666666666,0
D,0.43,2,40,0.05,0,0.0,0
D,0.44,0,40,0.0,0,,0
D,0.45,0,40,0.0,0,,0
D,0.46,0,40,0.0,0,,0
D,0.47,0,40,0.0,0,,0
D,0.48,0,40,0.0,0,,0
D,0.49,0,40,0.0,0,,0
D,0.5,0,40,0.0,0,,0
D,0.51,0,40,0.0,0,,0
D,0.52,0,40,0.0,0,,0
D,0.53,0,40,0.0,0,,0
D,0.54,0,40,0.0,0,,0
D,0.55,0,40,0.0,0,,0
D,0.56,0,40,0.0,0,,0
D,0.57,0,40,0.0,0,,0
D,0.58,0,40,0.0,0,,0
D,0.59,0,40,0.0,0,,0
D,0.6,0,40,0.0,0,,0
D,0.61,0,40,0.0,0,,0
D,0.62,0,40,0.0,0,,0
D,0.63,0,40,0.0,0,,0
D,0.64,0,40,0.0,0,,0
D,0.65,0,40,0.0,0,,0
D,0.66,0,40,0.0,0,,0
D,0.67,0,40,0.0,0,,0
D,0.68,0,40,0.0,0,,0
D,0.69,0,40,0.0,0,,0
D,0.7,0,40,0.0,0,,0
A,0.3,21,21,1.0,12,0.5714285714285714,1
A,0.31,21,21,1.0,12,0.5714285714285714,1
A,0.32,21,21,1.0,12,0.5714285714285714,1
A,0.33,21,21,1.0,12,0.5714285714285714,1
A,0.34,21,21,1.0,12,0.5714285714285714,1
A,0.35,21,21,1.0,12,0.5714285714285714,1
A,0.36,21,21,1.0,12,0.5714285714285714,1
A,0.37,21,21,1.0,12,0.5714285714285714,1
A,0.38,21,21,1.0,12,0.5714285714285714,1
A,0.39,19,21,0.9047619047619048,11,0.5789473684210527,1
A,0.4,17,21,0.8095238095238095,10,0.5882352941176471,1
A,0.41,15,21,0.7142857142857143,9,0.6,1
A,0.42,14,21,0.6666666666666666,9,0.6428571428571429,1
A,0.43,12,21,0.5714285714285714,8,0.6666666666666666,1
A,0.44,11,21,0.5238095238095238,8,0.7272727272727273,1
A,0.45,11,21,0.5238095238095238,8,0.7272727272727273,1
A,0.46,9,21,0.42857142857142855,8,0.8888888888888888,0
A,0.47,7,21,0.3333333333333333,7,1.0,0
A,0.48,6,21,0.2857142857142857,6,1.0,0
A,0.49,6,21,0.2857142857142857,6,1.0,0
A,0.5,5,21,0.23809523809523808,5,1.0,0
A,0.51,4,21,0.19047619047619047,4,1.0,0
A,0.52,4,21,0.19047619047619047,4,1.0,0
A,0.53,3,21,0.14285714285714285,3,1.0,0
A,0.54,2,21,0.09523809523809523,2,1.0,0
A,0.55,1,21,0.047619047619047616,1,1.0,0
A,0.56,1,21,0.047619047619047616,1,1.0,0
A,0.57,1,21,0.047619047619047616,1,1.0,0
A,0.58,0,21,0.0,0,,0
A,0.59,0,21,0.0,0,,0
A,0.6,0,21,0.0,0,,0
A,0.61,0,21,0.0,0,,0
A,0.62,0,21,0.0,0,,0
A,0.63,0,21,0.0,0,,0
A,0.64,0,21,0.0,0,,0
A,0.65,0,21,0.0,0,,0
A,0.66,0,21,0.0,0,,0
A,0.67,0,21,0.0,0,,0
A,0.68,0,21,0.0,0,,0
A,0.69,0,21,0.0,0,,0
A,0.7,0,21,0.0,0,,0
