label,threshold,selected,label_total,coverage,correct,precision,eligible
H,0.3,189,189,1.0,114,0.6031746031746031,1
H,0.31,189,189,1.0,114,0.6031746031746031,1
H,0.32,189,189,1.0,114,0.6031746031746031,1
H,0.33,189,189,1.0,114,0.6031746031746031,1
H,0.34,189,189,1.0,114,0.6031746031746031,1
H,0.35,188,189,0.9947089947089947,114,0.6063829787234043,1
H,0.36,187,189,0.9894179894179894,113,0.6042780748663101,1
H,0.37,185,189,0.9788359788359788,112,0.6054054054054054,1
H,0.38,174,189,0.9206349206349206,109,0.6264367816091954,1
H,0.39,170,189,0.8994708994708994,108,0.6352941176470588,1
H,0.4,169,189,0.8941798941798942,107,0.6331360946745562,1
H,0.41,159,189,0.8412698412698413,102,0.6415094339622641,1
H,0.42,150,189,0.7936507936507936,98,0.6533333333333333,1
H,0.43,142,189,0.7513227513227513,93,0.6549295774647887,1
H,0.44,137,189,0.7248677248677249,90,0.656934306569343,1
H,0.45,127,189,0.671957671957672,84,0.6614173228346457,1
H,0.46,123,189,0.6507936507936508,82,0.6666666666666666,1
H,0.47,115,189,0.6084656084656085,77,0.6695652173913044,1
H,0.48,109,189,0.5767195767195767,73,0.6697247706422018,1
H,0.49,97,189,0.5132275132275133,70,0.7216494845360825,1
H,0.5,89,189,0.4708994708994709,64,0.7191011235955056,1
H,0.51,85,189,0.4497354497354497,63,0.7411764705882353,1
H,0.52,80,189,0.42328042328042326,60,0.75,1
H,0.53,75,189,0.3968253968253968,58,0.7733333333333333,1
H,0.54,66,189,0.3492063492063492,50,0.7575757575757576,1
H,0.55,63,189,0.3333333333333333,47,0.746031746031746,1
H,0.56,57,189,0.30158730158730157,43,0.7543859649122807,1
H,0.57,54,189,0.2857142857142857,41,0.7592592592592593,1
H,0.58,53,189,0.2804232804232804,41,0.7735849056603774,1
H,0.59,50,189,0.26455026455026454,39,0.78,1
H,0.6,47,189,0.24867724867724866,37,0.7872340425531915,1
H,0.61,41,189,0.21693121693121692,33,0.8048780487804879,1
H,0.62,39,189,0.20634920634920634,31,0.7948717948717948,1
