class,actual_rate,mean_pred_prob,diff_pred_minus_actual
H,0.4421052631578947,0.36939242096861025,-0.07271284218928448
D,0.25526315789473686,0.28667806336466406,0.0314149054699272
A,0.3026315789473684,0.34392951566672575,0.04129793671935733
