alpha,accuracy,log_loss_3class,brier_score_3class,actual_rate_H,actual_rate_D,actual_rate_A,mean_pred_H,mean_pred_D,mean_pred_A,h_mean_gap,d_mean_gap,a_mean_gap,ha_gap_abs_max
0.1,0.4868421052631579,1.1426173011214753,0.663493051071355,0.4421052631578947,0.25526315789473686,0.3026315789473684,0.4641493154933279,0.10326339401835513,0.43258729048831696,0.022044052335433162,-0.15199976387638173,0.12995571154094854,0.12995571154094854
0.11,0.4868421052631579,1.1285608617418033,0.65956128129221,0.4421052631578947,0.25526315789473686,0.3026315789473684,0.459423385493368,0.11241462552116817,0.42816198898546376,0.01731812233547325,-0.1428485323735687,0.12553041003809534,0.12553041003809534
0.12,0.4868421052631579,1.1165170850421666,0.6559591082866825,0.4421052631578947,0.25526315789473686,0.3026315789473684,0.4547939005812178,0.1213787500165988,0.4238273494021833,0.012688637423323101,-0.13388440787813805,0.12119577045481489,0.12119577045481489
0.13,0.4868421052631579,1.106148614749707,0.6526688713245311,0.4421052631578947,0.25526315789473686,0.3026315789473684,0.4502579046865791,0.13016151121508293,0.4195805840983381,0.00815264152868439,-0.12510164667965393,0.11694900515096968,0.11694900515096968
0.14,0.4868421052631579,1.0971936361646963,0.6496739370225116,0.4421052631578947,0.25526315789473686,0.3026315789473684,0.4458125625892832,0.13876841772162166,0.41541901968909506,0.0037072994313884777,-0.1164947401731152,0.11278744074172664,0.11278744074172664
0.15,0.4868421052631579,1.0894449726847246,0.6469586314699688,0.4421052631578947,0.25526315789473686,0.3026315789473684,0.4414551537467663,0.14720475505583624,0.41134009119739734,-0.0006501094111284189,-0.10805840283890061,0.10870851225002892,0.10870851225002892
0.16,0.4868421052631579,1.0827359431762706,0.6445081774394991,0.4421052631578947,0.25526315789473686,0.3026315789473684,0.4371830664993452,0.15547559693573726,0.40734133656491756,-0.004922196658549538,-0.0997875609589996,0.10470975761754914,0.10470975761754914
0.17,0.4868421052631579,1.0769305150774817,0.6423086362548898,0.4421052631578947,0.25526315789473686,0.3026315789473684,0.432993792626377,0.16358581587770324,0.4034203914959198,-0.009111470531517729,-0.09167734201703362,0.10078881254855138,0.10078881254855138
0.18,0.4868421052631579,1.0719162769206863,0.6403468539285275,0.4421052631578947,0.25526315789473686,0.3026315789473684,0.42888492222856767,0.17154009316090044,0.39957498461053187,-0.013220340929327057,-0.08372306473383642,0.09694340566316345,0.09694340566316345
0.19,0.4868421052631579,1.0675993139433118,0.6386104112163393,0.4421052631578947,0.25526315789473686,0.3026315789473684,0.4248541389136814,0.1793429282004977,0.395802932885821,-0.017251124244213323,-0.07592022969423917,0.0931713539384526,0.0931713539384526
