alpha,accuracy,log_loss_3class,brier_score_3class,mean_prob_home_win,mean_prob_draw,mean_prob_away_win
0.35,0.4868421052631579,1.0522199834456571,0.6335789943114227,0.36939242096861025,0.28667806336466406,0.34392951566672575
0.36,0.4868421052631579,1.0531861731384122,0.634303179746076,0.366406845331992,0.2924545242939196,0.3411386303740884
0.37,0.4868421052631579,1.0542828871002619,0.6351146433244593,0.363469529565746,0.29813745702108957,0.33839301341316447
0.38,0.4868421052631579,1.0555006985220925,0.636008899234366,0.3605793040906935,0.30372913143113073,0.3356915644781757
0.39,0.4868421052631579,1.056830973339963,0.6369816820834892,0.35773503708540966,0.3092317440415892,0.33303321887300114
0.4,0.4868421052631579,1.0582657881141861,0.6380289350078947,0.35493563296467145,0.3146474209621265,0.33041694607320204
0.41,0.4868421052631579,1.0597978581214198,0.639146798497916,0.35218003093134903,0.31997822071107496,0.32784174835757607
0.42,0.4868421052631579,1.061420474179297,0.6403315998932071,0.34946720359761185,0.3252261368970611,0.32530665950532706
0.43,0.4868421052631579,1.0631274469672525,0.6415798435022764,0.3467961556715902,0.3303931007732198,0.32281074355519
0.44,0.4868421052631579,1.0649130578063934,0.6428882013051324,0.3441659227058723,0.33548098367104506,0.32035309362308273
0.45,0.4868421052631579,1.0667720150246258,0.6442535042006994,0.3415755699044503,0.3404915993204774,0.3179328307750723
0.46,0.4868421052631579,1.068699415167866,0.6456727337634536,0.3390241909849372,0.34542670606241876,0.3155491029526441
0.47,0.4868421052631579,1.070690708429602,0.6471430144762917,0.3365109070930736,0.35028800895947615,0.3132010839474502
0.48,0.4868421052631579,1.0727416677637271,0.6486616064090159,0.33403486576672764,0.35507716181038707,0.31088797242288535
0.49,0.4868421052631579,1.0748483612229331,0.6502258983139835,0.33159523994676193,0.35979576907323635,0.3086089909800018
0.5,0.4868421052631579,1.077007127129787,0.651833401112489,0.3291912270322981,0.36444538770227597,0.30636338526542584
0.51,0.4868421052631579,1.0792145517421914,0.6534817417472908,0.32682204797806136,0.3690275289028612,0.3041504231190774
0.52,0.4868421052631579,1.081467449121003,0.655168657378407,0.32448694643162146,0.3735436598087527,0.30196939375962584
0.53,0.4868421052631579,1.083762842946634,0.6568919899008813,0.3221851879084791,0.377995205085782,0.29981960700573895
0.54,0.4868421052631579,1.0860979500646721,0.6586496807646859,0.31991605900306436,0.38238354846564165,0.29770039253129393
0.55,0.4868421052631579,1.0884701655688822,0.6604397660782698,0.3176788666338286,0.38671003421334427,0.29561109915282713
0.56,0.4842105263157895,1.0908770492541808,0.6622603719785167,0.3154729373207134,0.390975968531688,0.2935510941475986
0.57,0.4842105263157895,1.093316313292991,0.66410971025103,0.31329761649338195,0.3951826209058769,0.29151976260074114
0.58,0.4842105263157895,1.0957858110062795,0.6659860741857349,0.3111522678286871,0.3993312253912629,0.2895165067800501
0.59,0.4789473684210526,1.0982835266160302,0.6678878346537815,0.30903627261593886,0.4034229818470092,0.28754074553705194
0.6,0.48157894736842105,1.1008075658792857,0.6698134363926512,0.30694902914861294,0.40745905711831976,0.2855919137330674
