d_th,ha_gap_th,accuracy,pred_H,pred_D,pred_A,d_rate_gap_from_actual
0.27,0.05,0.5,0.49473684210526314,0.17894736842105263,0.3263157894736842,-0.07631563157894738
0.28,0.05,0.49736842105263157,0.5394736842105263,0.08157894736842106,0.37894736842105264,-0.17368405263157896
0.29,0.05,0.4921052631578947,0.5631578947368421,0.02631578947368421,0.4105263157894737,-0.2289472105263158
0.27,0.06,0.48947368421052634,0.48157894736842105,0.2026315789473684,0.3157894736842105,-0.052631421052631605
0.31,0.05,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.31,0.06,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.31,0.07,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.31,0.08,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.31,0.09,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.31,0.1,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.31,0.11,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.31,0.12,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.31,0.13,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.31,0.14,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.31,0.15,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.32,0.05,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.32,0.06,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.32,0.07,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.32,0.08,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.32,0.09,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.32,0.1,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.32,0.11,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.32,0.12,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.32,0.13,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.32,0.14,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.32,0.15,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.33,0.05,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.33,0.06,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.33,0.07,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.33,0.08,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.33,0.09,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.33,0.1,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.33,0.11,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.33,0.12,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.33,0.13,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.33,0.14,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.33,0.15,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.34,0.05,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.34,0.06,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.34,0.07,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
