round_key,n_matches,avg_maxP,avg_margin12,close_rate,pred_rate_H,pred_rate_D,pred_rate_A,avg_p_draw,corr_eloabs_pdraw,acc,actual_rate_H,actual_rate_D,actual_rate_A,brier,logloss,expected_correct_proxy,delta_hits_proxy
__ALL__,360,0.5633166666666667,0.31971666666666665,0.005555555555555556,0.09722222222222222,0.0,0.06944444444444445,0.2236,-0.5902494267594339,0.0967741935483871,0.5483870967741935,0.0,0.45161290322580644,0.26682300000000003,0.5471239555390557,0.055999999999999994,1.2640000000000002
第１節第１日,8,,,0.0,0.0,0.0,0.0,,,0.0,0.2857142857142857,0.0,0.7142857142857143,,,0.0,0.0
第１節第２日,11,0.573,0.349,0.0,0.18181818181818182,0.0,0.0,0.224,,0.2857142857142857,0.42857142857142855,0.0,0.5714285714285714,0.27371400000000007,0.5568695622673976,0.1637142857142857,0.8540000000000001
第１節第３日,1,,,0.0,0.0,0.0,0.0,,,,,,,,,,
第２節第１日,12,0.485,0.1935,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.2395,-1.0,0.09090909090909091,0.8181818181818182,0.0,0.18181818181818182,0.253041,0.527632742082372,0.053636363636363635,0.41000000000000003
第２節第２日,8,,,0.0,0.0,0.0,0.0,,,0.0,0.5,0.0,0.5,,,0.0,0.0
第３節第１日,10,0.431,0.11099999999999999,0.0,0.1,0.0,0.0,0.25,,,,,,,,,
第３節第２日,10,0.514,0.263,0.0,0.1,0.0,0.0,0.235,,,,,,,,,
第４節第１日,12,0.649,0.44100000000000006,0.0,0.0,0.0,0.08333333333333333,0.208,,,,,,,,,
第４節第２日,8,0.603,0.3855,0.0,0.25,0.0,0.0,0.2175,,,,,,,,,
第５節第１日,7,0.5403333333333332,0.298,0.0,0.42857142857142855,0.0,0.0,0.22999999999999998,-0.9986254289035241,,,,,,,,
第５節第２日,10,0.572,0.348,0.0,0.0,0.0,0.1,0.224,,,,,,,,,
第５節第３日,3,0.425,0.10099999999999998,0.0,0.3333333333333333,0.0,0.0,0.251,,,,,,,,,
第６節第１日,11,0.5446666666666666,0.2886666666666667,0.0,0.2727272727272727,0.0,0.0,0.22833333333333336,-0.9364838075722244,,,,,,,,
第６節第２日,9,,,0.0,0.0,0.0,0.0,,,,,,,,,,
第７節第１日,9,0.517,0.268,0.0,0.0,0.0,0.2222222222222222,0.2345,,,,,,,,,
第７節第２日,9,0.695,0.49899999999999994,0.0,0.0,0.0,0.1111111111111111,0.196,,,,,,,,,
第７節第３日,2,0.568,0.34299999999999997,0.0,0.0,0.0,0.5,0.225,,,,,,,,,
第８節第１日,11,0.5493333333333333,0.3186666666666667,0.0,0.2727272727272727,0.0,0.0,0.22866666666666668,-0.22501758018520482,,,,,,,,
第８節第２日,9,0.5653333333333334,0.32233333333333336,0.0,0.2222222222222222,0.0,0.1111111111111111,0.22366666666666668,-0.8398654526945328,,,,,,,,
第９節第１日,10,0.53,0.29300000000000004,0.0,0.0,0.0,0.1,0.232,,,,,,,,,
第９節第２日,10,0.40700000000000003,0.0675,0.0,0.1,0.0,0.1,0.2535,,,,,,,,,
第１０節第１日,9,0.6795,0.48100000000000004,0.0,0.2222222222222222,0.0,0.0,0.1985,,,,,,,,,
第１０節第２日,11,,,0.0,0.0,0.0,0.0,,,,,,,,,,
第１１節第１日,8,0.6995,0.5055,0.0,0.25,0.0,0.0,0.194,,,,,,,,,
第１１節第２日,11,0.643,0.43400000000000005,0.0,0.09090909090909091,0.0,0.0,0.209,,,,,,,,,
第１１節第３日,1,,,0.0,0.0,0.0,0.0,,,,,,,,,,
第１２節第１日,16,0.5559999999999999,0.31125,0.0,0.0,0.0,0.25,0.22625,0.2019339436971298,,,,,,,,
第１２節第２日,4,,,0.0,0.0,0.0,0.0,,,,,,,,,,
第１３節第１日,20,0.51,0.2486,0.0,0.1,0.0,0.15,0.2354,-0.9084753771660682,,,,,,,,
第１４節第１日,10,0.6543333333333333,0.4526666666666667,0.0,0.1,0.0,0.2,0.20166666666666666,-0.5256277449721679,,,,,,,,
第１４節第２日,10,,,0.0,0.0,0.0,0.0,,,,,,,,,,
第１５節第１日,20,0.655,0.45199999999999996,0.0,0.1,0.0,0.0,0.203,,,,,,,,,
第１６節第１日,6,0.6105,0.3950000000000001,0.0,0.16666666666666666,0.0,0.16666666666666666,0.2155,1.0,,,,,,,,
第１６節第２日,14,0.6455,0.43750000000000006,0.0,0.07142857142857142,0.0,0.07142857142857142,0.208,1.0,,,,,,,,
第１７節第１日,8,0.39649999999999996,0.04849999999999999,0.125,0.125,0.0,0.125,0.2555,,,,,,,,,
第１７節第２日,12,0.715,0.5249999999999999,0.0,0.0,0.0,0.08333333333333333,0.19,,,,,,,,,
第１８節第１日,10,0.457,0.159,0.0,0.1,0.0,0.2,0.24533333333333332,0.5960395606792698,,,,,,,,
第１８節第２日,10,0.807,0.653,0.0,0.1,0.0,0.0,0.154,,,,,,,,,
