節,match_id,datetime,home_team,away_team,home_score,away_score,home_advantage_diff,is_home_advantage_positive,prob_home_win,prob_draw,prob_away_win,predicted_highest_prob_result,actual_result,is_correct,predicted_result,elo_diff_for_prob,round_key,P1_label,P2_label,P3_label,P1_prob,P2_prob,P3_prob,maxP,margin12,is_close,pred_label,elo_abs,p_draw,actual_norm,p_actual,surprise
第１節第１日,j2_2026_02071403_横浜FC_山形,2026-02-07 14:03:00,横浜FC,山形,1.0,2.0,-3.0,False,,,,,A,0.0,,-3.0,第１節第１日,H,D,A,,,,,,False,,3.0,,A,,
第１節第１日,j2_2026_02071403_栃木Ｃ_仙台,2026-02-07 14:03:00,栃木Ｃ,仙台,1.0,4.0,-3.0,False,,,,,A,0.0,,-3.0,第１節第１日,H,D,A,,,,,,False,,3.0,,A,,
第１節第１日,j2_2026_02071404_湘南_秋田,2026-02-07 14:04:00,湘南,秋田,1.0,2.0,-1.5,False,,,,,A,0.0,,-1.5,第１節第１日,H,D,A,,,,,,False,,1.5,,A,,
第１節第１日,j2_2026_02071403_大宮_松本,2026-02-07 14:03:00,大宮,松本,2.0,1.0,3.0,True,,,,,H,0.0,,3.0,第１節第１日,H,D,A,,,,,,False,,3.0,,H,,
第１節第１日,j2_2026_02071403_磐田_長野,2026-02-07 14:03:00,磐田,長野,,,0.0,False,,,,,,0.0,,0.0,第１節第１日,H,D,A,,,,,,False,,0.0,,,,
第１節第１日,j2_2026_02071404_甲府_福島,2026-02-07 14:04:00,甲府,福島,4.0,1.0,3.0,True,,,,,H,0.0,,3.0,第１節第１日,H,D,A,,,,,,False,,3.0,,H,,
第１節第１日,j2_2026_02071403_奈良_徳島,2026-02-07 14:03:00,奈良,徳島,0.0,6.0,-1.5,False,,,,,A,0.0,,-1.5,第１節第１日,H,D,A,,,,,,False,,1.5,,A,,
第１節第１日,j2_2026_02071403_北九州_鳥取,2026-02-07 14:03:00,北九州,鳥取,1.0,3.0,-1.5,False,,,,,A,0.0,,-1.5,第１節第１日,H,D,A,,,,,,False,,1.5,,A,,
第１節第２日,,,栃木SC,八戸,,,-3.0,False,,,,,,0.0,,-3.0,第１節第２日,H,D,A,,,,,,False,,3.0,,,,
第１節第２日,,,相模原,群馬,,,0.0,False,,,,,,0.0,,0.0,第１節第２日,H,D,A,,,,,,False,,0.0,,,,
第１節第２日,j2_2026_02081335_藤枝_岐阜,2026-02-08 13:35:00,藤枝,岐阜,0.0,2.0,-1.5,False,,,,,A,0.0,,-1.5,第１節第２日,H,D,A,,,,,,False,,1.5,,A,,
第１節第２日,j2_2026_02081405_いわき_札幌,2026-02-08 14:05:00,いわき,札幌,1.0,0.0,3.0,True,0.573,0.224,0.203,H,H,1.0,H,3.0,第１節第２日,H,D,A,0.573,0.224,0.203,0.573,0.349,False,H,3.0,0.224,H,0.573,0.5568695622673976
第１節第２日,j2_2026_02081308_愛媛_新潟,2026-02-08 13:08:00,愛媛,新潟,0.0,1.0,-1.5,False,,,,,A,0.0,,-1.5,第１節第２日,H,D,A,,,,,,False,,1.5,,A,,
第１節第２日,j2_2026_02081403_FC大阪_讃岐,2026-02-08 14:03:00,FC大阪,讃岐,0.0,1.0,-3.0,False,,,,,A,0.0,,-3.0,第１節第２日,H,D,A,,,,,,False,,3.0,,A,,
第１節第２日,j2_2026_02081403_今治_金沢,2026-02-08 14:03:00,今治,金沢,,,0.0,False,,,,,,0.0,,0.0,第１節第２日,H,D,A,,,,,,False,,0.0,,,,
第１節第２日,j2_2026_02081404_高知_富山,2026-02-08 14:04:00,高知,富山,3.0,1.0,1.5,True,,,,,H,0.0,,1.5,第１節第２日,H,D,A,,,,,,False,,1.5,,H,,
第１節第２日,j2_2026_02081304_熊本_山口,2026-02-08 13:04:00,熊本,山口,2.0,1.0,3.0,True,0.573,0.224,0.203,H,H,1.0,H,3.0,第１節第２日,H,D,A,0.573,0.224,0.203,0.573,0.349,False,H,3.0,0.224,H,0.573,0.5568695622673976
第１節第２日,j2_2026_02081403_鹿児島_宮崎,2026-02-08 14:03:00,鹿児島,宮崎,2.0,3.0,-1.5,False,,,,,A,0.0,,-1.5,第１節第２日,H,D,A,,,,,,False,,1.5,,A,,
第１節第２日,j2_2026_02081403_琉球_鳥栖,2026-02-08 14:03:00,琉球,鳥栖,,,0.0,False,,,,,,0.0,,0.0,第１節第２日,H,D,A,,,,,,False,,0.0,,,,
第１節第３日,j2_2026_02251830_大分_滋賀,2026-02-25 18:30:00,大分,滋賀,,,3.0,True,,,,,,0.0,,3.0,第１節第３日,H,D,A,,,,,,False,,3.0,,,,
