role_family,hits,total,hit_rate,avg_ticket_count,avg_draw_count,avg_sway_count,avg_role_unique_only,avg_role_same_family,avg_role_diff_family,avg_base_miss_recovery,avg_base_hit_loss,avg_base_net_gain,avg_family_hit_unique,avg_family_hit_shared,rounds
draw,319,950,0.3357894736842105,5.0,24.933333333333334,6.666666666666667,2.2666666666666666,3.1333333333333333,1.2666666666666666,2.6,1.3333333333333333,1.2666666666666666,1.1333333333333333,20.133333333333333,15
swing,202,570,0.3543859649122807,3.0,12.866666666666667,7.066666666666666,3.933333333333333,1.8,1.3333333333333333,3.4,1.9333333333333333,1.4666666666666666,2.3333333333333335,11.133333333333333,15
