actual_group,matches,j1,j2,lab_mix_home,lab_mix_draw,lab_mix_away,lab_home_path_score,lab_away_path_score,lab_flip_dislocation_score,lab_scenario_entropy_score,lab_volatility_score,lab_draw_tension_score,lab_stall_compactness_score,p_home,p_draw,p_away,margin_best_second,diff_ha,entropy
A,9,9,0,0.25572600364731524,0.4832203158044741,0.26105368054821043,0.4762002028793854,0.5237997971206145,0.2384026653109849,0.4961058481068549,0.20856714141781746,0.6042009772273764,0.5221109576236936,0.2525719548281554,0.34695743711574323,0.4004706080561012,0.059415363460484455,0.1478986532279457,1.0748155088022715
D,12,11,1,0.23276877112935548,0.48992918752378584,0.2773020413468586,0.3710385696074401,0.6289614303925599,0.35851571998570325,0.553509340971463,0.23419917873621574,0.56131836383552,0.4923875664171084,0.22551902621163447,0.3414705691077065,0.4330104046806589,0.09153983557295231,0.20749137846902432,1.0578050597810196
H,13,13,0,0.24333434894499226,0.5086080842740794,0.24805756678092827,0.4761961686394869,0.5238038313605131,0.3025022210686684,0.5014169700062113,0.20286061491418633,0.6378073566456084,0.5535613401321545,0.25109257622391523,0.3496831247181453,0.39922429905793944,0.058870170498795865,0.14813172283402412,1.0723309475500011
