round,ticket,hits,total,hit_rate,draw_count,sway_count,role_family,role_mode,role_unique_only,role_same_family,role_diff_family,base_miss_recovery,base_hit_loss,base_net_gain,family_hit_unique,family_hit_shared,topology_mode,topology_draw_cluster_count,topology_swing_cluster_count,topology_hold_cluster_count,cluster_changes,basis_changes
round07,ticket10,7,13,0.5384615384615384,0,3,swing,none,1,1,1,3,0,3,2,5,balanced,13,13,13,draw=0 overlap=1 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=1
round08,ticket02,6,13,0.4615384615384615,1,2,draw,none,0,2,0,2,0,2,0,6,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round08,ticket03,5,13,0.3846153846153846,1,2,swing,none,1,1,0,1,0,1,0,5,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round08,ticket05,6,13,0.4615384615384615,1,3,draw,none,1,2,0,2,0,2,0,6,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round08,ticket06,3,13,0.2307692307692307,2,1,draw,skip,1,0,0,0,1,-1,0,3,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round08,ticket07,5,13,0.3846153846153846,0,2,swing,none,0,1,1,1,0,1,0,5,balanced,13,13,13,draw=0 overlap=1 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=1
round08,ticket08,4,13,0.3076923076923077,2,1,draw,none,0,0,1,0,0,0,0,4,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round08,ticket09,5,13,0.3846153846153846,1,1,draw,none,0,1,0,1,0,1,0,5,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round08,ticket10,7,13,0.5384615384615384,0,3,swing,none,1,1,1,3,0,3,2,5,balanced,13,13,13,draw=0 overlap=1 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=1
round09,ticket02,5,13,0.3846153846153846,7,1,draw,none,1,0,0,1,0,1,1,4,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round09,ticket03,3,13,0.2307692307692307,7,1,swing,none,1,0,0,0,1,-1,0,3,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round09,ticket05,2,13,0.1538461538461538,7,2,draw,none,2,0,0,0,2,-2,0,2,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round09,ticket06,4,13,0.3076923076923077,6,0,draw,skip,0,0,0,0,0,0,0,4,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round09,ticket07,4,13,0.3076923076923077,4,2,swing,none,2,0,0,1,1,0,1,3,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
