ticket,role_family,role_mode,hits,total,hit_rate,avg_draw_count,avg_sway_count,avg_role_unique_only,avg_role_same_family,avg_role_diff_family,avg_base_miss_recovery,avg_base_hit_loss,avg_base_net_gain,avg_family_hit_unique,avg_family_hit_shared,rounds
ticket02,draw,none,72,190,0.37894736842105264,4.933333333333334,2.1333333333333333,0.7333333333333333,1.0666666666666667,0.3333333333333333,1.0666666666666667,0.26666666666666666,0.8,0.6,4.2,15
ticket03,swing,none,65,190,0.34210526315789475,5.066666666666666,1.8,1.0666666666666667,0.4,0.3333333333333333,0.7333333333333333,0.4,0.3333333333333333,0.6,3.7333333333333334,15
ticket05,draw,none,62,190,0.3263157894736842,5.133333333333334,2.2666666666666666,0.9333333333333333,1.1333333333333333,0.2,0.7333333333333333,0.6,0.13333333333333333,0.13333333333333333,4.0,15
ticket06,draw,active,1,9,0.1111111111111111,3.0,2.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,1.0,1
ticket06,draw,skip,56,181,0.30939226519337015,5.214285714285714,0.6428571428571429,0.42857142857142855,0.0,0.21428571428571427,0.21428571428571427,0.35714285714285715,-0.14285714285714285,0.21428571428571427,3.7857142857142856,14
ticket07,swing,none,66,190,0.3473684210526316,3.8666666666666667,2.8,1.6,0.7333333333333333,0.4666666666666667,1.3333333333333333,0.9333333333333333,0.4,0.8,3.6,15
ticket08,draw,none,63,190,0.33157894736842103,4.933333333333334,0.8666666666666667,0.13333333333333333,0.26666666666666666,0.4666666666666667,0.2,0.0,0.2,0.2,4.0,15
ticket09,draw,none,65,190,0.34210526315789475,4.866666666666666,0.6666666666666666,0.0,0.6,0.06666666666666667,0.4,0.06666666666666667,0.3333333333333333,0.0,4.333333333333333,15
ticket10,swing,none,71,190,0.3736842105263158,3.933333333333333,2.466666666666667,1.2666666666666666,0.6666666666666666,0.5333333333333333,1.3333333333333333,0.6,0.7333333333333333,0.9333333333333333,3.8,15
