round,match_no,league,home_team,away_team,actual_group,subtype_candidate,shape_cluster_label,context_purchase_type_confidence,context_purchase_type_reason,lab_mix_home,lab_mix_draw,lab_mix_away,lab_home_path_score,lab_away_path_score,path_gap_home_minus_away,mix_gap_draw_minus_away,mix_gap_home_minus_away,lab_flip_dislocation_score,lab_scenario_entropy_score,lab_volatility_score,lab_draw_tension_score,lab_stall_compactness_score,p_home,p_draw,p_away,margin_best_second,diff_ha,entropy
round02,1,J1,清水,京都,D,away_overread_draw_cover,hold_core,low,best=A top_prob=0.392 side_gap=0.136 path_gap=0.000 entropy=0.457,0.2217512068204995,0.556447910473085,0.2218008827064154,0.4998129672472329,0.5001870327527671,-0.0003740655055342046,0.33464702776666955,-4.9675885915895224e-05,0.2610450431657042,0.4566012947242971,0.2172688907212716,0.6704769768134586,0.5301596215719837,0.2492017811355617,0.3690722297696387,0.3817259890947995,0.0126537593251608,0.1325242079592378,1.0817635432122945
round02,3,J1,鹿島,横浜FM,H,away_overread_home_hedge,draw_core,low,best=A top_prob=0.360 side_gap=0.022 path_gap=0.486 entropy=0.540,0.3285585587804531,0.429210128537313,0.2422313126822338,0.7429470085896852,0.2570529914103147,0.48589401717937053,0.1869788158550792,0.08632724609821929,0.2152915647185854,0.5399304729208603,0.1829869099154814,0.4566142259360147,0.4643938222262721,0.3252519257316829,0.3277965629725247,0.3469515112957923,0.0216995855641093,0.0216995855641093,1.098192813684045
round02,4,J1,柏,東京Ｖ,A,away_valid,hold_core,low,best=A top_prob=0.380 side_gap=0.109 path_gap=0.121 entropy=0.455,0.2335002918723553,0.5495711379694826,0.2169285701581621,0.5603856009736912,0.4396143990263088,0.12077120194738239,0.3326425678113205,0.01657172171419319,0.2499161633617147,0.454975107558549,0.1383230834421311,0.8212233895325687,0.6404976169044089,0.2632921256949986,0.3669947230736151,0.3697131512313861,0.002718428157771,0.1064210255363874,1.0871142586057416
round03,1,J1,横浜FM,浦和,A,away_valid,hold_core,medium,best=A top_prob=0.389 side_gap=0.146 path_gap=0.250 entropy=0.477,0.2234264066300787,0.5164814289433066,0.2600921644266144,0.3751370383521127,0.6248629616478872,-0.24972592329577453,0.2563892645166922,-0.03666575779653572,0.2720232608913017,0.4771249858034349,0.2675065883068528,0.6349853541769034,0.5450777095646488,0.2329178297794684,0.3944208965149099,0.3726612737056216,0.0217596228092883,0.1397434439261531,1.074170199515082
round03,2,J1,清水,神戸,H,away_overread_home_hedge,hold_core,medium,best=A top_prob=0.470 side_gap=0.255 path_gap=0.273 entropy=0.455,0.2195042400711002,0.5221681840566101,0.2583275758722897,0.3635409884920127,0.6364590115079872,-0.2729180230159745,0.2638406081843204,-0.03882333580118952,0.2535894284550891,0.4550073936188313,0.2241064067228088,0.6501197731028557,0.5810876583619065,0.2095664128941009,0.3318700855294198,0.4585635015764792,0.1266934160470593,0.2489970886823782,1.0510710891435056
round05,1,J1,千葉,柏,H,away_overread_home_hedge,overlap,medium,best=A top_prob=0.411 side_gap=0.167 path_gap=0.339 entropy=0.619,0.2256217462499206,0.4861821843453854,0.2881960694046938,0.3303857242132931,0.6696142757867068,-0.33922855157341375,0.19798611494069163,-0.06257432315477318,0.5575953097539746,0.6188362301802837,0.2255675757957504,0.6534589811013932,0.4410470986340332,0.23724210230518,0.3627542897694376,0.4000036079253822,0.0372493181559446,0.1627615056202022,1.0756736393998645
round05,10,J2,藤枝,磐田,D,away_overread_draw_cover,hold_core,medium,best=A top_prob=0.409 side_gap=0.173 path_gap=0.310 entropy=0.472,0.2925636714304699,0.4657678963324905,0.2416684322370394,0.6550842195951769,0.3449157804048231,0.3101684391903538,0.2240994640954511,0.0508952391934305,0.2424633027921404,0.4718743974595595,0.1900378043473281,0.5869705458524225,0.5357866668127131,0.2293700986397141,0.3732790295957687,0.397350871764517,0.0240718421687483,0.1679807731248028,1.0722980249185392
round06,3,J1,水戸,FC東京,D,away_overread_draw_cover,hold_core,medium,best=A top_prob=0.413 side_gap=0.168 path_gap=0.461 entropy=0.529,0.2454194785541937,0.4270887561779917,0.3274917652678145,0.2696779172737601,0.7303220827262399,-0.46064416545247977,0.09959699091017721,-0.0820722867136208,0.1862683737645978,0.5288464705441465,0.1369766606605231,0.5157920814846803,0.4527284615222992,0.2384038876668053,0.3595651731330314,0.4020309392001632,0.0424657660671318,0.1636270515333578,1.075946789404015
round06,4,J1,京都,Ｃ大阪,A,away_valid,hold_core,low,best=A top_prob=0.402 side_gap=0.151 path_gap=0.221 entropy=0.471,0.2313093887990722,0.5041826800257825,0.2645079311751451,0.3892605863048871,0.6107394136951129,-0.22147882739022579,0.2396747488506374,-0.03319854237607289,0.2286832852679031,0.470823910864069,0.2127135756659566,0.5934224862348922,0.509934704283589,0.2442070946693376,0.3648615054670006,0.3909313998636616,0.0260698943966609,0.1467243051943239,1.079307045286567
round06,8,J1,鹿島,川崎Ｆ,H,away_overread_home_hedge,draw_core,low,best=A top_prob=0.354 side_gap=0.031 path_gap=0.426 entropy=0.514,0.3132644935448184,0.4457306368077736,0.241004869647408,0.7129480298797425,0.2870519701202575,0.42589605975948497,0.20472576716036558,0.07225962389741039,0.216676084872342,0.5135689004173611,0.2130884118331208,0.403867409406139,0.4511857511758984,0.3146747090744021,0.3405299713274252,0.3447953195981727,0.0042653482707475,0.0301206105237706,1.0978080669659254
round06,9,J1,東京Ｖ,浦和,H,away_overread_home_hedge,hold_core,low,best=A top_prob=0.384 side_gap=0.136 path_gap=0.126 entropy=0.459,0.2157810207952775,0.5514744028138908,0.2327445763908316,0.4370489599149215,0.5629510400850786,-0.12590208017015708,0.31872982642305925,-0.016963555595554097,0.2801126947976241,0.4593566136378045,0.2475870738119415,0.6678333192909165,0.6183760909701324,0.2376834843027367,0.3945320498324414,0.3677844658648217,0.0267475839676197,0.1301009815620849,1.0763231829895663
round07,2,J1,清水,広島,H,away_overread_home_hedge,hold_core,medium,best=A top_prob=0.457 side_gap=0.237 path_gap=0.385 entropy=0.544,0.2065560450371815,0.526506076251868,0.2669378787109504,0.3074436788955084,0.6925563211044915,-0.3851126422089831,0.25956819754091753,-0.060381833673768925,0.4531197187554096,0.5437229031546171,0.1595487270665842,0.6833580181614393,0.5712541615411366,0.214377346709059,0.3405275967978979,0.445095056493043,0.104567459695145,0.2307177097839839,1.0572712664437227
round07,3,J1,京都,名古屋,D,away_overread_draw_cover,overlap,medium,best=A top_prob=0.418 side_gap=0.174 path_gap=0.125 entropy=0.578,0.2308298240857311,0.5180419922113789,0.25112818370289,0.4372682545918637,0.5627317454081364,-0.12546349081627273,0.26691380850848895,-0.020298359617158868,0.3682285710134289,0.5775620220591507,0.3462951959122593,0.5487701787180486,0.4533591277404937,0.2379622620990897,0.3547806352197928,0.4072571026811175,0.0524764674613247,0.1692948405820278,1.07511569079479
round07,6,J1,福岡,Ｇ大阪,D,away_overread_draw_cover,hold_core,high,best=A top_prob=0.427 side_gap=0.194 path_gap=0.331 entropy=0.620,0.2142628954223021,0.5142224473613464,0.2715146572163515,0.3342660420750146,0.6657339579249855,-0.3314679158499709,0.24270779014499488,-0.057251761794049394,0.5704476066519587,0.6198164069577117,0.2893348927674324,0.534163673655082,0.4628944827493981,0.2264512895831881,0.357802531739778,0.4157461786770337,0.0579436469372556,0.1892948890938456,1.068963613693998
