overlap_group,target_name,target_kind,overlap_count,overlap_rate_within_group,main_hit_rate,actual_h_rate,actual_d_rate,actual_a_rate
all_same_exact,away_overread_draw_cover_flag,flag,2,0.013605442176870748,0.0,0.0,1.0,0.0
all_same_exact,anchor_candidate_flag,flag,1,0.006802721088435374,0.0,0.0,0.0,0.0
all_same_exact,draw_core_candidate_flag,flag,0,0.0,,,,
all_same_exact,chaos_draw_watch,purchase_type,61,0.41496598639455784,0.26229508196721313,0.36065573770491804,0.2786885245901639,0.3114754098360656
all_same_exact,chaos_flat,purchase_type,1,0.006802721088435374,0.0,1.0,0.0,0.0
all_same_exact,chaos_side_watch,purchase_type,35,0.23809523809523808,0.22857142857142856,0.34285714285714286,0.3142857142857143,0.2571428571428571
all_same_exact,draw_trap,purchase_type,13,0.08843537414965986,0.3076923076923077,0.23076923076923078,0.3076923076923077,0.38461538461538464
all_same_exact,home_reversal_watch,purchase_type,0,0.0,,,,
all_same_exact,j2_directional_stall,purchase_type,8,0.05442176870748299,0.5,0.375,0.125,0.375
all_same_exact,j2_draw_trap,purchase_type,11,0.07482993197278912,0.45454545454545453,0.5454545454545454,0.09090909090909091,0.2727272727272727
all_same_exact,unclassified,purchase_type,18,0.12244897959183673,0.0,0.1111111111111111,0.2777777777777778,0.3333333333333333
all_same_side,away_overread_draw_cover_flag,flag,2,0.013605442176870748,0.0,0.0,1.0,0.0
all_same_side,anchor_candidate_flag,flag,1,0.006802721088435374,0.0,0.0,0.0,0.0
all_same_side,draw_core_candidate_flag,flag,0,0.0,,,,
all_same_side,chaos_draw_watch,purchase_type,61,0.41496598639455784,0.26229508196721313,0.36065573770491804,0.2786885245901639,0.3114754098360656
all_same_side,chaos_flat,purchase_type,1,0.006802721088435374,0.0,1.0,0.0,0.0
all_same_side,chaos_side_watch,purchase_type,35,0.23809523809523808,0.22857142857142856,0.34285714285714286,0.3142857142857143,0.2571428571428571
all_same_side,draw_trap,purchase_type,13,0.08843537414965986,0.3076923076923077,0.23076923076923078,0.3076923076923077,0.38461538461538464
all_same_side,home_reversal_watch,purchase_type,0,0.0,,,,
all_same_side,j2_directional_stall,purchase_type,8,0.05442176870748299,0.5,0.375,0.125,0.375
all_same_side,j2_draw_trap,purchase_type,11,0.07482993197278912,0.45454545454545453,0.5454545454545454,0.09090909090909091,0.2727272727272727
all_same_side,unclassified,purchase_type,18,0.12244897959183673,0.0,0.1111111111111111,0.2777777777777778,0.3333333333333333
