role_family,topology_mode,hits,total,hit_rate,avg_ticket_count,avg_draw_count,avg_sway_count,avg_role_unique_only,avg_role_same_family,avg_role_diff_family,avg_base_miss_recovery,avg_base_hit_loss,avg_base_net_gain,avg_family_hit_unique,avg_family_hit_shared,rounds
draw,balanced,307,905,0.3392265193370166,5.0,25.928571428571427,6.428571428571429,2.142857142857143,3.0714285714285716,1.2142857142857142,2.5714285714285716,1.3571428571428572,1.2142857142857142,1.0,20.928571428571427,14
draw,swing_heavy,12,45,0.26666666666666666,5.0,11.0,10.0,4.0,4.0,2.0,3.0,1.0,2.0,3.0,9.0,1
swing,balanced,190,543,0.34990791896869244,3.0,13.214285714285714,6.928571428571429,4.142857142857143,1.4285714285714286,1.3571428571428572,3.2142857142857144,2.0714285714285716,1.1428571428571428,2.4285714285714284,11.142857142857142,14
swing,swing_heavy,12,27,0.4444444444444444,3.0,8.0,9.0,1.0,7.0,1.0,6.0,0.0,6.0,1.0,11.0,1
