policy_status,match_purchase_type,matches,actual_h_count,actual_d_count,actual_a_count,actual_h_rate,actual_d_rate,actual_a_rate,main_hit_count,main_hit_rate,buyplan_change_count,avg_buyplan_change_count,rescue_count,harm_count,net_rescue,avg_net_rescue,all_same_count,all_same_rate,all_same_side_count,all_same_side_rate
active_policy,home_reversal_watch,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,4.0,24.0,0.0,24.0,4.0,0.0,0.0,0.0,0.0
active_policy,j2_draw_trap,14.0,6.0,2.0,4.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,5.0,0.35714285714285715,21.0,1.5,4.0,0.0,4.0,0.2857142857142857,11.0,0.7857142857142857,11.0,0.7857142857142857
observed_type,chaos_draw_watch,99.0,34.0,30.0,28.0,0.3434343434343434,0.30303030303030304,0.2828282828282828,28.0,0.2828282828282828,99.0,1.0,36.0,2.0,34.0,0.3434343434343434,61.0,0.6161616161616161,61.0,0.6161616161616161
observed_type,chaos_flat,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
observed_type,chaos_side_watch,43.0,15.0,13.0,11.0,0.3488372093023256,0.3023255813953488,0.2558139534883721,11.0,0.2558139534883721,10.0,0.23255813953488372,3.0,3.0,0.0,0.0,35.0,0.813953488372093,35.0,0.813953488372093
observed_type,draw_trap,18.0,6.0,6.0,5.0,0.3333333333333333,0.3333333333333333,0.2777777777777778,6.0,0.3333333333333333,10.0,0.5555555555555556,2.0,2.0,0.0,0.0,13.0,0.7222222222222222,13.0,0.7222222222222222
observed_type,j2_directional_stall,9.0,3.0,1.0,4.0,0.3333333333333333,0.1111111111111111,0.4444444444444444,5.0,0.5555555555555556,1.0,0.1111111111111111,0.0,1.0,-1.0,-0.1111111111111111,8.0,0.8888888888888888,8.0,0.8888888888888888
observed_type,unclassified,18.0,2.0,5.0,6.0,0.1111111111111111,0.2777777777777778,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,18.0,1.0
