ticket,topology_mode,hits,total,hit_rate,avg_draw_count,avg_sway_count,avg_role_unique_only,avg_role_same_family,avg_role_diff_family,avg_base_miss_recovery,avg_base_hit_loss,avg_base_net_gain,avg_family_hit_unique,avg_family_hit_shared,avg_topology_draw_cluster_count,avg_topology_swing_cluster_count,avg_topology_hold_cluster_count,rounds
ticket02,balanced,68,181,0.3756906077348066,4.928571428571429,2.0,0.6428571428571429,1.0,0.35714285714285715,1.0,0.2857142857142857,0.7142857142857143,0.5,4.357142857142857,12.928571428571429,12.928571428571429,12.928571428571429,14
ticket02,swing_heavy,4,9,0.4444444444444444,5.0,4.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,1
ticket03,balanced,60,181,0.3314917127071823,5.214285714285714,1.7142857142857142,1.1428571428571428,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.5714285714285714,3.7142857142857144,12.928571428571429,12.928571428571429,12.928571428571429,14
ticket03,swing_heavy,5,9,0.5555555555555556,3.0,3.0,0.0,2.0,1.0,3.0,0.0,3.0,1.0,4.0,2.0,3.0,2.0,1
ticket05,balanced,60,181,0.3314917127071823,5.285714285714286,2.2857142857142856,0.9285714285714286,1.1428571428571428,0.21428571428571427,0.7857142857142857,0.6428571428571429,0.14285714285714285,0.14285714285714285,4.142857142857143,12.928571428571429,12.928571428571429,12.928571428571429,14
ticket05,swing_heavy,2,9,0.2222222222222222,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,1
ticket06,balanced,56,181,0.30939226519337015,5.214285714285714,0.6428571428571429,0.42857142857142855,0.0,0.21428571428571427,0.21428571428571427,0.35714285714285715,-0.14285714285714285,0.21428571428571427,3.7857142857142856,12.928571428571429,12.928571428571429,12.928571428571429,14
ticket06,swing_heavy,1,9,0.1111111111111111,3.0,2.0,1.0,1.0,0.0,0.0,1.0,-1.0,0.0,1.0,2.0,3.0,2.0,1
ticket07,balanced,62,181,0.3425414364640884,3.9285714285714284,2.7142857142857144,1.6428571428571428,0.5714285714285714,0.5,1.2857142857142858,1.0,0.2857142857142857,0.8571428571428571,3.5714285714285716,12.928571428571429,12.928571428571429,12.928571428571429,14
ticket07,swing_heavy,4,9,0.4444444444444444,3.0,4.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,4.0,2.0,3.0,2.0,1
ticket08,balanced,60,181,0.3314917127071823,5.285714285714286,0.8571428571428571,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,4.142857142857143,12.928571428571429,12.928571428571429,12.928571428571429,14
ticket08,swing_heavy,3,9,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,3.0,2.0,1
ticket09,balanced,63,181,0.34806629834254144,5.214285714285714,0.6428571428571429,0.0,0.6428571428571429,0.0,0.42857142857142855,0.07142857142857142,0.35714285714285715,0.0,4.5,12.928571428571429,12.928571428571429,12.928571428571429,14
ticket09,swing_heavy,2,9,0.2222222222222222,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,1
ticket10,balanced,68,181,0.3756906077348066,4.071428571428571,2.5,1.3571428571428572,0.5714285714285714,0.5714285714285714,1.3571428571428572,0.6428571428571429,0.7142857142857143,1.0,3.857142857142857,12.928571428571429,12.928571428571429,12.928571428571429,14
ticket10,swing_heavy,3,9,0.3333333333333333,2.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,3.0,2.0,1
