ticket,hits,total,hit_rate
ticket01,3,13,0.23076923076923078
ticket02,3,13,0.23076923076923078
ticket03,3,13,0.23076923076923078
ticket04,4,13,0.3076923076923077
ticket05,4,13,0.3076923076923077
ticket06,5,13,0.38461538461538464
ticket07,1,13,0.07692307692307693
ticket08,3,13,0.23076923076923078
ticket09,4,13,0.3076923076923077
ticket10,3,13,0.23076923076923078
