match_no,league,home_team,away_team,best_second,actual_symbol,actual_result,ticket01,ticket01_is_hit,ticket02,ticket02_is_hit,ticket03,ticket03_is_hit,ticket04,ticket04_is_hit,ticket05,ticket05_is_hit,ticket06,ticket06_is_hit,ticket07,ticket07_is_hit,ticket08,ticket08_is_hit,ticket09,ticket09_is_hit,ticket10,ticket10_is_hit
1,J1,千葉,東京Ｖ,best=2 second=0 third=1 (base=2) margin=0.004,1,H,2,False,2,False,0,False,2,False,0,False,2,False,2,False,2,False,0,False,2,False
2,J1,名古屋,Ｃ大阪,best=0 second=1 third=2 (base=0) margin=0.054,1,H,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False,2,False
3,J1,長崎,清水,best=1 second=0 third=2 (base=1) margin=0.105,2,A,1,False,1,False,1,False,1,False,1,False,0,False,1,False,1,False,1,False,1,False
4,J1,岡山,神戸,best=2 second=0 third=1 (base=2) margin=0.196,2,A,2,True,2,True,2,True,2,True,2,True,2,True,0,False,2,True,2,True,2,True
5,J1,柏,横浜FM,best=1 second=2 third=0 (base=1) margin=0.331,1,H,1,True,1,True,1,True,1,True,1,True,1,True,1,True,2,False,1,True,1,True
6,J1,水戸,鹿島,best=2 second=1 third=0 (base=2) margin=0.291,0,D,2,False,2,False,2,False,2,False,2,False,2,False,2,False,1,False,2,False,2,False
7,J1,Ｇ大阪,京都,best=0 second=1 third=2 (base=0) margin=0.124,1,H,0,False,0,False,0,False,0,False,1,True,0,False,0,False,0,False,0,False,0,False
8,J1,広島,福岡,best=1 second=2 third=0 (base=1) margin=0.160,2,A,1,False,1,False,1,False,1,False,1,False,1,False,1,False,2,True,1,False,1,False
9,J1,川崎Ｆ,浦和,best=0 second=1 third=2 (base=0) margin=0.069,1,H,0,False,0,False,0,False,0,False,0,False,1,True,0,False,0,False,0,False,2,False
10,J1,FC東京,町田,best=2 second=0 third=1 (base=2) margin=0.053,0,D,2,False,2,False,2,False,2,False,2,False,0,True,2,False,2,False,0,True,2,False
11,J2,八戸,山形,best=1 second=0 third=2 (base=1) margin=0.035,2,A,1,False,1,False,1,False,0,False,1,False,1,False,1,False,1,False,0,False,1,False
12,J2,鳥栖,大分,best=1 second=0 third=2 (base=1) margin=0.142,2,A,1,False,1,False,1,False,1,False,1,False,1,False,0,False,1,False,1,False,1,False
13,J2,磐田,甲府,best=1 second=0 third=2 (base=1) margin=0.104,1,H,1,True,1,True,1,True,1,True,1,True,1,True,0,False,1,True,1,True,1,True
